DIndex,DEALER_ID,DEALER_CODE,DEALER_NAME,REGISTRATION_NAME,CITY_ID,LONGITUDE,LATITUDE,ADDRESS,SALES_PHONE,AFTER_SALES_PHONE,RESCUE_PHONE,DLevel,city,province
314,89936022-88fd-49e3-8dad-18e8887128ab,DGD069,广汽本田骏昇店,茂名市大昌行骏昇汽车销售服务有限公司,3fb3e0c9-5075-4cf8-82c8-426f3aa5e2b2,110.988,21.5302,电白县水东镇325国道边(那楼村委会办公楼东侧),0668-5698888,0668-5692868,15602516999,1,茂名,广东
23,ba86cc7d-37d1-4837-80ef-bb4f8a3ef8d7,DZJ053,广汽本田宝通店,衢州市通宝汽车销售有限公司,6768dad7-e385-4f59-8f85-0811f6d61772,118.8898,28.934,衢州市浙西大道109号16区1号,0570-3088988,0570-3355055,18005703031,1,衢州,浙江
419,b82500b4-e783-4c30-8bf2-6413206d9a1a,DGD002,广汽本田顺德店,佛山市顺德汽车工业贸易有限公司,8b9d1522-dd4c-4a3d-8942-c86099092a68,113.226,22.8587,佛山市顺德区广珠公路大良新松路段,0757-22383238,0757-22382136(22383231),22383283),1,佛山,广东
277,c63b9eba-282d-42f2-8010-bea08dbb96b8,DZJ007,广汽本田金悦达店,嘉兴市金悦达汽车销售服务有限公司,650362ce-614d-4c46-a3bb-b03d158e7cef,120.761,30.7908,浙江省嘉兴市经济开发区塘汇工业园区中环北路,0573-82222288,0573-82222277（82222299）,82222277,1,嘉兴,浙江
463,3df2984a-0b81-4942-b396-b08779fae62f,DJS043,广汽本田文峰伟杰店,泰州文峰伟杰汽车销售服务有限公司,98da3732-ffb4-4cca-81f4-9e049297ded0,120.078776,32.512498,姜堰经济开发区海姜大道6号,0523-88965888,0523-88983999,0523-88983999,1,泰州,江苏
27,f9c6da72-79c0-4fd6-8287-423f154e2538,DGX008,广汽本田北部湾店,北海广物汽车销售服务有限公司,a00487b7-a5b3-4f1e-80b4-74ca70c9a15f,109.164,21.5033,北海市北部湾东路与南珠大道交汇处,0779-2061123（2063333）,0779-2063369（2062222）,2062222,1,北海,广西
258,6725b6a3-2232-407a-886a-7e1478ae9d95,DSD038,广汽本田金广店,聊城金广汽车销售服务有限公司,443b96d2-16ab-4209-ab81-8d903b96f3a4,116.015,36.4246,山东省聊城市东昌府区湖南路与光岳路交界处南100米路东,0635-8701610（8534111）,0635-8701605,8534555,1,聊城,山东
560,983aa701-9711-4fb4-bcb7-61d208ecfca6,DHEN03,广汽本田智通店新密分店,河南智通汽车销售服务有限公司新密分公司,3184d340-bd66-43dc-a383-bcf52c05e9b8,113.422982,34.540047,河南省新密市嵩山大道东段北侧赵坡新村,0371-85816110,0371-85816110,67642222,2,郑州,河南
571,54c70e72-82f0-4004-b2db-1207d44c0442,DZJ009,广汽本田中兴店,宁波市坤源汽车销售服务有限公司,24d4facb-4970-47cd-aab5-1ae8221860b8,121.566,29.8498,浙江省宁波市江东区中兴南路78号,0574-87849822,0574-87895316（87895229）,87833147,1,宁波,浙江
294,2eccd801-27bf-4d07-96e0-39235f1e6dad,DGD032,广汽本田菊城店,中山市合众汽车销售服务有限公司,d7012ef6-8826-49ab-8e2b-3c46630bcfc7,113.229811,22.650994,中山市小榄镇菊城大道西176号A2-A3幢,0760-22236888,0760-22280889（22288862）,22288638,1,中山,广东
390,31b0c1b7-519c-42a9-86eb-c6d673750c01,DHEB22,广汽本田瑞岑店,廊坊瑞岑汽车销售有限公司,b6de3baa-4eb8-44c1-8446-732519965e6d,116.754814,39.579322,河北省廊坊市经济技术开发区金源道92号,0316-7827777,0316-7827777,15731678884,1,廊坊,河北
506,f1690d0e-6c0e-47de-9759-dbe3daad8c18,DTJ007,广汽本田轩泰店,天津市轩泰汽车销售服务有限公司,b788d78d-b4aa-44b5-9b1b-3d6aceb82d5c,117.117,39.2144,天津市北辰区北辰道2号,022-26806166,022-26806176（26806176）,26806222,1,天津,天津
36,fea90fb8-0061-4a26-a813-a002872a5652,DHLJ05,广汽本田博凯店,牡丹江市博凯汽车销售服务有限公司,e4137daa-46e8-4f00-ae44-560e6e2ba00f,129.633,44.5958,牡丹江市阳明区光华街238号,0453-6368111,0453-6368333（6368288）,6368555,1,牡丹江,黑龙江
38,b56b89e4-ab44-49b3-a818-09293f00dc2e,DZJ020,广汽本田博威店,丽水市博威汽车销售有限公司,125902ae-e525-43dd-9626-971c6c9691e0,119.885,28.4472,丽水市南环西路18号,0578-2528888,0578-2571366(2571666),2529999,1,丽水,浙江
39,0fbfa61b-3ef0-47b9-a42f-c57a0f331f5a,DSD023,广汽本田昌华店,菏泽昌华汽车销售服务有限公司,f2fe07f0-f6aa-40bb-a594-8bec922adcb6,115.407,35.2475,山东省菏泽市牡丹区工业园昆明路中段,0530-5260111,0530-5260003（5260188）,5260222,1,菏泽,山东
538,cb4964f6-d29d-4562-a452-cb26a6f30c81,DJS001,广汽本田雨田店溧水分店,江苏雨田广宏汽车销售服务有限公司溧水分公司,eb56cd7f-a8e2-4864-9538-9939d2b3780a,119.04,31.597,南京市溧水县经济开发区,025-52630808,025-52630808,86916969,2,南京,江苏
487,d9f82e98-c4a7-44e0-ba46-33263007e82f,DCQ001,广汽本田新亚店,重庆新亚汽车销售服务有限公司,82024464-dd04-4d17-8d5d-605bacf798dc,106.492,29.5269,重庆市九龙坡区谢陈路中段3号（汽车研究院旁）,023-68672888,023-68659186(68673988),-,1,重庆,重庆
340,219bc101-61d1-4726-8037-02eb799c1994,DHLJ02,广汽本田龙达店,黑龙江龙达汽车销售服务股份有限公司,a83e4c3c-0001-4057-a06c-05faad7d5adb,126.612,45.6827,哈尔滨市南岗区学府路241号,0451-86699338,0451-86699558-8304（86699108）,86699568,1,哈尔滨,黑龙江
556,5490780c-b90a-4fe9-9a30-086dfe665be9,DGD051,广汽本田志远店,惠州市志远汽车销售服务有限公司,bc75470d-b1e9-4922-93cb-1df7b934c714,114.908,22.7988,惠州市惠阳区淡水镇惠淡大道边（距建设局200M),0752-3819788,0752-3819663（3819733）,13829999078,1,惠州,广东
515,02284f51-504a-4943-80d1-4ea2b81a6c52,DGD041,广汽本田亿俊店,广州市亿俊汽车销售有限公司,a43e001a-e2c5-4fc5-81c1-04f304426519,113.593647,23.127989,广州市增城区新塘镇广深大道西214号,020-82683398/82686200,020-82685555,82685555,1,广州,广东
69,47267515-8ca1-47aa-9841-302655585663,DJS011,广汽本田大长江店,扬州市大长江汽车销售服务有限公司,761504e5-bd30-4fd4-8a35-a3d8b3790f2c,119.42457,32.371369,江苏省扬州市扬子江中路181号,0514-87873111,0514-87858503,87873222,1,扬州,江苏
50,e8e29082-027c-4c9e-a8ef-381acd4fa8b6,DXJ006,广汽本田长永店,伊犁长永汽车销售服务有限公司   ,54c3d069-4824-4249-8221-7210b4ddfaed,81.308538,43.933671,新疆伊犁州伊宁市西城区城西市场218线以南,0999-8888112,0999-8139588,0999-8139588,1,伊犁哈萨克自治州,新疆
430,44802f83-54b0-4446-8cd7-65155fcd720b,DXJ002,广汽本田泰意店,新疆泰意汽车销售服务有限公司,becd09e9-a664-4c09-bbd5-1e305924f8cb,87.5582,43.8172,新疆乌鲁木齐市克拉玛依西路822号,0991-8782228,0991-8777276（8777301）,8772127,1,乌鲁木齐,新疆
564,eb80083c-8b35-4e8d-a7bb-4dc4746daa86,DJL001,广汽本田中升嘉辉店,长春中升汇达汽车销售服务有限公司,b1216182-32b2-430a-850a-9d4c5dc34d4f,125.372,43.8613,吉林省长春市经济开发区仙台大街926号,0431-84673131,0431-84690140（84648933）,84690355,1,长春,吉林
500,ed43fde2-718e-43ef-a73e-2a7798de3bcf,DSXE11,广汽本田兴河店,山西兴河工贸有限公司,bf26f743-b5bd-4e43-8d5d-b9a813d2d26b,112.526,37.9295,山西省太原市尖草坪区大同路261号,0351-3236688,0351-3553567（3550111）,3554888,1,太原,山西
57,e7fe6290-7cc5-4fcc-80ac-0abb27775f35,DGS003,广汽本田诚利通店,庆阳诚利通汽车销售服务有限公司,2dc290b5-2918-45f6-8561-a4f458bcce5e,107.628382,35.771007,甘肃省庆阳市西峰区陇东大道陇东汽车城8号,0934-8611111,0934-8611111,0934-8611111,1,庆阳,甘肃
271,748b40b9-7d14-44d9-9ce1-727a72c61565,DGS001,广汽本田金穗康店,兰州金穗康商贸有限公司,2fe7d95c-a6a7-40ee-8695-a00d69fb8b4a,103.765,36.0868,兰州市北滨河路中路银滩大桥东北侧,0931-7752999,0931-7754082(7754088),7751999,1,兰州,甘肃
59,9ba80a73-e8ab-467c-95da-43f7319ae09c,DGS002,广汽本田诚利源店平凉分店,甘肃诚利源汽车销售服务有限公司平凉分公司,8f04921f-8550-4ac7-8481-33d1a6564279,106.751,35.5252,甘肃省平凉市崆峒区仁河汽配城A区4S-6号,0931-8696861,0931-8699500,8701666,2,平凉,甘肃
60,eb3f607b-7c83-45ff-9dcd-c3012b94424b,DGS002,广汽本田诚利源店天水分店,甘肃诚利源汽车销售服务有限公司天水分公司,432d0e01-20e5-45fe-a6f7-bdd56bcf1933,105.792,34.5794,甘肃省天水市东十里工业园区（银通汽贸院内）,0938-8389506,0938-8389506,8701666,2,天水,甘肃
61,d81bb81f-3ba0-4d8b-9c17-931e12fb93a8,DGX011,广汽本田城东店,百色广缘城东汽车销售服务有限公司,bed7556c-36c3-4c08-9c40-96350a378bc8,106.666,23.8579,百色市城东路大华厂路口,0776-2851800（2882000）,0776-2881899（2832999）,18007769595,1,百色,广西
62,8dbae942-e240-4d4c-aac7-504dcc7e8864,DSXW09,广汽本田驰尔瑞店,陕西驰尔瑞汽车销售服务有限公司,ccc32e77-c4ff-41f3-a650-b083cb79061a,108.676012,34.379817,咸阳市秦都区秦皇北路高干渠北侧汽车大道规划路北侧,029-38013000,029-38015533,029-38015533,1,咸阳,陕西
549,e69b5b5f-b837-4cef-99d1-2e7e1988ece3,DSD053,广汽本田正凯店,潍坊正凯汽车贸易有限公司,b9aad34b-e89f-47b9-9abd-3aa387a36227,119.192031,36.766218,"山东潍坊市寒亭区通亭街以北、甘里堡土地以东第五幢
",0536-2277696,0536-2273111,0536-2273111,1,潍坊,山东
64,7bd3a269-d838-4eb5-b3a3-02de64d0d241,DSC010,广汽本田创诚店,四川内江创诚工贸有限公司,2d2360be-fb51-4c75-bd6d-167389ee612e,105.026,29.5867,四川省内江市甜城大道520号,0832-2203889-1,0832-2203898(2203737),2203892,1,内江,四川
65,1ff27010-90f5-496f-8972-be78e27b3e13,DSC021,广汽本田创诚南湖店,自贡创诚汽车销售服务有限公司,0a3fedb2-899b-4f89-b9d3-ca8ede432dde,104.8048,29.32316,自贡市沿滩新城板仓大道272号,0813- 5385088,0813- 5385003,0813-5385008,1,自贡,四川
366,7234a03a-cc8c-43b6-85fb-96685dca0929,DGD039,广汽本田南屏店,珠海市高野汽车销售服务有限公司,e122548a-1a44-4b79-b7ec-34e1c8d6b1e2,113.471,22.2158,广东省珠海市香洲区南屏镇珠海大道3015号,0756-8696088,0756-8696138（8696677）,8696097,1,珠海,广东
528,75339dcc-809f-428f-8edc-d51484488bb0,DZJ028,广汽本田永田店,永康市永田汽车贸易有限公司,b3b26f8c-3fa3-423d-be3e-05b0831a5ab5,119.998,28.9163,浙江省永康市永康市西城花街东大道111号内5号厂房,0579-87595959,0579-87270807（87201616）,87201666,1,金华,浙江
570,b0007eec-23ee-45a6-8e65-703067b00ee8,DZJ012,广汽本田中田店,湖州中田汽车销售服务有限公司,385989df-b29c-4d12-8e1d-ee7f78240f37,120.066,30.8753,浙江省湖州市杭长桥北路888号,0572-2123791,0572-2123826（2123816）,2123759,1,湖州,浙江
71,c23ec1b2-5c52-47bb-aead-7046ee369834,DGZ006,广汽本田德恒店,铜仁德恒汽车销售服务有限公司,736755cb-a542-4979-9916-79cf394ba716,106.734996,26.902826,贵州省铜仁市碧江区灯塔工业园13号公路旁,0856-8883111,,0856-8883222,1,铜仁,贵州
72,73481615-23ff-4c3d-a7b6-eb05380230bf,DHUN12,广汽本田德元店,怀化德元汽车销售服务有限公司,9ef5bef9-a44b-49b8-b434-8825cf87ecf5,109.967,27.5253,湖南省怀化市怀南路18号,0745-2371777,0745-2361622（2360255）,2362999,1,怀化,湖南
73,41b16f73-50cf-425b-ac73-12ee85dfb8f1,DNMG12,广汽本田鼎龙店,兴安盟鼎龙汽车销售服务有限公司,dc4f8b7e-c773-45e0-9234-547d4ce1aa93,122.048167,46.083757,内蒙古自治区兴安盟科右前旗工业园区天骄路西10号,0482-8782666,0482-8782033,13634795553,1,兴安盟,内蒙古
352,38891d6b-1299-4feb-9837-07ce2b647171,DZJ030,广汽本田路桥店,台州市路桥红本汽车销售服务有限公司,e4b1be86-51f1-4e82-84fd-0584370ae04d,121.388,28.5912,浙江省台州市路桥区泰隆街1388号,0576-82605555,0576-82961718（82482333）,82603333,1,台州,浙江
75,aa126995-9b13-4e7c-9cfd-a68283eaa734,DSXE03,广汽本田东港店,晋城市东港汽车销售有限公司,07c77dfe-a47e-4ff5-9dc4-0129190fe515,112.866,35.4853,晋城市文昌东街1532号,0356-2126459,0356-2127518（2126355）,2126496,1,晋城,山西
514,9e1ef605-6776-43a7-916e-f951b631e3ec,DNX002,广汽本田怡海店,宁夏怡海汽车销售服务有限公司,c492eda4-cdfe-45de-b885-41b31b4c3ee6,106.319,38.5438,银川德胜工业园区109国道东侧26号,0951-8088006,0951-8088015(8088003),13895014898,1,银川,宁夏
395,66770f9f-d2e1-410e-9a08-5039c20b9882,DSXE17,广汽本田瑞昇店,运城市瑞昇汽车销售服务有限公司,342c0d56-8269-4080-aa02-1f44e95626b9,111.049039,35.087573,山西省运城市机场大道中段北侧（诺维兰汽车公园内）,0359-8893388,0359-8893366,0359-8710968,1,运城,山西
544,9ca2283f-8b18-4ee9-a9b0-2e4b994d4302,DJS028,广汽本田粤鑫店,无锡市粤鑫汽车销售有限公司,d32ac84c-1ca8-40f0-b699-281eeaa3ef8f,120.23758,31.621915,无锡市惠山区江海西路1099号新江南大厦,0510-83593621,81023333(83593633),81023333,1,无锡,江苏
121,8fad1e65-fd4c-45dc-9501-8a5334732485,DHEN25,广汽本田广威店,许昌广威汽车贸易服务有限公司,f0ba17f0-ea05-4a18-8bcb-e8483165692d,113.779332,34.052304,许昌市天宝路西段（许昌县河街乡半坡铺村天宝路北侧),0374-5660787,0374-5660798,0374-5660111,1,许昌,河南
84,95113ca4-1c84-470e-b5d7-3433d3836dcf,DSD048,广汽本田方正店,滨州市臻尚汽车销售有限公司,26e5402f-e89b-4730-998b-511ef5062862,117.946,37.3797,滨州市渤海五路东方红路口往东160米路北,0543-2223888,0543-2190062（2190075）,2220999,1,滨州,山东
456,c56c886c-2109-4f54-8323-9f34b6394c58,DFJ022,广汽本田万事达店,漳州市中润汽车销售有限公司,d12a7ba2-ba51-4969-83c0-186a3da5f19b,117.712768,24.5006908,漳州市龙文区蓝田镇水仙大街与迎宾路交叉口以西,0596-2891333,0596-2891222,0596-2891222,1,漳州,福建
88,75042665-5d51-4892-993f-210006d60e04,DAH014,广汽本田丰源店,安徽亳州丰源汽车销售服务有限公司,348556c1-acd6-424c-8146-b922065c7903,115.794,33.8396,亳州市经济开发区药都大道南彭马社区内,0558-5599766,0558-5599366（5599866）,-,1,亳州,安徽
525,7701826d-bbbe-4461-9351-10d665d6791f,DSH011,广汽本田永达龙东店,上海永达广申汽车销售服务有限公司,c5eef5a9-d27d-49be-b84e-d5de2a9b960c,121.624,31.2262,上海市浦东新区御桥路1441号,021-68795606,021-68795610（68795590）,54368181,1,上海,上海
497,8552e70b-fa5a-4ae9-b6aa-729afdc8f757,DFJ006,广汽本田信田店,福建信田汽车有限公司,4be96784-acfe-4e8a-a2e2-93d2c86435fb,119.341,26.0177,福建省仓山区则徐大道631号,0591-83530775,0591-83530955（83530579）,83530995）,1,福州,福建
555,481d6fb3-1fa0-4ab0-8879-3680d75368d0,DSD041,广汽本田志广德店,青岛志广德汽车销售服务有限公司,e73e8b17-b2d0-46db-a85a-e3750b5c9195,120.067798,36.256773,青岛胶州市海尔大道258号（海尔大道与云溪路交汇处）,0532-87280777,0532-86621999,0532-86621999,1,青岛,山东
92,47d52a49-d7a5-43de-bba6-8224fb5bda9c,DJS005,广汽本田福田店,镇江福田汽车销售服务有限公司,153bf9d5-9aa2-4594-8f01-0bc30cedd821,119.497,32.1812,江苏省镇江市丁卯桥路228号,0511-88899666,0511-88899333(88899555),88899333,1,镇江,江苏
93,61d257f4-dcd4-4b76-816c-950dcff3e0e3,DSXE09,广汽本田福银店,山西福银汽车销售服务有限公司,c7b689bf-6a22-4436-be94-a4d494ae9d70,113.563,37.9191,山西省阳泉市李荫路168号（黄沙岩路段）307复线旁,0353-2117117,0353-2117008（2117000）,2117111,1,阳泉,山西
553,6ca65127-f3d2-407d-85bc-4aded32ce841,DZJ005,广汽本田之田店建德分店,浙江之田汽车有限公司建德分公司,ed3a1864-8f69-403d-9a32-446124e16ad0,119.304,29.499,建德市新安江街道红枫花园商业房6号,0571-64755555,0571-64755555,13306536907,2,杭州,浙江
533,503011d1-88ce-4ea9-82f4-2d8ab2681b61,DHUB02,广汽本田友芝友店新洲分店,武汉友芝友汽车销售服务有限公司新洲分公司,675832f8-56a5-409e-b7f4-6a088ce423f8,114.82,30.835,武汉市新洲区邾城街龙腾大道252号,027-66665288,027-66665388,85888788,2,武汉,湖北
472,8f2e0e18-dbb8-4b6f-9cb5-d343d34b897e,DSD008,广汽本田翔宇店,山东翔宇汽车服务有限公司,107ec61a-2b62-4365-a930-8f871b37ccb5,118.348,35.022,山东省临沂市罗庄区沂河路201号,0539-2966338(7068510),0539-2966355(7068506),15953988570,1,临沂,山东
551,e29cf7f0-c2b0-412c-8cb0-26d8fd036c28,DZJ050,广汽本田正能店永嘉分店,温州正能汽车销售服务有限公司永嘉分公司,612730d2-2b0e-4577-b422-025733dd99bc,120.658,28.0534,浙江省温州市永嘉县瓯北镇塘头工业区新104国道旁,0577-67915888,0577-67912345,13758466666,2,温州,浙江
517,81df1cb3-8740-4697-8dc6-d9dac5ebd949,DGD072,广汽本田邑兴店,开平市邑兴汽车销售服务有限公司,51109128-f5b8-4d38-8898-0a308d64aa28,112.704,22.3911,开平市振华红进村水边开发区1号地,0750-2207568,0750-2207552（2207562）,2215566,1,江门,广东
106,5817f96c-dbfd-4113-823a-6d1a03d3fbed,DJL014,广汽本田广澳店,白山市成邦汽车销售服务有限公司,85766099-5bc3-4d3a-be91-f42217634dc0,126.422589,41.939411,吉林省白山市浑江区浑江大街广厦安居小区1号楼西侧111室,0439-3256655,0439-3261333,13039389555,1,白山,吉林
567,16f8d56f-e8a1-465b-84d9-27ab7185854e,DYN012,广汽本田中升小屯店,云南中升宏达汽车销售服务有限公司,99bb2815-d7d5-4866-b842-596bd7263174,102.670561,25.079964,云南省昆明市高新区小屯汽车城3号门,0871-68368556,0871-68368558,13888318120,1,昆明,云南
111,38e3b96a-664c-48c1-a44a-74b16b7190d2,DYN004,广汽本田广福店德宏分店,昆明浩伟汽车销售服务有限公司德宏分公司,61625e6f-6433-4b05-bf6b-5fa705bf99ae,98.5943,24.453,云南省德宏傣族景颇族自治州芒市团结大街1号,0692-2137658,0692-2197159,4579333,2,德宏傣族景颇族自治州,云南
114,41be2855-27b1-4656-b40c-3c0418ad6d55,DFJ010,广汽本田广骏店上杭分店,龙岩市广骏汽车销售服务有限公司上杭分公司,21ad648c-8941-4f0b-88ef-da647f1a346e,116.394,25.0541,上杭县临城镇西南村塘东组205国道旁,0597-3965661,0597-3965662,13386936700),2,龙岩,福建
382,048c8778-0706-4980-b00c-8ec394bf6030,DHEB19,广汽本田汽荣广店,唐山荣广汽车销售服务有限公司,177f565a-9be8-4f63-a0a8-b6e2edef2b94,118.114954,39.677295,河北唐山市西外环立交桥北侧荣川汽车园区,0315-5125206 ,0315-5125358 ,0315-5125218,1,唐山,河北
527,dac6c2d9-99bf-41de-aeb2-08ed224b900f,DSD003,广汽本田永利店,烟台永利汽车销售有限公司,2593e934-0d5e-472d-b9c2-4610a430937b,121.358,37.4839,山东省烟台市芝罘区机场路18号,0535-6013333,0535-6010011（6010003）,6018995,1,烟台,山东
126,9ed56a5b-8f33-424d-8a7d-6a98d0ba1d0b,DJL013,广汽本田广远店,梅河口市广远汽车销售服务有限公司,e6655388-0f49-4a6b-87d4-a71ff02e3409,125.678048,42.510597,通化市梅河口市北环路长城汽车机电贸易有限公司东侧,0435-4605888,0435-4762333,0435-2349888,1,通化,吉林
120,f81f1a67-293e-4361-a7e4-add931293ce8,DAH007,广汽本田广通店,淮南市广通汽车销售服务有限公司,3a614280-f234-4bf6-be2e-dc954f83de4b,117.014,32.6514,淮南市经济技术开发区南区,0554-3312345,0554-3310927（3312345）,3310000,1,淮南,安徽
122,319902ac-6260-44ac-82c6-c70551eb888c,DGX010,广汽本田广梧店,梧州市广物汽车销售服务有限公司,4abc4687-5e5e-401f-a9d9-f2b64929dcdf,111.239,23.4734,梧州市三龙大道西南侧（玫瑰湖公园对面）,0774-6013888,0774-6013922（6013780）,,1,梧州,广西
123,54fce8bf-a86c-40a1-b1b9-f33f602b720b,DGD066,广汽本田广物兴店,汕尾广物汽车销售服务有限公司,fb7152a6-cd66-4eae-94fb-d58c383123e2,115.362,22.8297,汕尾市海汕公路埔边工业区路段,0660-3412288/3412338,0660-3412366（3412448）,3412333,1,汕尾,广东
204,bd3661c4-d6d5-4ab0-a22c-c17d6d9a878b,DGX001,广汽本田华昌店,广西华昌汽车销售服务有限公司,0a81ffa3-3a2a-42c2-bd7a-d7ef420084f4,108.305,22.7802,广西南宁市江南区白沙大道58号,0771-4517880,0771-4518531（4518530）,0771-4517866,1,南宁,广西
146,2efbbfff-6ad3-43c4-a5e2-e2a3f1d5b3d4,DGZ007,广汽本田瀚羿睿景店,贵州瀚羿睿景汽车销售服务有限公司,eed6247f-b39f-4d2f-b59b-36fd10cb07f8,106.519707,26.567793,贵州省贵阳市沙冲南路200号,0851-3845156,0851-3802333,3802333,1,贵阳,贵州
129,98533b50-c9a7-4d64-aff6-5312d0f67bd7,DGZ002,广汽本田贵和店毕节分店,贵阳贵和汽车销售服务有限公司毕节分公司,cc373428-cc77-4a15-b9f6-6671713b6c1b,105.286,27.2895,贵州省毕节市七星关区瑞丰新城10号楼负二层,  0857-8687000,  0857-8709000,6606166,2,毕节,贵州
