id,sjname,jingdu,weidu,phone,address,fax,cityid,orderby
1009,东莞市兴发汽车贸易有限公司,113.439830546,22.601145256,0769-82882838,广东省东莞市虎门镇白沙社区莞太路265号之一（即虎门高铁站旁）,0769-85129039,GD057,999
1022,东莞市勤力汽车贸易有限公司,113.858243012,23.016053629,0769-81258999,东莞市寮步国际汽车城内四路B0303,0769-82399299,GD057,999
1040,东莞市和盛佳汽车销售服务有限公司,113.712729394,22.983707890,0769-38875258,东莞市南城区莞太路石鼓盛嘉汽车城,0769-38875250,GD057,999
1042,东莞市锋得行汽车销售服务有限公司,113.858171383,23.022483552,0769-83288775,东莞市寮步镇樟路塘唇路段5号,0769-89610631,GD057,999
1848,东莞市旭明汽车销售有限公司,114.150868,22.765188,0769-86800018,广东省东莞市凤岗镇海永科技园A栋1楼,0769-86805533,GD057,999
997,佛山机电设备有限公司,113.109472915,23.008632938,0757-83963633,佛山市禅城区石湾镇街道番村丰田工业区及祠前工业区自编3座首层3105、3107、3108号铺及4座首层4101、4102号及中间位置号铺,0757-83834875,GD067,999
1024,佛山市顺德区东汽汽车销售服务有限公司,113.240193287,22.862345990,0757-28091113,佛山市顺德区大良金榜街道办事处广珠新滘路段,0757-28091114,GD067,999
1028,佛山市键马汽车贸易有限公司,113.135313921,23.074521497,0757-81237333,佛山市南海区海八路（华南汽车内）,0757-81239801,GD067,999
1969,佛山市安迪通汽车贸易有限公司,113.106602782,23.012537337,0757-82781891,佛山市禅城区佛山大道中83号中（国际）车城北区二座8-10号（销售部）,0757-82781890,GD067,999
1688,佛山市南海区宇翔汽车贸易有限公司,113.132941,23.074821,0757-86200181,佛山市南海区桂城文华北路11号之三,0757-86200186,GD067,999
999,广东欧亚特汽车销售服务有限公司,113.377162654,22.969374611,020-34517788,广东省广州市番禺区东环街大北路618号,020-34511681,GD001,999
1008,广州东湖汽车销售服务有限公司,113.252516143,23.092461763,020-81681220,广州市荔湾区芳村大道东166号,020-81574192,GD001,999
1013,广州志翔汽车贸易有限公司,113.582133895,23.127016753,020-82601777,增城市新塘镇广深公路南安横山段,020-82676673,GD001,999
1033,广州市锦虹汽车销售服务有限公司,113.596214897,23.127364387,020-82695333,广州市增城新塘镇107国道（白江村田下合作社耙岭路段）,020-82673253,GD001,999
1038,广州市鑫湾汽车贸易有限公司,113.329096,23.264873,020-36378080,广州市白云区东平北路223号,020-36378268,GD001,999
1746,广州宝昊城汽车销售服务有限公司,113.291652,23.208322,020-36210299,广州市白云区黄石东路767-775号,020-36307727,GD001,999
1826,广州市路骐汽车销售有限公司,113.416351,23.161977,020-29056611,广州市天河区合景路合景商业街3号C栋101号房,020-29056611,GD001,999
1980,广州海恒科迪汽车销售服务有限公司,113.441536,23.102107,020-85214699,广州市黄埔区黄埔大道东1773号,020-85214699,GD001,999
1068,广州亚美迪汽车销售有限公司,113.366649,22.984864,020-84890777,广州市番禺区市桥街云星珠坑村三角11巷1号首层,020-34816777,GD001,999
1073,广州金昊城汽车销售服务有限公司,113.220465,23.428442,020-36897161,广州市花都区狮岭镇杨一村自编建设北路232号,020-36897161,GD001,999
1036,河源市永发汽车销售有限公司,114.699564,23.780264,0762-3215888,河源市河源大道北白岭头火车桥过100米,0762-3215888,GD021,999
1839,河源市乾元新景汽车销售有限公司,114.721311,23.702458,0762-7882333,紫金县临江工业园超然汽车城内,0762-7302001,GD021,999
995,惠州市越景汽车销售服务有限公司,114.461441537,22.981946935,0752-2558886/0752-2058880/0752-2558881,惠州市惠城区三栋数码工业园惠南汽车城,0752-2558886,GD052,999
1014,惠州市金环怡汽车销售有限公司,114.241152304,23.081533407,0752-5869988,惠州市惠博路金山汽车城,0752-5869990,GD052,999
1030,惠州市惠迪汽车贸易有限公司,114.401252537,23.137155482,0752-2488889,惠州市惠城区江北惠博大道金山汽车内,0752-2851558,GD052,999
1026,开平市新俊汽车贸易有限公司,112.691472138,22.387340155,0750-2213222,江门市蓬江区西环路163号3幢A1,0750-2295666,GD061,999
1032,江门市广瑞汽车贸易有限公司,113.077116,22.623668,0750-3215566,江门市北环路以南,0750-3488777,GD061,999
1021,揭阳市鹏发车业有限公司,116.395095939,23.573083750,0663-8306555,揭阳市环市北路以南，临江北路东以西（消防培训中心隔壁）,0663-8306006,GD043,999
1917,揭阳市盛世开元汽车销售有限公司,116.479257,23.528081,,揭阳市炮台镇埔仔社区居民委员会往前100米（206国道，粤龙混凝土公司隔壁）,,GD043,999
1027,茂名石化汽车服务有限公司汽车销售分公司,110.907458369,21.689992453,0668-2881268/3331268,茂名市红旗北路90号,0668-2881268,GD088,999
1675,茂名市粤迪汽车贸易有限公司,110.92277,21.637537,0668-3331080,广东省茂名市茂南大道28号的茂名市鑫珑车城,0668-3331060,GD088,999
1011,梅州市鸿彤汽车贸易有限公司,116.132148,24.340955,0753-2388138,梅州市梅江区月梅路91号,0753-2366178,GD028,999
1884,梅州市乾元新景汽车销售有限公司,115.694362,24.134101,0753-3290888,兴宁市兴田洋岗205国道侧（留福岭兴福加油站侧）,0753-3293666,GD028,999
1023,清远市友盈汽车销售服务有限公司,113.062302590,23.665453591,0763-6888882,清远市新城B28号区,0763-3666288,GD004,999
1676,清远锦昊城汽车销售服务有限公司,113.065885,23.6601,0763-3665186、0763-3665051,清远市107国道新城东B41号区众聚成汽车城内、远光电缆厂对面,0763-3665051,GD004,999
1701,汕尾锦虹汽车销售服务有限公司,115.370552,22.833625,0660-3417888,汕尾市城区海汕公路168号,0660-3417881,GD048,999
1559,韶关市锋得行汽车销售服务有限公司,113.592738,24.764689,0751-8292022,韶关市浈江区南郊四公里东侧（韶南大道北126号）,0751-8292022,GD012,999
996,深圳市龙南汽车贸易有限公司,114.044626489,22.699081935,0755-27999283/0755-27999293,深圳市宝安区龙华龙观大道清湖路口（机荷高速福民出口右侧）,0755-27999508,GD058,999
1001,深圳市湛宝实业发展有限公司,114.228317100,22.674463249,0755-89738666,深圳市龙岗区信义汽车城8号,0755-89738803,GD058,999
1004,深圳市东盛汽车销售服务有限公司,113.854867955,22.760934226,0755-81766182/0755-81766183,深圳市宝安区松岗镇107国道159号,0755-27096801,GD058,999
1005,深圳市三维都灵汽车销售服务有限公司,114.035887988,22.547948493,0755-83052170,深圳市福田区香蜜湖联合华鹏汽车交易场B3-2,0755-83052278,GD058,999
1015,深圳金环怡投资有限公司,113.873243955,22.605953371,0755-29730018,深圳市宝安区107国道固戍路口愉盛工业园10栋1号南,0755-29731018,GD058,999
1020,深圳市泽然浩商贸有限公司,114.271699,22.727377,0755-28241800/28241811,深圳市龙岗区深惠路5002号。,0755-28241799,GD058,999
1029,深圳市恒泰昌汽车销售服务有限公司,114.038602813,22.676117449,0755-81788886,深圳市宝安区龙华街道三联富联新村B区顺成发公司一楼A区,0755-28066168,GD058,999
1734,深圳市粤迪汽车贸易有限公司南山分公司,113.912652,22.554769,0755-26086300,深圳市南山区南头街道南头关口二路嘉进隆（安乐）汽车城A区A04-2号,0755-86053711,GD058,999
1827,深圳市盛世开元汽车销售有限公司龙岗区分公司,114.081601,22.649757,0755-89378878,深圳市龙岗区坂田街道吉华路466号新天下华赛工业区,,GD058,999
1787,阳江市江城区锋得行汽车销售服务有限公司,112.016438,21.885168,0662-3333366,广东省阳江市江城区十里桐古弯,0662-3333366,GD084,999
1864,云浮市盛世开元汽车销售有限公司,112.073369,22.957444,0766-8906686,云浮市云城区324国道过境公路稔塘村路段（北京现代4S店对面）,,GD079,999
1863,湛江市盛世开元汽车销售有限公司,110.383532,21.304428,0759-3301777,湛江市赤坎区振华（东盛）路7号海田国际车城,0759-3301222,GD093,999
1072,肇庆安迪通汽车服务有限公司,112.487999,23.095908,0758-2160599,肇庆市端州区迎宾大道北侧（田寮岗）商铺（即过境公路北侧，铁路疗养院西南的场地）,0758-2160599,GD072,999
1582,中山市三联汽车销售服务有限公司西区分公司,113.334647,22.578274,0760-88550083,中山市西区105国道隆昌村（中山雷克萨斯汽车销售侧）,0760-88556060,GD060,999
1677,中山市悦禾汽车销售服务有限公司,113.234296,22.652987,0760-22269922 ,中山市小榄镇菊城大道中86号商铺第1卡,0760-22280992 ,GD060,999
1016,珠海市航鑫有限公司,113.525010326,22.280209070,0756-8588095/8588096/6835216/6835217,珠海市梅华西路911号中立信展销中心,0756-8506900,GD059,999
1891,珠海市银河鑫隆汽车销售有限公司,113.50044,22.294349,0756-3801111,珠海市上冲名车城华威路117号,0756-3895871,GD059,999
1861,北海市盛世路骐汽车销售有限公司,109.169221,21.501792,0779-2290999,北海市海城区北部湾东路北海汽车交易市场内,0779-2290525,GX046,999
1885,崇左市盛世开元汽车销售有限公司,107.372305,22.416301,0771-7963588,崇左市江州区丽江路（崇左市丽江建筑工程公司旁）,,GX089,999
1057,桂林市乐丰汽车贸易有限公司,110.313943269,25.354874798,0773-2638822,广西灵川县八里街工业园区30-2A号地第1栋1-4号,0773-2638057,GX009,999
1828,桂林市乐丰汽车贸易有限公司秀峰分公司,,,0773-7993091,桂林市秀峰区甲山街道办事处唐家村委路口村（德恒物流园内）,,GX009,999
1722,柳州市迪翔汽车贸易有限公司,109.369911,24.313921,0772-8803666,广西壮族自治区柳州市柳南区广汽路9号,0772-8803353,GX022,999
1921,柳州市乾元新景汽车销售有限公司,,,0772-2119880,柳州市白露乡马厂村民委员会胜利西路双冲大桥北面桥头马厂村黄瓜岭,0772-2126520,GX022,999
1060,南宁佳之迪汽车销售有限公司,108.270512250,22.782410685,0771-4866590,广西壮族自治区南宁市江南区南站大道29号,0771-4866625,GX001,999
1860,南宁市盛世开元汽车销售有限公司,108.320397,22.884309,0771-3399229,南宁市北湖北路71号北湖国际汽车城四号汽车广场A3a-A13b、B3a-B13b商铺,0771-3399229,GX001,999
1829,梧州市盛世开元汽车销售有限公司,111.246859,23.474565,0774-6024242,梧州市长洲区三龙大道95号,0774-6026294,GX029,999
1967,玉林市锋得行汽车销售服务有限公司,110.285346,22.687333,0775-2295625,广西玉林市人民东路南侧（茂林镇陂石村段）玉林汽车新城4号展厅,,GX037,999
1075,毕节三瑞汽车销售服务有限公司,105.322944,27.294945,0857-8018887,贵州省毕节市双山新区“双山组团产业园区”,0857-8018887,GZ028,999
1064,贵州乾骏汽车销售服务有限公司,106.689660332,26.535287668,0851-3811333,贵州省贵阳市花溪大道中段四方河路59号,0851-3810320-8888,GZ001,999
1065,贵州长峰汽车销售服务有限公司,106.685837454,26.532318377,0851-83816999,贵州省贵阳市白云区白云北路麦架工业园,0851-83817455,GZ001,999
1069,贵州福利汽车销售服务有限公司,106.742779,26.573916,0851-86752555,贵州省贵阳市南明区机场路汤家坡7号,0851-83715267,GZ001,999
1066,贵州省凯里中惠贸易有限公司,107.983625574,26.571190682,0855-8067087,凯里市经济开发区经纬汽车城,0855-8061978,GZ046,999
1869,都匀市盛世开元汽车销售有限公司,107.520788,26.317176,0854-8751888,贵州省黔南布依族苗族自治州都匀市斗篷山路八中入口处,0854-8751888,GZ047,999
1868,贵州林辉汽车销售服务有限公司,104.866529,25.128283,0859-3813388,贵州省兴义市坪东大道延伸段木贾物流园,0859-3818661,GZ048,999
1070,遵义一木贸易有限责任公司,106.902667926,27.655372700,0851-28426365,遵义市汇川区汽车商贸城（汇川区董公寺镇和平村）,0852-8428255,GZ009,999
1944,贵州航天实业有限公司汽车服务分公司,106.958147,27.723098,0851-28612248,贵州省遵义市汇川区航天工业园区（东联线D栋门面3号附6号）,0851-28612308,GZ009,999
1151,海口翔迪汽车服务有限公司,110.325964698,20.000663344,0898-31359988,海口市南海大道100号美国工业村内（展厅为北侧由东向西第29格至37格钢结构厂房，售后为标准第2号厂房）,0898-31359901,HAIN001,999
1162,海口翔飞汽车贸易有限公司,110.283087160,20.002529109,0898-31999777/0898-68625577,海口市南海大道228号海南汽车大世界A2铺面,0898-31977757,HAIN001,999
1811,三亚翔合汽车贸易有限公司,109.574423,18.292113,0898-38269777,海南省三亚市迎宾路警备区红土坎海防营东侧,0898-38213715,HAIN018,999
1077,保定市顺捷物资贸易有限公司,115.501051183,38.888143936,0312-3036666,保定市高开区创业路与向阳北大街交叉口北行100米,0312-5939266,HEIB065,999
1095,保定市天地人合汽车销售服务有限公司,115.515426901,38.835540726,0312-5918588,保定市长城南大街1485号,0312-5918703,HEIB065,999
1106,涿州中煤华谊汽车销售服务有限公司,115.974250662,39.490952067,0312-3684888,河北省涿州市范阳西路17号,0312-8404985,HEIB067,999
1732,定州市汇盛汽车贸易有限公司,114.922378,38.557248,0312-2102777,定州市唐河循环经济产业园庞大汽贸园3#店,0312-2102333,HEIB065,999
1078,沧州市骏驰汽车销售有限公司,116.556610276,38.176202338,0317-3091111/0317-5639885,沧州市开发区石港路12号,0317-3091933,HEIB088,999
1950,任丘市盛世开元汽车销售有限公司,116.087218,38.724497,0317-5593100,任丘市西环路106国道西侧交警队对面,,HEIB088,999
1085,承德市开发区源泉汽车贸易有限公司,117.965905123,40.936861193,0314-2378552/0314-2378553,承德市开发区九华山京承路西侧,0314-2379878,HEIB033,999
1103,邯郸市福达汽车贸易有限公司,114.567679,36.662445,0310-5908686,邯郸市经济开发区新区时代物流城204A展厅（和谐大街与邯临公路交叉口西北角）,0310-8067575,HEIB132,999
1735,河北兴迪汽车销售有限公司,114.266073,36.687249,0310-7890888,武安市曹公泉工业园区（东二环邯武国际汽车城）,0310-5684488,HEIB132,999
1919,邯郸市晟迪汽车销售服务有限公司,114.495795,36.66341,0310-8086188,河北省邯郸市丛台区北环路西段北侧（荣汇汽车城东区东侧1号展厅）,,HEIB132,999
1865,衡水鑫和世家汽贸有限公司,115.711854,37.774398,0318-2631818,衡水市桃城区北外环（衡水市北外环东路596号亨源汽贸城）,,HEIB103,999
1098,霸州市鑫时利汽车销售有限公司,116.397596005,39.097872575,0316-7113000,霸州市106国道长途汽车站南800米路东,0316-7237776,HEIB057,999
1870,三河市盛世新景汽车销售有限公司,116.980952,39.9706,0316-3088066,河北省廊坊市三河市京哈路北，李木耳村南（102国道）北侧，门牌号173,,HEIB056,999
1691,廊坊市瑞崇汽车销售有限公司,116.759891,39.49884,0316-2039992,河北省廊坊市广阳区104国道彭庄西口,0316-2039992,HEIB056,999
1108,秦皇岛机电比亚迪汽车销售服务有限公司,119.642117,39.973824,0335-5325333,秦皇岛市海港区东港路492号,0335-5828603,HEIB042,999
1084,河北同驰汽车贸易有限公司,114.555367337,38.077552039,0311-87716678,石家庄市北二环东路国际汽贸园,0311-85675266,HEIB001,999
1088,河北习实康鑫汽车贸易有限公司,114.535649438,38.085568971,0311-87322126,河北省石家庄市长安区北二环东路43号,0311-87322112,HEIB001,999
1862,石家庄乾恒汽车销售有限公司,114.556644,37.987832,0311-85248881,河北省石家庄市裕华区石栾路105号,,HEIB001,999
1104,唐山市金利海汽车销售有限公司,118.206418089,39.657989298,0315-5929555/5929777,唐山市路北区建华东道18号,0315-5916116,HEIB047,999
1546,唐山环耀汽车销售服务有限公司,118.26268,39.629647,0315-2969999,唐山市开平区越河乡罗各庄村,0315-2981999,HEIB047,999
1951,遵化市乾元新景汽车销售有限公司,117.959843,40.146739,暂无,河北省遵化市西留村乡白方寺村东112线西侧,暂无,HEIB047,999
1080,邢台和信汽车贸易有限公司,114.490316171,37.077640075,0319-3216777,河北省邢台市桥东区龙岗大街汽车城内,0319-5257000,HEIB114,999
1083,河北三行汽车贸易股份有限公司,114.514887637,37.131597263,0319-3656266,河北省邢台市龙岗大街与永安路交叉口西北角,0319-3656202,HEIB114,999
1096,邢台大丰汽车有限公司,114.489930118,37.078292205,0319-3901999,河北省邢台市龙岗大街汽车园二区33号,0319-3900919,HEIB114,999
1092,张家口市贵宾汽贸汽修有限公司,114.919975447,40.749789118,0313-4088111,张家口市胜利南路36号,0313-4085151,HEIB019,999
1132,安阳市华伟汽车销售服务有限公司,114.354192,36.07808,0372-2127788,安阳市文昌大道西段路南,0372-2119866,HEIN043,999
1849,安阳乾博源汽车销售服务有限公司,114.420267,36.057734,0372-2999006,安阳市文峰区光明路与长江大道交叉口豫北汽车城院内,0372-2999006,HEIN043,999
1758,焦作市乾博源物资有限责任公司济源分公司,112.642157,35.093599,0391-6608166,河南省济源市新济路交警支队西200米路南,0391-6608144,HEIN024,999
1114,焦作市共城汽车销售服务有限公司,113.264702957,35.192443332,0391-8862222,河南省焦作市山阳区塔南路六运对面,0391-8862115,HEIN024,999
1120,河南天时汽车销售服务有限公司开封分公司,114.312305076,34.829698719,0371-22735555,开封市汴西新区魏都路155号（金明大道与魏都路交叉口向西500路南）,0371-22735556,HEIN055,999
1639,洛阳陆行汽车销售服务有限公司,112.531262296,34.728903426,0379-63761086,洛阳市洛龙区龙门大道大杨树路口南70米路西,0379-63761076,HEIN014,999
1912,洛阳茂迪汽车销售有限公司,,,0379-60630555,洛阳市老城邙山镇望朝岭北,,HEIN014,999
1123,漯河市华润汽车销售服务有限公司,114.018075242,33.560375238,0395-5890169,漯河市工业园区汽车城,0395-5901966,HEIN075,999
1144,漯河市诚达汽车销售服务有限公司,114.068303925,33.598258282,0395-3228888,漯河市源汇区桂江西路与名车大道交叉口东南角,0395-3376000,HEIN075,999
1113,南阳启成汽车销售有限公司,112.527592783,33.039020763,0377-63292898,南阳市信臣路与北京路交叉口向东2公里路南（热电厂东邻）,0377-62223958,HEIN086,999
1130,南阳盛元汽车销售有限公司,112.574540905,33.036346328,0377-62200999,南阳市312国道与独山大道交叉口向东300米(路南),0377-62200777,HEIN086,999
1561,邓州永成商贸有限公司,112.140992,32.706832,0377-62956888,邓州市七里店湍河桥东600米路北,0377-62956555,HEIN086,999
1133,平顶山市迪升汽车贸易服务有限公司,113.379822559,33.740431848,0375-7102691,平顶山市卫东区建设路东段鸿鹰小区加油站对面,0375-7102652,HEIN079,999
1905,平顶山市博悦汽车销售服务有限公司,113.440042,33.736095,0375-3981111,平顶山市建设路与许南路交叉口向东300米路北东方驾校院内6号,0375-4859906,HEIN079,999
1115,濮阳市利天汽车销售服务有限公司,115.127327439,35.785053666,0393-8807666,河南省濮阳市华龙区106国道与苏北路交叉口,0393-8807885,HEIN049,999
1610,灵宝卓昕汽车服务有限公司,110.866479,34.537907,0398-2895168,灵宝市长青汽车商贸城,0398-2891126,HEIN008,999
1124,商丘市隆兴汽车销售有限公司,115.611841342,34.444520953,0370-2228833,商丘市梁园区锦绣路与车城大道交叉口路北,0370-2228862,HEIN061,999
1609,永城市春雷汽车销售有限公司,116.429625,33.894844,0370-5770600,河南省永城市新城永城汽车城南大门,0370-2228862,HEIN061,999
1918,商丘市乾元新景汽车销售有限公司,115.709245,34.403841,0370-3070866,北海路与星林路交叉口,,HEIN061,999
1786,新乡市新迪汽车销售服务有限公司,113.901478785,35.264611048,0373—5073666,河南省新乡市卫滨区南环路与振中路交叉口东南角,0373—3839110,HEIN031,999
1895,辉县市天成圆汽车贸易有限公司,113.830146,35.448185,0373-5275111,辉县市孟庄镇段屯卫柿路南,,HEIN031,999
1131,信阳锐达汽车销售服务有限公司,114.083104511,32.169767383,0376-3809638,信阳工业城迎宾大道航天车辆厂东隔壁,0376-3809876,HEIN098,999
1768,信阳昱达新能源汽车销售有限公司,114.139286,32.131502,0376-3807777,河南省信阳市平桥区银钱村312国道南侧,0376-3807666,HEIN098,999
1111,许昌市恒力汽车销售服务有限公司,113.849382117,34.077374688,0374-2526666,许昌市梨园转盘向东500米路南（京港澳高速南口）,0374-2525809,HEIN069,999
1620,禹州市淇虹汽车销售服务有限公司,113.476973,34.142232,0374-2766777,禹州市夏都办事处阳翟大道中段路南,0374-8256188,HEIN069,999
1759,许昌维利特汽车销售服务有限公司,113.810738,34.009314,0374-2299966,许昌市许由路与工农路交叉口向西150米路南,0374-2299959,HEIN069,999
1631,河南天泽新能源汽车有限公司,113.678922,34.634812,0371-56566868,新郑市龙湖镇107国道西侧小刘桥北,0371-56565976,HEIN001,999
1636,河南宇鼎缘汽车销售服务有限公司,113.530437,34.720722,0371-67607111,郑州市二七区工业路北、规划路东8号,0371-67607880,HEIN001,999
1652,河南省荣光汽车贸易有限公司,113.682255,34.848886,0371-65338888/63291888,郑州市花园路与龙门路交叉口向西120米北（瑞丰编织袋厂院内）,0371-63291111,HEIN001,999
1747,河南新利天汽车销售有限公司,113.600238,34.791491,0371-55501122,河南省郑州市中原区化工路与西环路交叉口向北1000米路西,0371-86073272,HEIN001,999
