_id,_location,_name,_address,JVFlag,Website,DealerAffiliation,WeChatUrl,Fax,AdministrativeArea,DealerEntity,WeiboURL,DealerNewVehicle,ServicePhoneNumber,ServiceHistoryID,PrimaryPhone,eDaijiaPhone,SalesPhoneNumber,Email,Servicehours,Locality,eDaijiaCustomerID,PostCode,VehicleServices,FCOPhoneNumber,DealerID,eDaijiaFlag,Saleshours,_createtime,_updatetime,_province,_city,_district,_distance,_image
26652,"117.328085,31.903486",安徽宏实汽车销售有限公司(卫星店),合肥市铜陵北路1889号馥邦汽车城,JMC,Category3,,,安徽,0551-64288777,,"福特经典全顺,福特新世代全顺,全新福特撼路者,福特途睿欧,福特新全顺",,,,销售:0551-64288777,,ahhsjl@jmc.com.cn,0551-64288777,合肥,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,230000,"销售,保养,机修,钣喷",,,卫星店未授权,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,合肥市,瑶海区,13257,[]
26592,"117.329586,31.903251",安徽宏实汽车销售有限公司,合肥市铜陵北路1889号馥邦汽车城,JMC,Category3,,,安徽,0551-63811919,,"福特新世代全顺,福特经典全顺,福特新全顺,福特途睿欧,全新福特撼路者",,0551-63819956,,销售:0551-63811911;服务:0551-63819956,,mailto:ahhsjl@jmc.com.cn,0551-63811911,合肥,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,230601,"销售,保养,机修,钣喷",,,1511106A,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,合肥市,瑶海区,13342,[]
26660,"117.349503,31.894756",安徽省大步新海大道分公司,安徽省合肥市新站区新海大道19号,CAF,Category2,,,安徽,0551-64396068,,"全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",,0551-64280968,,销售:0551-64280968; 服务:0551-64280968,,service@a04512.caf.so,0551-64280968,合肥,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",,230012,,,,A40689,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,合肥市,瑶海区,14193,[]
26664,"117.05554,30.554928",安庆环福汽车销售服务有限公司,安徽省安庆市中兴大道203号,CAF,Category2,,,安徽,0556-5307002,,"全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",,0556-5305555,,销售:0556-5307000; 服务:0556-5305555,,buicksun@126.com,0556-5307000,安庆,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",,246000,,,,A09294,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,安庆市,宜秀区,1496,[]
26597,"117.060555,30.574184",安庆福江汽车销售有限公司,安庆市宣秀区大桥办事处砂桥村（公安驾校向北1000米）,JMC,Category3,,,安徽,0556-5901976,,"福特经典全顺,福特新世代全顺",,0553-5948777,,销售:0556-5901296;服务:0553-5948777,,mailto:aqxy@jmc.com.cn,0556-5901296,安庆,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,246000,"销售,保养,机修,钣喷",,,1511302S,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,安庆市,宜秀区,3428,[]
27262,"118.829917,30.942301",宣城亚夏福嘉汽车销售服务有限公司,宣城市经济开发区兴隆路2号,CAF,,Category2,,0563-2625468,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0563-2627000,,销售:0563-2625333; 服务:0563-2627000,,0563-2625333,sales@A23457.caf.so,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",宣城,,242000,,,A23457,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:10,2017-09-26 14:10:50,安徽省,宣城市,宣州区,6785,[]
26601,"118.727367,31.009532",安徽宏帆汽车销售服务有限公司,"安徽省宣城市宣州区经济开发区汽车城昭亭北路西,叠翠路南",JMC,Category3,,,安徽,,,"福特新世代全顺,福特经典全顺,福特新全顺,全新福特撼路者",,,,销售电话:0563-2513668,,,0563-2513668,宣城,,,,,,,1511308S,,2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,宣城市,宣州区,8221,[]
27255,"116.970867,33.602512",宿州福誉通汽车销售服务有限公司,宿州市经济开发区西昌南路东侧白马商城东向南300米,CAF,,Category2,,0557-3331530,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0557-3332277,,销售:0557-3332255; 服务:0557-3332277,,0557-3332255,tlfubing@163.com,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",宿州,,234000,,,A27197,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:10,2017-09-26 14:12:53,安徽省,宿州市,埇桥区,4915,[]
26595,"116.988918,33.605134",安徽宏安汽车销售服务有限公司,安徽省宿州市外环南路与宿怀路交叉口西南角鑫旺家居楼下,JMC,category3,,,安徽,3609006,,"福特经典全顺,福特新世代全顺,全新福特撼路者,福特途睿欧,福特新全顺",,0557-3609005,,0557-2600077;2580666,,mailto:ahha@jmc.com.cn,0557-2605637,宿州,,,234000,,,,1511112B,,2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,宿州市,埇桥区,5120,[]
26712,"117.922251,31.635592",巢湖大步畅达汽车科技有限公司,巢湖市半汤经济开发区金山路409-414号(巢湖市巢扬学校对面),CAF,,Category2,,0551-82318955,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0551-82318208,,销售:0551-82315000; 服务:0551-82318208,,0551-82315000,admin@ahdabu.com,"09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00;09:00,18:00",巢湖,,238000,,,A36065,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-09-26 16:28:56,安徽省,合肥市,巢湖市,7049,[]
26657,"117.528262,30.617223",安徽聚福汽车销售服务有限公司,安徽省池州市站前区汽车集聚园内（车管所旁）,CAF,Category2,,,安徽,0566-2099717,,"全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",,0566-2020555,,销售:0566-2220666; 服务:0566-2020555,,mail@tl-ford.com,0566-2220666,池州,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",,247100,,,,A37161,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,池州市,贵池区,6351,[]
26880,"116.797265,33.924289",淮北市良宇汽车销售服务有限公司,淮北市相山区汽车城内骏驰路南,CAF,,Category2,,0561-3868080,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0561-3892888,,销售:0561-3892888; 服务:0561-3892888,,0561-3892888,liangyuyx@163.com,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",淮北,,235000,,,A25835,,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",2017-07-20 12:55:09,2017-09-26 16:17:40,安徽省,淮北市,相山区,3511,[]
26596,"116.75383,33.876343",淮北舜和汽车销售服务有限责任公司,淮北市濉溪县202省道郭楼桥北500米,JMC,Category3,,,安徽,0516-6827222,,"福特经典全顺,福特新世代全顺",,0561-6891110,,销售:0561-7122888;服务:0561-6891110,,mailto:hbsh@jmc.com.cn,0561-7122888,淮北,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,235100,"销售,保养,机修,钣喷",,,1511301S,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,淮北市,濉溪县,9746,[]
26881,"117.068086,32.661023",淮南市福久汽车销售服务有限公司,安徽省淮南市经济技术开发区国庆东路,CAF,,Category2,,0554-3316192,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0554-3312811,,销售:0554-3311322; 服务:0554-3312811,,0554-3311322,skodazy68@163.com,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",淮南,,232008,,,A24436,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-09-26 16:17:37,安徽省,淮南市,大通区,7508,[]
26626,"118.32711,32.273804",滁州宏海汽车销售服务有限公司,滁州市中都大道777号,JMC,Category3,,,安徽,0550-3018651,,"福特经典全顺,福特新世代全顺",,0550-3018367,,销售:0550-3316699;服务:0550-3018367,,mailto:czhh@jmc.com.cn,0550-3316699,滁州,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,239000,"销售,保养,机修,钣喷",,,1514313S,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,滁州市,琅琊区,3227,[]
26730,"118.308343,32.246632",滁州正丰汽车贸易服务有限公司,滁州市南谯区城南汽车工业园丰乐大道2589号（滁州职业技术学院新校区斜对面）,CAF,,Category2,,0550-2187058,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0550-2136999,,销售:0550-2136888; 服务:0550-2136999,,0550-2136888,weitiansz@163.com,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",滁州,,239000,,,A25636,,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,19:30;08:00,19:30",2017-07-20 12:55:09,2017-09-26 14:36:45,安徽省,滁州市,南谯区,6164,[]
26731,"119.020088,32.647957",滁州正丰天长分公司,滁州天长市广陵东路国际五金城4幢1--6号,CAF,,Category2,,0550-7759757,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0550-7759759,,销售:0550-7759759; 服务:0550-7759759,,0550-7759759,gm@a25636.caf.so,"08:00,17:30;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",天长,,239300,,,A40673,,"08:00,17:30;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",2017-07-20 12:55:09,2017-09-26 14:36:43,安徽省,滁州市,天长市,2609,[]
27527,"118.401261,31.374564",芜湖福禧汽车销售服务有限公司,芜湖市鸠江区万春西路鸠江区法院对面汽车园内,"CAF,FCO",Category1,,,安徽,0553-5887158,,"全新福克斯RS,福特探险者,福特福克斯ST,全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特S-MAX,福特翼搏,福特翼虎,全新福特锐界",,0553-5727000,,销售:0553-5728000; 服务:0553-5727000; 进口:0553-5728000,,gm@a29715.caf.so,0553-5728000,芜湖,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",,241000,,0553-5728000,,A29715,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:10,2017-07-20 12:55:10,安徽省,芜湖市,鸠江区,3858,[]
26599,"118.364998,31.412781",中交二航局第四工程有限公司芜湖汽车修理厂,安徽省芜湖市长江北路231号,JMC,Category3,,,安徽,0553-5843089,,"福特经典全顺,福特新世代全顺",,0553-5843089,,销售:0553-58884466;服务:0553-5843089,,mailto:zjwh@jmc.com.cn,0553-58884466,芜湖,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,241000,"销售,保养,机修,钣喷",,,1511304S,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,芜湖市,鸠江区,9276,[]
27209,"118.27019,31.203893",芜湖亚夏福迪汽车销售服务有限公司,芜湖市三山区长江南路与龙湖路交叉口亚夏汽车财富文化广场,CAF,,Category2,,0553-2962558,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0553-2963911,,销售:0553-2962998; 服务:0553-2963911,,0553-2962998,gm@A34084.caf.so,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",芜湖,,241000,,,A34084,,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:10,2017-09-26 14:17:04,安徽省,芜湖市,三山区,22668,[]
26594,"117.326591,32.870796",蚌埠市福兴汽车贸易有限公司,安徽省蚌埠市迎宾大道西侧国际汽车城36号-1,JMC,Category3,,,安徽,0552-3111155,,"全新福特撼路者,福特途睿欧,福特新全顺",,0552-3160066,,销售:0552-3111155;服务:0552-3160066,,mailto:bblc3s@jmc.com.cn,0552-3111155,蚌埠,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,233000,"销售,保养,机修,钣喷",,,1511112A,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,蚌埠市,蚌山区,7769,[]
27193,"117.899242,30.937099",铜陵市锐钧实业有限责任公司,安徽省铜陵市铜陵国际汽车城,CAF,,Category2,,0562-6827518,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0562-6827555,,销售:0562-6827666; 服务:0562-6827555,,0562-6827666,mail@tl-ford.com,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",铜陵,,244000,,,A36762,,"08:30,17:00;08:30,17:00;08:30,17:00;08:30,17:00;08:30,17:00;08:30,17:00;08:30,17:00",2017-07-20 12:55:10,2017-09-26 14:18:04,安徽省,铜陵市,铜官区,8367,[]
27650,"117.757488,30.858422",铜陵锐钧桥南分公司,安徽省铜陵市铜都大道南段3899号,CAF,Category2,,,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",,0562-6727555,,销售热线：0562-6827666 ; 服务热线：0562-6727555,,sales@a36762.caf.so,0562-6827666,铜陵,,,244011,,,,A45201,,2017-11-09 11:13:08,2017-11-09 11:13:08,安徽省,铜陵市,郊区,10991,[]
26789,"115.815111,32.882224",阜阳恒之星汽车贸易有限公司,安徽阜阳市一道河中路63号,CAF,,Category2,,0558-3601919,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",0558-3601155,,销售:0558-3160888; 服务:0558-3601155,,0558-3160888,gm@A34560.caf.so,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",阜阳,,236000,,,A35682,,"08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00;08:00,18:00",2017-07-20 12:55:09,2017-09-26 16:24:43,安徽省,阜阳市,颍州区,883,[]
26656,"115.871608,32.838695",安徽阜阳恒大旭日汽车贸易有限公司,阜阳市经开区105国道汽贸物流园,CAF,,Category2,,0558-3958999,安徽,,,"福特福克斯,福特福睿斯,福特新蒙迪欧,福特金牛座,福特翼搏,福特翼虎,全新福特锐界,福特探险者,全新福克斯RS,福特福克斯ST,新福特撼路者",0558-3952999,,销售:0558-3957888; 服务:0558-3952999,,0558-3957888,a_catkin@yahoo.cn,"08:20,18:00;08:20,18:00;08:20,18:00;08:20,18:00;08:20,18:00;08:20,18:00;08:20,18:00",阜阳,,236000,,,A18735,,;;;;;;,2017-07-20 12:55:09,2017-10-17 15:23:57,安徽省,阜阳市,颍州区,7840,[]
26627,"115.883835,32.825706",阜阳福江汽车销售服务有限公司,阜阳市颍州开发区105国道三十里铺三和汽贸物流园东区,JMC,Category3,,,安徽,0558-2151528,,"福特经典全顺,福特新世代全顺",,0558-3955380,,销售:0558-3957755;服务:0558-3955380,,mailto:fyfj@jmc.com.cn,0558-3957755,阜阳,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",,236000,"销售,保养,机修,钣喷",,,1514314S,"08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30;08:00,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,阜阳市,颍州区,9677,[]
27007,"118.498103,31.640413",马鞍山福联汽车销售服务有限公司,马鞍山市湖西南路3380号152-4（东方汽博城对面）,CAF,Category2,,,安徽,0555-2109596,,"全新福特福克斯,福特福睿斯,福特新蒙迪欧,福特新蒙迪欧智能混动版,福特金牛座,福特翼搏,福特翼虎,全新福特锐界",,0555-2109582,,销售:0555-2109595; 服务:0555-2109582,,a2109618@163.com,0555-2109595,马鞍山,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",,243000,,,,A17156,"08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30;08:30,17:30",2017-07-20 12:55:09,2017-07-20 12:55:09,安徽省,马鞍山市,雨山区,3440,[]
