id,dealer_code,username,password,dealer_name,province,city,address,sale_tel,after_tel,x,y,qrcode,wechat,wechat_name,about,created_at,updated_at
410,70459K,,,恩施市兴阶铭泰汽车销售连锁有限公司,湖北省,恩施市,湖北省恩施市金桂大道汽车商贸城,8025666,8025633,109.505512,30.336677,,,,,1459419202,1459419202
373,70850K,,,武汉名昇汽车销售服务有限公司,湖北省,武汉市,洪山区白沙洲大道233号（青菱专用设备制造厂内）,88119777,88119666 18995573030,114.292228,30.500506,,,,,1459419202,1459419202
374,70759L,,,东风鸿泰南湖武汉汽车销售服务有限公司,湖北省,武汉市,武汉市洪山区南湖大道66号（华农北门加油站旁）,027-50521088,027-50521099,114.353641,30.486397,,,,,1459419202,1459419202
375,70723X,,,武汉兆丰标龙汽车销售服务有限公司,湖北省,武汉市,武昌区徐东二路二号,86889888,027-88300122,114.353622,30.56486,,,,,1459419202,1459419202
376,70168U,,,武汉精华汽车销售服务有限公司,湖北省,武汉市,武汉市江岸区解放大道2695号（新荣轻轨站往二七方向前行200米右拐即到）,027-82923655,027-82923787,114.340017,30.65972,,,,,1459419202,1459419202
377,75630F,,,湖北中发汽车服务有限公司,湖北省,武汉市,武汉市东湖开发区大学园路5号,88700078,88933315,114.4098,30.462875,,,,,1459419202,1459419202
378,75037L,,,湖北省东安工贸有限公司,湖北省,武汉市,武汉市江汉区黄孝北路7号（武汉杂技厅背后）,027-82423476,027-82869001,114.281941,30.605858,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1498714054
379,70835U,,,东风鸿泰汽车销售有限公司沌口分公司,湖北省,武汉市,武汉经济技术开发区红升村高科园内,59219217,59219213,126.741314,45.760742,,,,,1459419202,1459419202
380,70736L,,,武汉市神龙鸿泰汽车销售服务有限公司汉阳分公司,湖北省,武汉市,武汉市汉阳区汉阳大道630号8栋1-3号,84685888,84685999,114.23448,30.563734,,,,,1459419202,1459419202
381,70011Y,,,武汉市神龙鸿泰汽车销售服务有限公司,湖北省,武汉市,武汉市汉阳区陶家岭特18号,027-84881295,027-84881287,114.206372,30.549136,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494581587
390,70722W,,,潜江市利通汽车服务有限公司,湖北省,潜江市,潜江市园林办事处红梅西路99号,0728-6289988,0728-6289988,112.774127,30.407382,,,,,1459419202,1459419202
396,70498C,,,荆州市华金汽车销售服务有限责任公司,湖北省,荆州市,荆州市沙市区江津东路119号,8325222,8327444,112.293868,30.303331,,,,,1459419202,1459419202
398,70486P,,,荆门荆东汽车销售服务有限公司,湖北省,荆门市,荆门市掇刀区月亮湖路46号,2221555,2216166,112.246307,31.051122,,,,,1459419202,1459419202
357,70825H,,,枣阳市阳光汽车服务有限公司,湖北省,襄阳市,湖北省枣阳市中兴大道北段,18986324988,15871005684,112.77343,32.050367,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477028764
367,70763R,,,东风鸿泰襄阳汽车销售服务有限公司,湖北省,襄阳市,襄阳市襄城区环城路铁佛寺路3-3-44,0710-3619055,0710-3555799,112.149838,32.023949,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494581783
368,70198B,,,襄阳神安汽车销售服务有限公司,湖北省,襄阳市,襄阳市襄州区春园东路49号,0710-3338225,0710-3338228 0710-3338229,112.174604,32.092807,,,,,1459419202,1459419202
369,75396B,,,襄阳正天机电设备有限公司,湖北省,襄阳市,襄阳市邓城大道樊西高速路口中石化加油站旁,0710-3340111,0710-3344110,112.250093,32.229169,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494581622
411,70908Y,,,东风鸿泰鄂州汽车销售服务有限公司,湖北省,鄂州市,鄂州市葛山大道中段66号鄂城区交警一大队旁,0711-5923657,0711-5923655,114.916511,30.356778,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494901447
384,70156F,,,随州市天龙汽车销售服务有限公司,湖北省,随州市,随州市经济开发区望城岗十里铺,0722-3599222,0722-3242333,113.481444,31.967772,,,,,1459419202,1459419202
403,70169V,,,黄冈明天汽车销售服务有限公司,湖北省,黄冈市,黄冈市黄州区黄州大道北89号,0713-8812000,0713-8813000,114.886301,30.473755,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494582061
142,70573J,,,包头众远汽车服务有限责任公司,内蒙古区,包头市,包头稀土高新区稀土路甲18号,0472-5334555,0472-5334666,109.871946,40.638149,,,,,1459419202,1459419202
3,70934B,,,呼伦贝尔市合鑫汽车销售服务有限公司,内蒙古区,呼伦贝尔市,鄂温克族自治旗巴彦托海镇汽车物流园阿吉奈大街,0470-3122111,0470-3122555,119.76215,49.142832,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494902942
128,75803U,,,内蒙古龙运汽车贸易有限责任公司,内蒙古区,呼和浩特市,呼市海西路草原明珠小区底店6号,2330039,2330038,111.612582,40.826121,,,,,1459419202,1459419202
138,70898M,,,赤峰轩驰商贸有限公司,内蒙古区,赤峰市,赤峰市红山区桥北物流园区赤锡路26号,0476-8266666-1,0476-8266666-2,118.934146,42.33072,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1476966855
602,70898M,,,赤峰市轩驰商贸有限公司,内蒙古区,赤峰市,赤峰市红山区桥北物流园区赤锡路26号,0476-8266666-1,0476-8266666-2,118.941719,42.322581,,,,<p>&nbsp; &nbsp;</p>,1494905649,1494905649
533,70946P,,,通辽市龙泰晟达汽车销售有限公司,内蒙古区,通辽市,内蒙古自治区通辽市通辽经济技术开发区阿古拉大街以北、东风路以西,0475-6186800,0475-6186900,122.220832,43.656086,,,,<p>&nbsp; &nbsp;</p>,1459767143,1494902822
581,70976X,,,鄂尔多斯市汇福鑫汽车销售有限责任公司,内蒙古区,鄂尔多斯市,内蒙古鄂尔多斯市东胜区塔拉壕街6-2号楼-1层-101,3880100,3880101,110.11451,39.783628,,,,<p>&nbsp; &nbsp;</p>,1475218366,1478053170
534,70936D,,,锡林郭勒盟博杰商贸有限公司,内蒙古区,锡林郭勒盟,内蒙古锡林郭勒盟锡林浩特市民禾物流园区大门口南,15647987700,15249598111 0479-8113358,116.015801,43.946613,,,,<p>&nbsp; &nbsp;</p>,1459767331,1494902506
16,70928V,,,内蒙古万方汽车销售服务有限公司,内蒙古区,乌兰察布市,察右前旗察哈尔工业园区（新208国道天祥路南）,3683777,3683777,113.112846,41.022363,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477302688
490,70640G,,,台州铭特汽车有限公司,浙江省,台州市,台州市开发大道与白云山南路交叉口,89086688,89081010,121.425608,28.64355,,,,,1459419202,1459419202
509,70902S,,,嘉兴市百和汽车有限公司,浙江省,嘉兴市,嘉兴市二环西路六号桥东侧,0573-82698666,0573-82696066,120.728376,30.730039,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494560235
485,70435J,,,宁波舜兴恒通汽车销售服务有限公司,浙江省,宁波市,余姚市西环南路559号,0574-62595859,0574-62598667,121.127947,30.039982,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477034121
506,75334J,,,宁波联合龙腾汽车有限公司,浙江省,宁波市,宁波市江东区宁徐路7号,0574-87707049,0574-87722838,121.582947,29.878213,,,,,1459419202,1459419202
522,70945N,,,宁波联祥汽车有限公司,浙江省,宁波市,宁波市北仑区大港六路50号（祥禾汽车城内）,0580-86809588,0580-86806999,121.816792,29.911795,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459765738,1505893346
615,71001Z,,,宁波鄞青骏日汽车贸易服务有限公司,浙江省,宁波市,宁波市鄞州区下应南路307号,0574-88185111,0574-88185777,121.603527,29.828187,,,,<p>&nbsp; &nbsp;</p>,1506669222,1506669222
511,75811C,,,杭州萧山万兴旅游汽车有限公司,浙江省,杭州市,杭州市萧山区萧绍东路107号,82788666,82781999,120.325826,30.17744,,,,,1459419202,1459419202
512,70051S,,,杭州康汇汽车销售服务有限公司,浙江省,杭州市,杭州市余杭区好运路3号,0571-88022228,0571-88029757,120.129863,30.355214,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494560055
488,70718S,,,温州市宏润汽车销售有限公司,浙江省,温州市,温州大道268号,0577-86533888,0577-86557000-2,120.747595,27.979835,,,,,1459419202,1459419202
510,70509P,,,湖州龙腾汽车销售服务有限公司,浙江省,湖州市,湖州市三里桥路1899号,0572-2065666,0572-2095555,120.162179,30.847635,,,,,1459419202,1459419202
520,70948S,,,长兴中瑞汽车销售服务有限公司,浙江省,湖州市,浙江省湖州市长兴县李家巷镇李家巷工业工业园区内,0572-6757000,0572-6757111,119.958174,30.978659,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459765552,1494560184
483,70743U,,,诸暨荣扬汽车销售服务有限公司,浙江省,绍兴市,诸暨市二环北路汽车城,0575-80723888,80723999,120.281434,29.6994,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477034051
491,70525G,,,绍兴市新三角汽车销售服务有限公司,浙江省,绍兴市,绍兴市104国道北复线,85353888,85359999,120.592467,30.002365,,,,,1459419202,1459419202
526,70955Z,,,舟山锐桥汽车销售服务有限公司,浙江省,舟山市,舟山市定海区双桥镇汽车城,0580-2110303,0580-2110303转3,,,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459766100,1477033810
504,70556R,,,衢州市飞龙汽车销售服务有限公司,浙江省,衢州市,浙江省衢州市浙西大道109号15区,8515555,8598899,118.900874,28.938438,,,,,1459419202,1459419202
19,70865B,,,东阳市义龙汽车销售服务有限公司,浙江省,金华市,东阳市白云街道东义路762号5-8,86686123,86689123或158 6894 3999,120.17719,29.299105,,,,,1459419202,1459419202
486,75657K,,,义乌市东龙汽车销售服务有限公司,浙江省,金华市,义乌市汽车城,0579-85681268,0579-85681266,120.067296,29.306444,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477033916
508,70118P,,,金华神龙汽车销售技术服务有限公司,浙江省,金华市,金华市汽车城西九路3S-10#,0579-82083135,0579-82361888,119.696735,29.146099,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494560328
446,70639F,,,陕西鑫迪汽车服务有限公司,陕西省,宝鸡市,宝鸡市渭滨区高新12路西侧23号,0917-3412898,0917-3413899,107.292464,34.350901,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494903920
415,70886Z,,,榆林世纪金源汽车销售服务有限公司,陕西省,榆林市,陕西省榆林市经济开发区草海则村电厂路,3502777,3502789,109.734579,38.232597,,,,,1459419202,1459419202
416,70877P,,,榆林市东森汽车销售服务有限公司,陕西省,榆林市,榆林市榆阳区麻黄梁汽车产业园,3502777,3502789,109.925407,37.946072,,,,,1459419202,1459419202
424,70745W,,,陕西精英汽车销售服务有限公司,陕西省,西安市,西安市高新区西部大道82号,87300916-1,87300916-2,108.853385,34.177069,,,,,1459419202,1459419202
425,70636C,,,陕西融泰汽车销售服务有限公司,陕西省,西安市,西安市未央区三桥天台路39号,88698181,88696565,108.832162,34.279676,,,,,1459419202,1459419202
426,75333H,,,陕西华秦汽车维修有限责任公司,陕西省,西安市,西安经济技术开发区凤城五里中段,86530999,029-86516309,124.07296,40.57957,,,,,1459419202,1459419202
531,70947R,,,铜川泽泰源瑞汽车销售服务有限公司,陕西省,铜川市,铜川市王益区王家河工业园区赵家塬,2899000,2896333,,,,,,<p>&nbsp; &nbsp;</p>,1459766958,1459766958
466,75665U,,,乐山金名仕汽车销售服务有限公司,四川省,乐山市,乐山市市中区柏杨西路615号,0833-2450571,0833-2450572,103.738046,29.601605,,,,,1459419202,1459419202
461,70142R,,,南充明云群峰车业有限公司,四川省,南充市,南充市高坪区机场大道东顺路68号,0817-2610777,0817-2600815,106.178403,30.775677,,,,,1459419202,1459419202
469,70717R,,,广元市金合顺汽车贸易有限公司,四川省,广元市,广元市经济开发区下西物流园区,0839-3336333,0839-3336333,105.819687,32.44104,,,,,1459419202,1459419202
470,70740R,,,广安祥龙车业有限公司,四川省,广安市,广安市广安区护按镇护安村汽车城,0826-2721899,0826-2721899转2或028-96667,106.702506,30.510894,,,,,1459419202,1459419202
472,70692N,,,德阳精典瑞龙汽车销售服务有限公司,四川省,德阳市,德阳市八角工业园区,2600700,2601200,104.39193,31.072983,,,,,1459419202,1459419202
473,70286X,,,中国第二重型机械集团德阳万路运业有限公司,四川省,德阳市,德阳市岷江西路76号,2307318,2221737,104.389382,31.131144,,,,,1459419202,1459419202
6,70931Y,,,成都万合吉龙汽车销售服务有限公司,四川省,成都市,成都市成华区成致路1号,028-87501888,028-87510788,104.172174,30.690923,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494904071
13,70683D,,,成都市通达远凡汽车销售服务有限公司,四川省,成都市,崇州市崇阳街道棋盘村十组,82206988,82205999,103.680289,30.636894,,,,,1459419202,1459419202
456,70833S,,,新津祥龙车业有限公司,四川省,成都市,新津县花桥镇蔡湾村三组,82461188,82522613或96667,103.852518,30.436156,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477013065
468,70705C,,,金堂建国祥龙车业有限公司,四川省,成都市,"金堂县西二配气站西侧,赵杨路南侧(四川金堂工业园区)",028-67931888,028-96667,104.615371,30.728613,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477013027
471,70638E,,,都江堰市欣荣汽车服务有限公司,四川省,成都市,都江堰市彩虹大道南段1009号,87229035,87229868,103.63971,30.973922,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477036343
476,70733H,,,四川申蓉瑞龙汽车销售服务有限公司,四川省,成都市,成都市新都区斑竹园镇新崇路白云社区8组,028-68610111,028-68612380,104.067925,30.850866,,,,,1459419202,1459419202
477,70691M,,,成都精典腾龙汽车销售有限公司,四川省,成都市,成都市青羊区腾飞大道308号,61865390,86258210,103.962945,30.697809,,,,,1459419202,1459419202
478,70568D,,,成都建国汽车贸易有限公司,四川省,成都市,成都市锦江区石胜路四公里处金港赛道旁,85919723,85917053或96667,104.115522,30.593526,,,,,1459419202,1459419202
479,70516X,,,成都集大成汽车销售服务有限公司,四川省,成都市,成都市高新区火车南站西路1279号,028-85142708,028-85126000,104.043749,30.601054,,,,,1459419202,1459419202
480,70430D,,,成都中铁汽车销售服务有限公司,四川省,成都市,成都市茶店子路153号,028-87545500,028-87540909,104.036614,30.703909,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1477036613
481,75221L,,,成都万友汽车销售服务有限公司,四川省,成都市,成都市金牛区蜀汉路486号,028-87572255,028-87579058,104.024324,30.695879,,,,,1459419202,1459419202
576,70975W,,,成都市众邦欣龙汽车销售服务有限责任公司,四川省,成都市,成都市双流区东升街道宗申赛纳维54幢1-3层,61113799,89644950,103.960789,30.601338,,,,<p>&nbsp; &nbsp;</p>,1473053943,1505958984
460,70738N,,,攀枝花申蓉嘉祥汽车销售服务有限公司,四川省,攀枝花市,攀枝花市东区银江镇沙坝村二社,0812-6600000,6869820 6869222,101.768517,26.567468,,,,,1459419202,1459419202
465,70650T,,,泸州瑞龙汽车销售服务有限公司,四川省,泸州市,泸州市龙马潭区鱼塘镇泸州经济开发区振兴路西侧,3897168,3897158或028-96667,105.481088,28.924278,,,,,1459419202,1459419202
464,70654X,,,眉山东越汽车销售服务有限公司,四川省,眉山市,眉山市东坡区尚义镇乐象村,38185008,38185006或028-96667,103.803921,30.085653,,,,,1459419202,1459419202
462,70698V,,,绵阳吉龙汽车销售有限公司,四川省,绵阳市,绵阳市经开区绵州大道中段6号,6397222,6395957或028-96667,104.781698,31.425924,,,,,1459419202,1459419202
449,70766U,,,自贡祥龙车业有限公司,四川省,自贡市,自贡市贡井区长土镇大坡村1.2.3组,0813-3312222,028-96667,104.714163,29.342329,,,,,1459419202,1459419202
450,70783M,,,资阳祥龙车业有限公司,四川省,资阳市,资阳市雁江区大千路五显村8社8组68号,26632599,26806118或028-96667,104.626301,30.091376,,,,,1459419202,1459419202
594,70314C,,,达州市仕瑜汽车销售服务有限公司,四川省,达州市,达州市通川区高家坝路259号第3幢1层,0818-2301398,0818-2300081,107.532668,31.262009,,,,<p>&nbsp; &nbsp;</p>,1483409757,1494904097
458,70666K,,,遂宁瑞孚汽车销售服务有限公司,四川省,遂宁市,遂宁市船山区中国西部现代物流港内,0825-5837077,0825-5837009或028-96667,105.621528,30.5235,,,,,1459419202,1459419202
543,70964J,,,宜宾吉盛汽车销售服务有限公司,四川省,宜宾市,宜宾市临港经济开发区飞云路北段安吉汽车城,0831-3055222,0831-8266188,104.668761,28.801516,,,,<p>&nbsp; &nbsp;</p>,1465956323,1494904220
597,70983E,,,巴中建国汽车销售服务有限公司,四川省,巴中市,四川省巴中市经济开发区机电汽贸产业园内,,,106.870571,31.844728,,,,<p>&nbsp; &nbsp;</p>,1483411607,1483427918
216,70619J,,,三门峡市兴通亚飞汽车连锁有限责任公司,河南省,三门峡市,三门峡市开发区机动车交易市场,2289555,2287799,111.175388,34.801367,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1476968343
590,70979A,,,信阳合众致信汽车销售服务有限公司,河南省,信阳市,信阳市高新区招商中心向东200米路北,0376-3201555,0376-3211555,114.188898,32.131152,,,,<p>&nbsp; &nbsp;</p>,1477901397,1478051687
226,70528K,,,南阳龙鹏汽车销售服务有限公司,河南省,南阳市,南阳市北京路中段128号,0377-63566000,0377-63560999,112.504622,33.009366,,,,,1459419202,1459419202
577,70974V,,,南阳嘉华龙翔汽车销售服务有限公司,河南省,南阳市,南阳市信臣路与南都路交叉口向南100米路东,0377-61172888,0377-63108999,112.589718,33.029768,,,,<p>&nbsp; &nbsp;</p>,1473054293,1494559979
575,70972T,,,周口铭晨汽车销售服务有限公司,河南省,周口市,周口市川汇区迎宾大道与太昊路交叉口（毛楼）,8565666,8593666,114.642912,33.59868,,,,<p>&nbsp; &nbsp;</p>,1473053788,1505961362
214,70917H,,,河南诚狮车业有限公司,河南省,商丘市,商丘市开发区北海路与星林路交叉口南70米路东,2028777,6971177,115.70286,34.40203,,,,,1459419202,1459419202
215,70656Z,,,商丘市奥泰汽车销售有限公司,河南省,商丘市,商丘市平原南路1132号,3338888,3338777,115.625863,34.420505,,,,,1459419202,1459419202
258,70887A,,,安阳市龙悦汽车销售服务有限公司,河南省,安阳市,安阳市文峰区光明路豫北汽车市场院内,3773888,3773999,114.416934,36.058863,,,,,1459419202,1459419202
519,70580S,,,平顶山市永源昌汽车销售有限公司,河南省,平顶山市,平顶山市建设路731号,0375-3980222,0375-3983555,113.388341,33.738955,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459765374,1505960986
238,70610Z,,,开封万通汽车销售服务有限公司,河南省,开封市,河南省开封市魏都路66号,0371-28885666,0371-28885999,114.322588,34.783102,,,,,1459419202,1459419202
599,70549H,,,新乡市东安宏远汽车销售服务有限责任公司,河南省,新乡市,新乡市（高新区）南环汽车广场内A6号,0373-3533111,0373-5055119,113.903127,35.267028,,,,<p>&nbsp; &nbsp;</p>,1490952834,1490952834
228,70739P,,,洛阳市德众金迪汽车销售服务有限公司,河南省,洛阳市,洛阳市西工区汉宫路5号（道北陇海立交桥下西路南）,0379-62268858,0379-62268988,112.426682,34.691864,,,,,1459419202,1459419202
229,70481J,,,洛阳诚狮汽车服务有限公司,河南省,洛阳市,洛阳市瀍河区九都东路11号名车苑内,0379-63992222,0379-63500000,112.515202,34.684466,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1501495062
242,70861X,,,济源市通达汽车销售服务有限公司,河南省,济源市,河南省济源市沁园路北段,6061333,6601110,112.612524,35.086556,,,,,1459419202,1459419202
614,71000Y,,,漯河众通汽车销售有限公司,河南省,漯河市,漯河市桂江路与经一路交叉口向西200米路北,0395-3222266,0395-3222219,113.997519,33.557036,,,,<p>&nbsp; &nbsp;</p>,1506668908,1506668908
223,70561W,,,濮阳市通达龙腾汽车销售服务有限公司,河南省,濮阳市,濮阳市中原路与106国道交叉口北300米,0393-8809123,0393-8807333,114.972927,35.79056,,,,,1459419202,1459419202
9,70932Z,,,焦作新未来汽车销售服务有限公司,河南省,焦作市,焦作市城乡一体化示范区迎宾路与南海路交叉口西100米,3379888,3375777,113.265417,35.182178,,,,,1459419202,1459419202
194,70764S,,,河南瑞铭汽车销售服务有限公司,河南省,郑州市,郑州市中州大道与连霍高速交汇处北1000米路西,0371-66682222/66683333,0371-86222588,113.715845,34.783222,,,,,1459419202,1459419202
195,70643K,,,河南瑞源汽车销售有限公司,河南省,郑州市,郑州高新区西三环与化工路交叉口北1000米路西西环汽车公园3号展厅,0371-66668999,0371-66688999,113.602131,34.796079,,,,,1459419202,1459419202
197,70079X,,,河南富原汽车销售服务有限公司,河南省,郑州市,郑州市金水东路与通泰路交叉口向南500米路西,0371-65373088,0371-65373099,113.739306,34.763083,,,,,1459419202,1459419202
198,75009F,,,河南省富达汽车销售服务有限公司,河南省,郑州市,郑州市航海中路179号,68868699,68868698,113.640893,34.726541,,,,,1459419202,1459419202
191,70761N,,,驻马店市金运汽车销售服务有限公司,河南省,驻马店市,驻马店市驿城大道与纬一东路交叉口南侧,0396-3618999,0396-3610333,114.071899,32.963766,,,,,1459419202,1459419202
254,75346X,,,胜利油田利丰汽车销售有限公司,山东省,东营市,东营市东营区辛店镇哨头村北二路中段,0546-7778111,0546-7778000,118.471749,37.4669,,,,,1459419202,1459419202
232,70769X,,,临沂文华汽车销售服务有限公司,山东省,临沂市,临沂市河东区温泉路与金桥街交汇处河东远通汽车超市内,0539-3210789,0539-8145999,118.435386,35.102883,,,,,1459419202,1459419202
233,70485N,,,山东美多汽贸有限公司,山东省,临沂市,山东临沂兰山区蒙山大道北段会展中心对过,0539-2152222,0539-2152666,118.319848,35.08609,,,,,1459419202,1459419202
582,70978Z,,,临沂振兴汽贸有限公司,山东省,临沂市,山东省临沂市沂南县城向阳路以西、澳柯玛大道以南（卧龙学校东500米）,0539-3227666,0539-3278555,118.501524,35.536859,,,,<p>&nbsp; &nbsp;</p>,1475218770,1494559701
210,70547F,,,威海市鑫盛源汽车销售服务有限公司,山东省,威海市,威海市经济区珠海路650-3号,0631-5961166,0631-5961069,122.158605,37.415009,,,,,1459419202,1459419202
255,70209N,,,德州元盛鑫喜汽车销售服务有限公司,山东省,德州市,德州市德城区大学西路1758号(金车汽贸广场),2380456,2236106,116.314623,37.477047,,,,,1459419202,1459419202
218,70482K,,,日照运总汽车贸易有限公司,山东省,日照市,日照市丹阳路179号,0633-3996222,0633-3996322,119.454352,35.42559,,,,,1459419202,1459419202
565,70969P,,,日照凌峰工贸有限公司,山东省,日照市,日照市奎山汽贸城,3910666,3910333,119.441146,35.396221,,,,<p>&nbsp; &nbsp;</p>,1473052960,1505960718
542,70963H,,,滕州通骏汽车销售服务有限公司,山东省,枣庄市,山东省枣庄市滕州市平行路108号（钢盟金属材料有限责任公司院内）,5889889,5889887,117.158509,35.071089,,,,<p>&nbsp; &nbsp;</p>,1465956129,1505960806
212,70477E,,,山东泰安交运集团东联汽车销售有限公司,山东省,泰安市,泰安市迎胜路3号,0538-8482808,0538-8481860,117.102753,36.203847,,,,,1459419202,1459419202
247,75797M,,,济南开源汽车贸易有限公司,山东省,济南市,济南市历城区北园路43号,0531-88678989,0531-88678955,117.062459,36.702862,,,,,1459419202,1459419202
604,70988K,,,济南开源大润汽车销售服务有限公司,山东省,济南市,山东省济南市槐荫区济齐路108号院内东侧房屋,0531-87569222,0531-88971199,116.955113,36.689904,,,,<p>&nbsp; &nbsp;</p>,1496642548,1496642548
10,70620K,,,山东荣海建业投资有限公司,山东省,济宁市,济宁高新区黄屯镇327国道北驾校对过办公用房一间,0537-3718855,0537-3717799,116.681359,35.444926,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494558537
26,70777F,,,邹城顺行天下汽车销售服务有限公司,山东省,济宁市,邹城市中心店镇国宏大道6369号,0537-525000,0537-5425555,116.977701,35.444787,,,,<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>,1459419202,1494489299
