No,DealerCreatedTime,Point,ZanCount,QQhref,Longitude,Latitude,DealerGuidId,Medal,IS_E,DealerId,Name,DealerTag,Rate,SalesPhone,Address,Website,Email,Summery,ShareToMicroBlog,TianMaoWebsite,CheBaBaWebsite,province,city
E2118,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=114944802&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.806219,33.932698,3ec1f288-74e5-411e-ba7e-1b1f75407766,,False,,淮北华松,,0,0561-3110888,淮北市相山南路汽车城7号(19路公交车终点站）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/huaibei/hbhsong,huaibeihuasong@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210612.htm,安徽省,淮北市
E2125,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=121479226&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.073799,32.666392,d5226a0c-d9f2-4873-9d74-441a948dbebf,,False,,淮南中骏,,0,0554-3611888,安徽省淮南市经济技术开发区管委会大楼斜对面,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/huainan/hnzjun,1577804413@qq.com,,,,http://www.chebaba.com/dealer_S2015072210741.htm,安徽省,淮南市
E2122,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=402683061&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,118.274894,29.75391,9e007047-ef06-43f1-91ff-b5710f1a4684,,False,,黄山亚骐,,0,0559-2580898,黄山市经济开发区齐云大道,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/huangshan/hsyqi,402683061@qq.com,,,,http://www.chebaba.com/dealer_S2015072210703.htm,安徽省,黄山市
E2120,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=81560704&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.481659,31.719708,b8805696-69b3-4e3c-8f44-878aa8b04c09,,False,,六安伟恒,,0,0564-3615666,安徽省六安市裕安区磨子潭路与312国道交叉口,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/luan/lawheng,luanweiheng@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210653.htm,安徽省,六安市
E2129,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.628002,31.766054,200ee91a-d7e1-4abe-aacf-a781442569cb,,False,,六安安徽汽贸金安,,0,0564-3636555,六安市金安区312国道与凤凰路交口南侧,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/luan/laahqmjan,liuananhuiqimaojinan@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072201130.htm,安徽省,六安市
E2116,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=871023367&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,118.51588,31.688526,1a511d1b-4b3c-453e-89ca-d33736945514,,False,,马鞍山伟德,,0,0555-3219999,安徽马鞍山开发区湖西南路1号东风日产马鞍山伟德专营店,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/maanshan/maswde,maanshanweide@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210264.htm,安徽省,马鞍山市
E2126,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.062925,33.641493,2f727355-0125-4886-9c59-c9f8ac0d02d1,,False,,宿州润东,,0,0557-3239888,安徽省宿州市东十里汽车城安通驾校北500米,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/suzhou/szrdong,suzhourundong@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210925.htm,安徽省,宿州市
E2115,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,117.813253,30.914736,ec8525ca-bf97-4c2d-9e83-4cab5660ca57,,False,,铜陵顺达,,0,0562-5326800,安徽省铜陵市桥南汽车4S店产业园东风日产铜陵顺达专营店,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/tongling/tlsda,tonglingshunda@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210474.htm,安徽省,铜陵市
E2128,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=2825314225&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,118.405353,31.365752,6b98b94a-a3b6-4b15-875f-5f4092a0a064,,False,,芜湖亚威,,0,0553-2912533,芜湖市鸠江区汽车园（鸠兹家苑对面）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/wuhu/whywei,wuhuyawei@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072201015.htm,安徽省,芜湖市
E2103,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=466865434&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,118.378893,31.388628,30aca17b-448c-4333-9840-5b5691e8d1e1,,False,,芜湖福兆,,0,0553-5883013,安徽省芜湖市银湖北路大桥经济开发区67号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/wuhu/whfzhao,wuhufuzhao@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210384.htm,安徽省,芜湖市
E2117,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=891157020&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,118.745308,30.937358,1abfa762-ab98-49ae-82af-3fe04f775b11,,False,,宣城亚腾,,0,0563-2627777,安徽省宣城市区经济技术开发区昭亭南路亚夏汽车城（银桥湾小区对面）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/anhui/xuancheng/xcyteng,xuanchengyateng@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210429.htm,安徽省,宣城市
B0109,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1140078846&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.553164,39.86969,b78e88e4-6625-464d-9a52-f9f7d4b1c39d,,False,,北京宏远信诚,,0,010-87393398,北京市朝阳区欢乐谷东行3公里（五方桥西南侧）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhyxcheng,beijinghongyuanxincheng@fengshenmotor.com,,,,http://www.chebaba.com/dealer_detail-3511-1.html,北京市,北京市
B0123,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=435777281&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.421126,40.08944,9bf71d0d-33ac-4acc-8c29-7f8a72b6c2d1,,False,,北京汇京福瑞,,0,010-58040688,北京市朝阳区北苑家园北行5公里,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhjfrui,yinyugai@hjhy.com,,,,http://www.chebaba.com/dealer_S2015072210669.htm,北京市,北京市
B0102,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1970396454&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.320275,39.862214,991c147b-09ff-45b5-a997-6ed5777f97b9,,True,,北京汇京鸿运,,0,010-63855871,北京市丰台区西国贸汽配城A1座,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhjhyun,beijinghuijinghongyun@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210256.htm,北京市,北京市
B0106,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1007776661&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.422803,39.836961,55eea3a3-348b-430c-a6b0-a2cc98a32504,,True,,北京中汽雷日,,0,010-87817771,北京市丰台区南四环中路20号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjzqlri,beijingzhongqileiri@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210250.htm,北京市,北京市
B0113,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.56868,40.120254,d7a05de0-a28d-443f-b468-9fce276fddeb,,False,,北京通和盛远,,0,010-80488900,北京市顺义区京顺路后沙峪段三号(乾博汽车时代广场),http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjthsyuan,beijingtongheshenyuan@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210516.htm,北京市,北京市
B0107,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=2925590208&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.364987,40.024405,a9c74b57-4fc5-41a6-8419-470e491180de,,True,,北京森华佳运,,0,010-62950498,北京市朝阳区德胜门外花虎沟18号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjshjyun,beijingsenhuajiayun@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210431.htm,北京市,北京市
B0112,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1625327596&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.455645,40.028093,0725aec4-0068-4bbc-affb-c2bc3dd46d87,,True,,北京汇京世纪,,0,010-84917961,北京市朝阳区来广营西路18号(北五环顾家庄桥东北侧，新北路向北100米),http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhjsji,beijinghuijingshiji@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210296.htm,北京市,北京市
B0122,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=934173158&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.182441,39.915576,1151b601-6faf-4dc9-9ba4-b086f323a857,,False,,北京冀东兴,,0,010-68818885,北京市石景山区古城西街中段3号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjjdxing,beijingjidongxing@163.com,,,,http://www.chebaba.com/dealer_S2015072210661.htm,北京市,北京市
B0130,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=81492912&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.10826,39.7272,2618ed6c-d851-4e20-ab5f-d228cf10b9b0,,False,,北京晟通,,0,010-57565003,北京市房山区阎村镇阎村桥向东50米（澎湃汽车城内）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjstong,titon362@sohu.com,,,,http://www.chebaba.com/dealer_S2015072210917.htm,北京市,北京市
B0127,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=281608806&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.224446,40.206015,01f38efe-7093-44ab-98e1-b354dd416e6a,,False,,北京祥瑞聚鑫,,0,010-60715360,北京市昌平区马池口镇百泉庄652号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjxrjxin,bjxrjx@163.com,,,,http://www.chebaba.com/dealer_S2015072210700.htm,北京市,北京市
B0104,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=2451364343&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.484808,39.960808,8408d040-53f2-4e9d-902c-f8648288645c,,True,,北京东风南方亮马,,0,010-64329583,北京市朝阳区亮马桥路25号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjdfnflma,beijingshouqi@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210559.htm,北京市,北京市
B0129,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=81593923&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.3162,40.078951,150471c4-1af5-4402-885f-efe2b82103e5,,False,,北京东风南方大成,,0,010-52961778,北京市昌平区回龙观欧德宝汽车交易市场A区9号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjdcheng,beijingdongfengnanfangdacheng-dmc@dfl.com.cn,,,,http://www.chebaba.com/dealer_S2015072210731.htm,北京市,北京市
B0103,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=2986418546&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.514662,39.817962,57110067-22b8-4215-9ca2-22c76880673e,,False,,北京东风南方三合,,0,010-67862528，010-67881831,北京经济技术开发区北环东路乙15号（亦庄沃尔玛山姆会员店东侧）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjshe,2986418546@qq.com,,,,http://www.chebaba.com/dealer_S2015072210203.htm,北京市,北京市
B0108,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=280087674&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.531371,39.947161,addee7c9-a76d-4bb5-8c66-dc242fc4b4e5,,True,,北京福源,,0,010-85576180,北京市朝阳区姚家园路东口甲1号东方基业汽车城J区14号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjfyuan,beijingfuyuan@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210216.htm,北京市,北京市
B0110,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=981796341&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.261192,40.056678,504c4271-8530-49c8-9100-b4ee14d52c76,,False,,北京华盛昌百旺,,0,010-82402800,北京市海淀区西北旺镇百旺绿谷汽车园,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhscbwang,beijinghuashengchangbaiwang@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210341.htm,北京市,北京市
B0125,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=649373139&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.24677,39.932197,918aeb57-55f1-4d44-bcaa-da9b227cac65,,True,,北京航天正通,,0,010-68230303,北京市海淀区阜石路61号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhtztong,649373139@qq.com,,,,http://www.chebaba.com/dealer_S2015072210684.htm,北京市,北京市
B0121,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=1241466648&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.319531,39.969518,dd5a13d0-2ef2-4397-bfdc-280f3c6c048c,,False,,北京海润嘉,,0,010-68428199,北京海淀区北三环西路62号（三义庙加油站内）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhrjia,beijinggongjiaojiaderun@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210620.htm,北京市,北京市
B0120,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=472909680&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.80335,40.362449,99ca4649-2f8c-478f-a1d5-ed67da4aac1f,,False,,北京鑫达润城,,0,010-69090088,北京市密云县十里堡镇彩虹门北侧,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjxdrcheng,beijingxindaruncheng@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210619.htm,北京市,北京市
B0118,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=457280790&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.66867,39.871552,e4769621-6559-4f54-8d8b-235856f481fe,,False,,北京东方华中,,0,010-81579988,北京市通州区梨园云景东路88号,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjdfhzhong,beijingdongfanghuazhong@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210377.htm,北京市,北京市
B0101,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=87441440&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.265903,39.978925,af7c473e-640e-434b-92e2-a215ec1b21ca,,False,,北京华盛昌,,0,010-88460101,北京市海淀区闵庄路2号（西北四环香山玉泉山出口1000米左右，第一个红绿灯左转50米路南即到）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhschang,beijinghuashengchang@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210204.htm,北京市,北京市
B0119,/Date(-62135596800000)/,,0,tencent://message/?Menu=yes&uin=864925933&Site=ebuy.dongfeng-nissan.com.cn&Service=300&sigT=45a1e5847943b64c6ff3990f8a9e644d2b31356cb0b4ac6b24663a3c8dd0f8aa12a595b1714f9d45,116.450326,39.876771,61f4ae32-7851-4cb5-aa69-332445add11b,,False,,北京浩洋正业,,0,010-87675777,北京市东城区左安门关厢东里22号（东南二环左安门桥向东100米路南）,http://www.dongfeng-nissan.com.cn/DFLOffical/dealer/nissan/beijing/beijing/bjhyzye,Beijinghaoyangzhengye@fengshenmotor.com,,,,http://www.chebaba.com/dealer_S2015072210290.htm,北京市,北京市
