Id,DealerSN,DisName,CityID,Tel,Sales_tel,open_service,Lng,Lat,Address,Dealer_type,DisSort
11413,D2126,北京波士山汽车销售服务有限公司,12122,010-85776115,010-85773818,0,116.537251,39.915105,朝阳区兴隆庄甲3号,2,4s店
11414,D2127,北京京现荣华汽车销售有限公司,12122,010-82871650,010-62632245,0,116.344925,39.983832,北京市海淀区知春路甲18号,2,4s店
11415,D2129,北京欧之杰汽车贸易有限公司,12122,010-69980372,010-69960062,0,117.120434,40.112184,北京市平谷区平三路西侧，兴业路35号,1,4s店
11416,D2130,北京东方金硕汽车销售服务有限公司,12122,010-82403055,010-82402042,0,116.25726,40.056312,北京市海淀区西北旺镇百旺绿谷汽车园F2-5号,1,4s店
11417,D2131,北京安瑞迪商贸有限责任公司,12122,010－69099012,010-69099010/010-69099011,1,116.801873,40.361982,北京市密云县十里堡镇十里堡村北100米,1,4s店
11418,D2132,北京连振高超汽车销售有限公司,12122,010-80353333,010-80356666,0,116.188259,39.757146,北京市房山区长阳镇北广阳城环路5号,1,4s店
11419,D2133,北京天乐国裕经贸发展有限公司,12122,010-80101818,010-80101919/010-80102020,0,116.229339,40.215953,北京市昌平区昌南环岛西南侧,1,4s店
11420,D2134,北京大通佳信汽车销售服务有限公司,12122,010-60216712,010-60216671,0,116.370614,39.765383,北京市大兴区经济开发区金苑路31号,1,4s店
11421,D2135,北京北方程远汽车销售服务有限公司,12122,010-88925721,010-88928682,0,116.191776,39.922458,北京市石景山区古城大街首钢特钢院内北京国际汽车服务园区F区12号,1,4s店
11422,D2136,北京庞大伟业汽车销售服务有限责任公司,12122,010-87393337,010-87393338,0,116.562204,39.875394,北京市朝阳区王四营乡五方桥东道口村柏阳景园小区东南,1,4s店
11423,D2138,北京成禄翔汽车销售服务有限公司,12122,010-89496655,010-89496655,0,116.62351,40.128199,北京市顺义区南法信镇东支路4号,1,4s店
11424,D2139,北京华阳顺通汽车销售服务有限公司,12122,010-89609999,010-89608960,0,116.653805,40.329309,北京市怀柔区开放东路12号1栋,1,4s店
11425,D2141,北京东仁环宇汽车销售服务有限公司,12122,010-65489990,010-65488686,0,116.577981,39.9449,北京市朝阳区平房乡石各庄村东,1,4s店
11426,D2143,北京中农通兴汽车销售有限公司,12122,010-89042555,010-89042525,0,116.473516,39.81969,北京市大兴区三台山路亦庄桥北1000米处,1,4s店
12122,S2123,北京凯翔风汽车服务有限公司,12122,010－88992391/69853050, ,0,116.123995,39.942037,北京市石景山区双峪路24号,4,维修站
12123,S2125,北京福润汽车修理有限公司,12122,010－69175898, ,0,116.0074,40.439664,北京市延庆县开发区双杏街6号,4,维修站
12124,S2126,北京润士通汽车服务有限公司,12122,010-63058566, ,0,116.355127,39.86753,北京市丰台区菜户营东街甲232号,4,维修站
12125,S2131,中宇汽车服务中心,12122,010－84812390,  ,0,116.419301,40.067702,北京市昌平区东小口镇中滩村393号,4,维修站
12126,S2132,北京京宇汽车服务有限公司,12122,010－63449823/63393323, ,0,116.35277,39.899449,北京市广安门外天宁寺前街8号,4,维修站
12127,S2135,北京鸿都瑞通汽车销售服务有限公司,12122,010-65686666-625/626, ,0,116.458028,40.026463,北京市朝阳区来广营西路甲9号,4,维修站
12128,S2165,北京民新昌达汽车修理厂,12122,010-63057778, ,0,116.353587,39.87248,丰台区菜户营东街乙168号,4,维修站
12155,S2118,北京北汽出租汽车集团有限责任公司,12122,010-66160282, ,0,116.259201,39.889963,北京市丰台区大成路19-2号,4,维修站
12156,S2119,北京首汽腾瑞汽车销售有限公司,12122,010-64363816, ,0,116.467842,39.973824,北京市朝阳区北四环东路1号,4,维修站
12157,S2122,北京银建汽车修理有限公司,12122,010-63771890,  ,0,116.249024,39.85028,北京市丰台区西洪泰庄98号,4,维修站
12158,S2128,北京朝益缘汽车维修服务有限公司,12122,010-84334775, ,0,116.568801,40.006944,北京市朝阳区金盏大街55号,4,维修站
12159,S2134,北京市翔龙博瑞汽车服务(集团)有限公司六分公司,12122,010-65831913, ,0,116.483594,39.90522,北京市朝阳区百子湾路18号,4,维修站
12160,T2116,北京京都奥杰汽车贸易有限公司,12122,010-87607477, ,0,116.450551,39.826392,北京市朝阳区小红门乡姚家村358号,3,维修站
12161,T2117,北京市兴保泰汽车修理部,12122,010－51335067, ,0,116.38905,39.839752,北京市丰台区南四环中路75号,3,维修站
12162,T2118,北京北方创业汽车修理有限公司,12122,010－61200937, ,0,116.273997,39.771925,北京市大兴区黄村镇京良路1号,3,维修站
12163,T2119,北京市大有汽车修理厂,12122,010-67673262/67673263, ,0,116.444843,39.85647,北京市朝阳区龙爪树宋家楼1号,3,维修站
12164,T2121,北京新月联合汽车有限公司,12122,010-67378888, ,0,116.544571,39.870154,北京市朝阳区王四营乡马房寺368号,3,维修站
12165,T2122,北京万泉精实汽车维修服务中心,12122,010－63352890, ,0,116.344292,39.856952,北京市丰台区梆子井117号,3,维修站
12166,T2123,北京市恒大汽车修理有限责任公司,12122,010-85821188/85823388, ,0,116.508603,39.87119,朝阳区王四营乡大柳树村7号,3,维修站
12167,T2127,北京昌华德汽车修理有限责任公司,12122,010－67194323, ,0,116.43162,39.873653,北京市崇文区百果园15号,3,维修站
12168,T2128,北京易顺通汽车修理有限公司,12122,010－67975611/67954278, ,0,116.40043,39.817157,北京市丰台区南四环外和义加油站东侧,3,维修站
12169,T2129,北京北方伟业汽车销售服务有限公司,12122,010－63860564, ,0,116.31089,39.857706,北京市丰台区丰益桥西200米马路南侧,3,维修站
12170,T2132,北京宏大花园汽车技术服务有限公司,12122,010－82917753, ,0,116.371224,40.059412,北京市丰台区西四环南路北大地总后63号院内,3,维修站
12171,T2133,北京金源隆汽车修理站,12122,010-69144192, ,0,115.988476,40.46114,北京市延庆县延庆镇东外大街小营村委会对面路南50米,3,维修站
12172,T2134,北京四合金元汽车修理厂,12122,010-60734000, ,0,116.337454,40.220928,北京市昌平区崔村镇西崔村500米,3,维修站
12173,T2135,北京世纪君安汽修厂,12122,010-63515617/63585349, ,0,116.282747,39.863584,北京市丰台区西四环南路北大地总后63号院内,3,维修站
12174,T2136,北京时新汽车修理有限公司,12122,010-53221769, ,0,116.303193,39.763512,北京市大兴区金星西路19号,3,维修站
12175,T2137,北京市朝阳金鹰汽车修理部,12122,010-64337056, ,0,116.54592,40.012354,北京市朝阳区金盏乡长店村,3,维修站
12269,D2142,北京京信永达汽车销售有限公司,12122,010-89568370,010-89565800,0,116.683934,39.992577,北京市通顺路徐辛庄十字路口西北角,2,4s店
12292,T2138,北京市银兴汽车修理有限责任公司,12122,010-61722091,,0,116.421613,40.2288,北京市兴寿镇兴寿村东,3,维修站
12306,T2124,北京市太保汽车修理站,12122,010-60524567,,0,116.658164,39.858632,北京市通州区梨园地区曹园村京联出租院内,3,维修站
12337,D2145,北京京现汽车维修服务有限公司,12122,010-82871650,010-62558383,0,116.344925,39.983838,海淀区知春路甲18号,1,4s店
10528,D0210S01,百联金山区店,10528,,021-57325050/67311131,0,121.176796,30.898447,金山区亭枫公路3768号,5,卫星店
10529,D0213S01,金现奉城店,10528,,021-57325050/67311131,0,121.176796,30.898447,上海市奉贤区奉城镇南奉公路347号 ,5,卫星店
11427,D2217,上海北现汽车销售服务有限公司,10528,021-54779655/021-54779278,021-54779266,0,121.412327,31.191634,上海市闵行区吴中路472号,1,4s店
11428,D2218,上海中创汽车销售有限公司,10528,021-52751507,021-52787878,0,121.369249,31.237533,上海市普陀区云岭西路583号,2,4s店
11429,D2220,上海现峰汽车销售服务有限公司,10528,021-56887773,021-56888800,0,121.412327,31.191634,上海市宝山区江杨南路980号,1,4s店
11430,D2225,上海百联逸仙汽车销售服务有限公司,10528,021-66182803,021-66182801,0,121.492581,31.330819,上海宝山区逸仙路1680号,1,4s店
11431,D2228,上海金现汽车销售服务有限公司,10528,021-37568680,021-37568655/37568656,0,121.455254,30.952426,上海市奉贤区沪杭公路1585号,1,4s店
11432,D2231,上海联诚汽车销售有限公司,10528,021-58147617,021-58141000,0,121.59583,31.062397,上海市浦东新区沪南路5191号-5,1,4s店
11433,D2232,上海轿辰汽车销售服务有限公司,10528,021-67222999,021-67223333,0,121.305737,30.73622,上海市金山区金山卫镇金山大道4298弄29号,1,4s店
11434,D2233,上海恒锐汽车销售服务有限公司,10528,021-51879139,021-51879136,0,121.441451,31.303941,上海市闸北区江场西路872号,1,4s店
11435,D2235,上海弘怡汽车销售服务有限公司,10528,021-54136732,021-52965560,0,121.332372,31.175994,上海市闵行区华翔路19号,1,4s店
11436,D2236,上海联兴汽车销售有限公司,10528,021-59202268,021-59858886,0,121.131521,31.19246,上海市北青公路9635号1幢,1,4s店
12184,T2216,上海峥琛汽车修理有限公司,10528,021-57736110, ,0,121.233295,30.995155,上海市松江区金玉路100号,3,维修站
12207,D2237,上海弘嘉汽车销售服务有限公司,10528, 021-39599111,021-39599000,0,121.271529,31.28199,嘉定区曹安公路4082号,2,4s店
12255,D2240,上海鑫现汽车销售服务有限公司,10528,021-57731073,021-57786188/8307,0,121.259961,31.039227,上海市松江区中山街道茸树路58号1幢1层、2层,2,4s店
12281,D2238,上海宝通赢汽车销售服务有限公司,10528,021-36555100,021-36555099,0,121.382544,31.423659,宝山区月罗公路2255号,1,4s店
12304,D2227,上海惠盈汽车销售服务有限公司,10528,021-57731073,021-57786188,0,121.260556,31.039635,上海市松江区茸树路58号1幢底楼2室,1,4s店
11446,D2416,天津市捷安汽车销售服务有限公司,12230,022-24661000,022-24665888,0,117.299994,39.070241,天津市河西区大沽南路南头,1,4s店
11447,D2418,天津鸿通商贸有限公司,12230,022-27030888,022-27031222,0,117.147739,39.137037,天津市南开区长江道462号,1,4s店
11448,D2420,天津瑞芝汽车销售服务有限公司,12230,022-66206896/022-66206897,022-66206891/022-66206892,0,117.721104,39.046743,天津经济技术开发区第五大街55号,1,4s店
11449,D2421,天津森龙润通汽车贸易有限公司,12230,022-24365588,022-24357788,0,117.381744,39.167324,天津市东丽区环河北路48号,1,4s店
11450,D2422,天津庞大伟通汽车贸易有限公司,12230,022-86907091,022-86907098/022-86907099,0,117.126422,39.257373,北辰区双街镇京津公路东侧双江道南,1,4s店
11451,D2423,天津森龙润达汽车投资有限公司,12230,022-87199966,022-87199988,0,117.277175,38.997687,天津市西青区高新技术产业园区大寺国际汽车园储源道9号,1,4s店
11452,D2424,天津捷世德汽车销售服务有限公司,12230,022-68298929,022-68298998,0,117.005038,38.951288,天津静海开发区金海道,1,4s店
11453,D2425,天津博兴奇智汽车销售服务有限公司,12230,022-27596222,022-87720777,0,117.087032,39.121993,天津西青区中北镇卉康路汽贸大道12店,1,4s店
11454,D2427,天津汇青源通汽车销售服务有限公司,12230,022-29150828,022-29126000,0,117.425328,39.99846,天津蓟县中昌南路管城村路东,1,4s店
11455,D2428,天津市九州紫耀汽车销售服务有限公司,12230,022-84462810,022-84462802,0,117.305361,39.128086,天津市东丽区雪莲路（天津市公共交通四公司院内）,1,4s店
12230,D2426,天津盛世诚达汽车销售服务有限公司,12230,022-59098686,022-59098818,0,117.490865,38.987696,津南区葛沽镇滨海盛世汽车园内盛宏园3号,2,4s店
12305,D2417,天津市中乒北晨汽车销售有限公司,12230,022-26727506,022-26727500,0,117.21358,39.211248,天津市北辰区新宜白大道北侧,1,4s店
10521,D0301S01,美源南川店,10521,,023-71417680,0,107.102417,29.155431,南川区南园路24号九都尚品C幢1-1,5,卫星店
10522,D0301S02,美源黔江店,10521,,023-85086378,0,108.812213,29.491033,黔江区正阳机动车物流交易中心,5,卫星店
10523,D0301S03,美源垫江店,10521,,023-74692150,0,107.36579,30.331299,垫江县桂溪豪庭,5,卫星店
10524,D0304S01,御驰秀山店,10521,,023-76860088,0,109.009966,28.456395,重庆市秀山县丹凤路宜景苑1-5号,5,卫星店
10525,D0302S01,互邦江津店,10521,,023-47577555,0,106.263293,29.283044,江津区几江街道鼎新商业广场B2-1,5,卫星店
10534,D0302S02,互邦丰都店,10521,,70609888,0,107.442067,29.524508,丰都县三合镇平都大道东段376号,5,卫星店
11437,D2316,重庆美源北现汽车发展有限公司,10521,023-61893333,023-61893555,0,106.52571,29.609681,重庆市渝北区红锦大道555号美源国际商务大厦1幢1-1,1,4s店
11438,D2317,重庆互邦正信汽车销售服务有限公司,10521,023-62919922/023-62919977,023-62912299/023-62913399,0,106.579614,29.501328,重庆市南岸区学府大道58号附1号,1,4s店
11439,D2318,重庆中汽西南当代汽车有限公司,10521,023-89112997,023-89112996,0,106.578401,29.646091,重庆经济技术开发区经开园金渝大道99-7号,1,4s店
11440,D2319,重庆市御驰汽车贸易有限公司,10521,023-72881333,023-72883222,0,107.387182,29.705313,涪陵区太极大道70号,1,4s店
11441,D2320,重庆奥瑞汽车销售服务发展有限公司,10521,023-87381888/023-87381666,023-87380888,0,106.23681,29.557597,重庆市璧山县璧泉街道华龙村一、二社,1,4s店
11442,D2321,重庆沛鑫汽车销售服务有限公司,10521,023-62593777,023-62415888,0,106.539399,29.463481,重庆市巴南区花溪街道红光大道66号,1,4s店
11443,D2322,重庆美源永现汽车销售服务有限公司,10521,023-61163333,023-61163555,0,105.910339,29.366941,重庆市永川区玉屏北路361-1-1号,1,4s店
11444,D2323,重庆美源万现汽车销售服务有限公司,10521,023-64893333,023-64893555,0,108.405824,30.776587,重庆万州区沙龙路三段车管所后方,1,4s店
11445,D2324,重庆通际汽车销售服务有限公司,10521,023-85138169,023-85138166,0,106.287393,29.943903,重庆市合川区工业园区高阳路与南溪路交叉口（F地块）,1,4s店
12188,T2316,重庆公路运输（集团）有限公司出租车汽车第一修理厂,10521,023-62852055, ,0,106.601438,29.578154,重庆市南岸区大石坝涂山路596号,3,维修站
12241,D2325,重庆市潼南区鑫盛汽车销售服务有限公司,10521,023-44865888,023-81651188,0,105.83742,30.157928,重庆市潼南区梓潼街道办事处创意大道99号,2,4s店
12321,D2326,重庆渝现泓源汽车销售服务有限责任公司,10521,023-68190808,023-68881444,0,106.463306,29.525845,重庆市九龙坡区石新路176号1栋1-1号,1,4s店
11852,D4159,潮州市南熙汽车销售服务有限公司,11852,0768-5219333,0768-6802888,0,116.605114,23.603974,潮安县浮洋镇西郊村七支头,1,4s店
11825,D4122,东莞市永怡汽车贸易有限公司,12346,0769-22904091,0769-22904120,0,113.720613,22.994853,东莞市南城区莞太大道白马路段346号  ,1,4s店
11827,D4125,东莞市冠丰汽车有限公司,12346,0769-83289728,0769-83267222/0769-83267333,0,113.857139,23.020775,东莞市寮步国际汽车城,1,4s店
11840,D4146,东莞市大朗世达汽车有限公司,12346,0769-81115119,0769-81115050,0,113.985663,22.91209,广东省东莞市大朗镇石厦村富民南路79号,1,4s店
11842,D4149,东莞市广泰汽车有限公司,12346,0769-85223319,"0769-82880018/
0769-82880028",0,113.682073,22.862123,广东省东莞市虎门镇莞太大道白沙路段244号,1,4s店
11853,D4160,东莞市东胜汽车销售服务有限公司,12346,0769-82382828,"0769-81559888
/0769-81551188",0,113.802526,22.78929,广东省东莞市长安镇锦厦河西工业区德诚路1号,1,4s店
11857,D4164,东莞金世达汽车有限公司,12346,0769-82550111,0769-82550000,0,113.972104,22.964293,东莞市常平镇金美村常朗路金美路段,1,4s店
11860,D4168,东莞新世达汽车有限公司,12346,0769-82168777,0769-82770777,0,114.101097,22.85209,东莞市塘厦镇塘厦大道北212号,1,4s店
11861,D4170,东莞市永信汽车销售服务有限公司,12346,0769-82680555,0769-82680222,0,113.888565,23.103113,茶山镇博头村莞龙路边,1,4s店
12346,D4185,东莞市和汇汽车有限公司,12346,0769-88086555,0769-88086333,0,113.668508,23.102931,中堂镇广深公路107国道东泊段41号,1,4s店
10511,D2104S01,泰鑫禅城店,11836,,0757-83966006,0,113.10747,23.012634,佛山市禅城区国际车城北区4座1楼1-4号,5,卫星店
10512,D2105S01,合现容桂店,11836,,0757-28817156,0,113.287885,22.762408,佛山市顺德区容桂桂州大道中鹿茵豪园C座首层30-32号铺,5,卫星店
11822,D4119,佛山市泰鑫汽车销售服务有限公司,11836,13827766532,0757-82700909,0,113.111028,23.009565,佛山市佛山大道中57号,1,4s店
11823,D4120,佛山市顺德区合现汽车销售服务有限公司,11836,0757-22310668,0757-22310688,0,113.239451,22.859991,大良广珠公路新松路段,1,4s店
11833,D4133,佛山市南海禅昌汽车服务有限公司,11836,0757-85591111,0757-85599981/0757-85599982,0,113.147657,23.085129,南海区大沥桂江公路亚洲铝厂南侧,1,4s店
11836,D4141,佛山市乐现汽车销售服务有限公司,11836,0757-28105889,0757-28105018,0,113.147657,23.085129,广东省佛山市顺德区乐从镇广湛路水藤路段,1,4s店
11862,D4171,佛山市俊山汽车销售服务有限公司,11836,18823130299,0757-66882022,0,113.247932,22.946554,顺德区陈村镇南涌芸香围105国道18号之19,1,4s店
11863,D4172,佛山市南海时利和北现汽车销售服务有限公司,11836,13928613051,0757-66886658,0,113.0671,23.066453,南海区狮山镇罗村南湖三路之一,1,4s店
12238,D4177,佛山市广物粤现汽车销售服务有限公司,11836,0757-85618291,0757-85602655,0,113.178162,23.175755,佛山市南海区里水镇河村村土瓜园（佛山一环东侧水口路出口） 广佛汽车城,2,4s店
10518,D2106S01,宏现东圃店,11824,,020-82520606,0,113.415116,23.112803,广州市天河区黄埔大道东680号,5,卫星店
11819,D4116,广州南现汽车销售服务有限公司,11824,020-85292500,020-85292556,0,113.419938,23.139735,广东省广州市奥体南路5号,1,4s店
11821,D4118,广东羊城汽车销售有限公司,11824,020-36402655,020-26274033,0,113.287745,23.210488,广州市白云区黄石东路591号,1,4s店
11824,D4121,广州宏现汽车销售服务有限公司,11824,020-84567999,020-84567222,0,113.363172,22.987259,广州市番禺区番禺大道冼庄立交桥南300米（瑞华汽车城内）,1,4s店
11831,D4130,广东中现汽车销售服务有限公司,11824,020-37091800,020-37091188,0,113.358294,23.187776,广州市天河区广汕公路元岗路段广州汽车市场A4,1,4s店
11834,D4134,广州市龙腾花现汽车销售服务有限公司,11824,020-86869599,020-86877111,0,113.188815,23.386339,广州市花都区风神大道8号,1,4s店
11843,D4150,广州市伟加汽车销售有限公司,11824,020-82688118,020-82688111,0,113.648363,23.127551,广州增城市新塘镇107国道新沙路口,1,4s店
11847,D4154,广州市东奇汽车有限公司,11824,020-81484910,020-81484909,1,113.198637,23.07291,广州市荔湾区龙溪大道488号,1,4s店
12176,T4121,广州市白云出租汽车集团有限公司第一修理厂,11824,020-82306456, ,0,113.409729,23.12257,广东省广州市天河区东圃镇黄村王园工业区一栋,3,维修站
12177,T4122,广州市白云出租汽车集团有限公司第四汽车修理厂,11824,020-81972922, ,0,113.220817,23.152218,广东省广州市白云区罗冲围松南路23号,3,维修站
12178,T4123,广州市白云出租汽车集团有限公司第二汽车修理厂,11824,020-81972922, ,0,113.285617,23.084962,广东省广州市海珠区泰沙路28号,3,维修站
12179,T4124,广州天湖汽车修理二厂,11824,020-36341098, ,0,113.287007,23.225099,广州市白云区嘉和街黄边北路199号,3,维修站
12180,T4125,广州市广骏诚源汽车维修有限公司,11824,020-86236110, ,0,113.266966,23.149577,广州市白云区飞鹅路2号,3,维修站
12181,T4126,广州华现汽车有限公司,11824,020-87266995, ,0,113.355166,23.023902,广东省广州市番禺区南村镇华南新城路12号之一,3,维修站
12242,D4179,广州祥烜城汽车销售服务有限公司 ,11824,020-61062000,020-62667988,0,113.332229,23.267112,广州市白云区广从快速路旁城门河货运市场祥烜城北京现代汽车4S店,2,4s店
12259,T4127,广州有朋汽车销售服务有限公司,11824,020-84280789, ,0,113.322891 ,23.082793,广州市海珠区广州大道南上冲南约12号,3,维修站
12317,D4183,广州锦盈汽车销售服务有限公司,11824,020-83912092,020-83912092,0,113.419938,23.139735,天河区奥体南路5号,1,4s店
11848,D4155,河源市冠丰行汽车有限公司,11848,0762-7261777,0762-7992777,0,114.724153,23.70294,河源市东环路临江工业园(超然汽车城内),1,4s店
10516,D2137S01,三惠河南岸店,11845,,0752-2229421,0,114.424006,23.066926,惠州市惠城区演达路河南岸汽车大市场内28号展厅,5,卫星店
11845,D4152,惠州市三惠汽车有限公司,11845,0752-2229000,0752-2220022,0,114.391479,23.097554,惠州市惠城区鳄湖路军部1号门对面,1,4s店
12343,D4181,惠州市辰惠汽车有限公司,11845,0752-7801868,0572-7801838,0,114.446918,23.008267,惠城区三栋镇上洞村尖顶仔地段惠南大道旁,1,4s店
11844,D4151,江门瑞华宏现汽车销售服务有限公司,12303,0750-3617199,0750-3617190,0,113.083781,22.559827,江门市江海区五邑路121号三菱汽车专卖店展厅、维修车间全部,1,4s店
12231,D4178,江门兴远,12303,0750-3692838,0750-3692999,0,113.066824,22.589858,蓬江区西环路华鸿广场12栋（博皇家居斜对面）,2,4s店
12303,D4165,江门市蓬江区精文汽车贸易有限公司,12303,0750-3080352,0750-3087202,0,113.07284,22.633467,广东省江门市蓬江区建设三路113号,1,4s店
11835,D4135,揭阳市群记物资有限公司,11835,0663-8229000,0663-8219999,0,116.390805,23.572645,揭阳市东山区环市北路与莲花大道交界处,1,4s店
11838,D4143,茂名卓粤汽车有限公司,11838,0668-2928866,0668-2928188,0,113.147657,23.085129,茂名市高水公路南香路段厚禄陂村京粤汽车城（即阳茂高速茂名出口往市区方向500米）,1,4s店
11850,D4157,梅州宏达汽车销售服务有限公司,11850,0753-2539965,0753-2567888,0,116.081821,24.294764,梅州市梅县程江古塘坪,1,4s店
11851,D4158,清远市泰翔汽车销售服务有限公司,11851,0763-3510228,0763-3510188,0,113.066927,23.658428,清远市新城东B41号区（107国道旁）远光电缆对面,1,4s店
11830,D4129,汕头市合民汽车贸易有限公司,11830,0754-83221866,0754-83221888,0,116.755407,23.391364,汕头市龙湖区泰山路30B,1,4s店
11846,D4153,韶关市联现汽车销售服务有限公司,11846,0751-8203399,0751-8201111,0,113.586881,24.739595,广东省韶关市韶南大道八公里东侧（北京现代4S店）,1,4s店
10513,D2108S01,顺和盈松岗店,10513,,0755-29934611,0,113.854504,22.760558,深圳市宝安区松岗街道107国道与松裕路交汇处,5,卫星店
10514,D2108S02,顺和盈龙岗店,10513,,0755-89610282,0,114.290478,22.747576,深圳市龙岗区龙岗街道新生社区低山南路21号117、201,5,卫星店
10515,D2151S01,昊天林宝安店,10513,,0755-29423377,0,113.860261,22.624085,深圳市宝安区107国道西乡段洲石立交西北侧世纪车城,5,卫星店
10517,D2133S01,新力达坪山店,10513,,0755-89669556,0,114.377583,22.688903,坪山新区比亚迪路沙坣同富裕工业区8号,5,卫星店
11820,D4117,深圳市大胜汽车销售服务有限公司,10513,0755-83707777,0755-83705555,0,114.036942,22.548027,福田区红荔西路联合华鹏汽车广场B3,1,4s店
11826,D4123,深圳市顺和盈汽车贸易有限公司,10513,0755-26161111,0755-26163888,0,113.914904,22.532628,广东省深圳市南山区月亮湾大道深圳火车西站南侧,1,4s店
11828,D4126,深圳市鹏峰实业有限公司,10513,0755-82132633,0755-82132788,0,114.110266,22.566444,深圳市福田区八卦二路与红岭北路交汇处鹏峰八卦岭汽车城,1,4s店
11841,D4148,深圳市新力达新亚汽车贸易有限公司,10513,0755-84829199,0755-84864988,0,114.232438,22.708432,圳市龙岗区如意路301号陂头背村口（老干部活动中心对面）,1,4s店
11858,D4166,深圳市昊天林汽车服务有限公司,10513,0755-27717638,0755-27717628  ,0,113.848737,22.780618,深圳市宝安区107国道松岗段415号（昊天林汽车大厦）,1,4s店
11859,D4167,深圳市威博汽车有限公司,10513,0755-29525333,0755-28055666,0,114.03965,22.676458,深圳市宝安区龙华镇清龙路1号(龙华汽车站斜对面),1,4s店
11854,D4161,阳江市京泰汽车销售服务有限公司,11854,0662-2858999,0662-3268989,1,110.382779,21.295622,广东省阳江市江城区金山路边,1,4s店
11856,D4163,云浮美轮运现汽车有限公司,11856,15007664999,0766-8325555,1,112.072139,22.958228,广东省云浮市云城区过境公路28号（新人民医院旁）,1,4s店
11839,D4144,湛江市中富汽车销售服务有限公司,11839,0759-3289662,0759-3289666,0,110.382779,21.295622,湛江市赤坎区海田路118号,1,4s店
12320,D4184,湛江市广缘创力汽车销售服务有限公司,11839,0759-2813378,0759-2813398,0,110.322546,21.297355,麻章区瑞云北路101粤西国际车城内（南亚郦都小区对面）,1,4s店
11837,D4142,肇庆美现汽车有限公司,11837,0758-2777222,0758-2777333,0,113.147657,23.085129,广东省肇庆市肇庆大道北侧（肇庆学院东侧）,1,4s店
11829,D4127,中山市创现汽车销售服务有限公司,12264,0760-88556223,0760-88551008,0,113.360409,22.553102,中山市西区沙朗彩虹大道40号,1,4s店
11849,D4156,中山市创世纪城南汽车有限公司,12264,0760-88796223,0760-88796600,0,113.354531,22.472113,广东省中山市南区城南四路一号之一,1,4s店
11855,D4162,中山市中启汽车销售服务有限公司,12264,0760-88509801,0760-88509800,0,113.327762,22.581811,中山市东升镇坦背西二马路177号第一卡,1,4s店
12216,D4175,中山市永星汽车贸易有限公司,12264,0760-88582202,0760-88582227,0,113.428776,22.523781,中山市火炬开发区中山六路二号之12,2,4s店
12264,D4180,中山市嘉德汽车贸易有限公司,12264,0760-88509801,0760-88509800,0,113.327612,22.581791,东升镇坦背西2马路177卡,2,4s店
11832,D4132,珠海市华德汽车贸易有限公司,11864,0756-6312660,0756-6312666,0,113.506088,22.290079,珠海市华宇路87号,1,4s店
11864,D4173,珠海市华德致远汽车销售服务有限公司,11864,0756-6315666,0756-6317333,0,113.335359,22.212692,珠海市斗门区白蕉镇白蕉南路46号,2,4s店
11647,D3320,安庆宜通汽车销售服务有限公司,12274,0556-5345678,0556-5345050,0,117.050599,30.558846,安庆市开发区迎宾路319号,1,4s店
11666,D3340,安庆永通汽车销售服务有限公司,12274,0556-5766999,0556-5766777,0,117.065302,30.57521,安徽省安庆市宜秀区石塘湖路10号英德利汽车城三期,1,4s店
