name,address,tel,city,province
呼伦贝尔市大鹏润达汽车贸易有限公司 ,呼伦贝尔市鄂温克旗海伊公路东侧利丰汽车园南侧东风标致4S店,0470-2382118,呼伦贝尔市,内蒙古自治区
巴彦淖尔市巴运小轿车销售有限公司 ,内蒙古巴彦淖尔市临河区保税物流园区,0478-8910998,巴彦淖尔市,内蒙古自治区
内蒙古万方汽车销售服务有限公司 ,乌兰察布市集宁新区车管所南200米路西,0474-3683888,乌兰察布市,内蒙古自治区
兴安盟骏腾汽车销售服务有限公司 ,科右前旗政府新址天骄路道东200米,0482-8395100,兴安盟,内蒙古自治区
沈阳汇诚汽车销售服务有限公司 ,沈阳市铁西区北二中路18甲1-2号,024-25709922,沈阳市,辽宁省
大连新东升汽车销售服务有限公司 ,辽宁省大连市甘井子区华北路516号,0411-39079329,大连市,辽宁省
抚顺千和汽车销售有限公司 ,抚顺市望花区丹东路西段20号,024-56502666,抚顺市,辽宁省
锦州盛世鸿运汽车销售服务有限公司 ,锦州市太和区新民乡大围子村,0416-8055555,锦州市,辽宁省
朝阳鸿盛汽车销售服务有限公司 ,辽宁省朝阳市中山大街5段178号,0421-3305000,朝阳市,辽宁省
吉林省联孚汽车销售服务有限公司 ,长春市景阳大路3756号,0431-85046777,长春市,吉林省
吉林市万华汽车销售服务有限公司 ,吉林市船营区越山路205号,0432-62738999,吉林市,吉林省
四平源宸汽车服务有限公司 ,四平市铁东区北门街北桥委北一马路东侧1层,0434-7770053,四平市,吉林省
延边北方汽车销售服务有限公司 ,延吉市东新街168号1001,0511-86226683,延边朝鲜族自治州,吉林省
黑龙江骏鹰大通汽车销售服务有限公司 ,黑龙江省哈尔滨市道里区城乡路441号,0451-87614777 ,哈尔滨市,黑龙江省
齐齐哈尔市皓民汽车销售有限公司 ,齐齐哈尔市龙沙区齐富公路西侧23号,0452-8888686,齐齐哈尔市,黑龙江省
大庆市威龙汽车贸易有限公司 ,大庆高新区汽车工业园庆新大街1号,0459-4300004,大庆市,黑龙江省
牡丹江中信恒安汽车销售服务有限公司 ,黑龙江省牡丹江市阳明区兴业路555号,0453-6888881,牡丹江市,黑龙江省
绥化市世佳汽车销售服务有限责任公司 ,黑龙江省绥化市东富工业园区（申禄达高架桥东）,0455-8639789,绥化市,黑龙江省
上海陆狮汽车销售服务有限公司 ,上海市普陀区真南路829号,021-52842266,上海市,上海市
江苏万帮外汽汽车有限公司 ,江苏省南京市鼓楼区江东北路88号（定淮门大街与江东路交叉口）,025-86226666,南京市,江苏省
江阴市吉诚汽车有限公司 ,江苏省江阴市澄杨路17号,0510-80623377 80623300,无锡市,江苏省
邳州市亿达汽车销售服务有限公司 ,邳州市赵墩镇澎湖村,0516-86288888,徐州市,江苏省
常州冠亚恒通汽车销售服务有限公司 ,江苏省常州市新北区黄河东路90号,0519-85139933,常州市,江苏省
昆山力狮汽车销售服务有限公司（庞大集团） ,江苏省昆山市昆嘉路333号,0512-57028008/57028028,苏州市,江苏省
南京朗驰集团南通朗瑞汽车销售服务有限公司 ,江苏省南通市城港路187号,0513-85605566,南通市,江苏省
江苏致和汽车贸易有限公司 ,连云港市新浦区解放东路318号振兴汽车城,0518-85837111,连云港市,江苏省
江苏蓝致汽车销售服务有限公司 ,盱眙县盱城工业集中区（山水大道南侧）,0517-88656666,淮安市,江苏省
森风集团盐城明德汽车有限公司 ,江苏省盐城市经济开发区希望大道南路9号,0515--88272111,盐城市,江苏省
扬州宏远宝狮汽车有限公司 ,扬州市江都区长江东路（江都国际汽车城）,0514-86998028,扬州市,江苏省
镇江狮爵汽车销售有限公司 ,镇江市丁卯开发区楚桥路与纬三路交汇处,0511-88615588,镇江市,江苏省
泰州市致远汽车销售服务有限公司 ,泰州市医药高新区国际汽车城纬八路3号,0523-86156666-1,泰州市,江苏省
宿迁美翔车业有限公司 ,宿迁市宿城区双庄镇双庄街南（迅驰路东侧）,0527-81886488,宿迁市,江苏省
浙江元通森美汽车有限公司 ,浙江省杭州市艮山东路358号（麦德龙超市对面）,0571-86435555/86498770,杭州市,浙江省
宁波金狮汽车销售服务有限公司 ,浙江省宁波市江北区环城北路东段485号,0574-87620777,宁波市,浙江省
温州尊龙汽车销售服务有限公司 ,浙江省温州市过境公路南端1号（十里亭加油站对面）,0577-89616666,温州市,浙江省
嘉兴市思源汽车有限公司 ,浙江省嘉兴市二环西路六号桥东侧,0573-82698888,嘉兴市,浙江省
德清长运汽车销售服务有限公司 ,德清县武康镇志远路（104国道德清长运驾校旁）。城市展厅：湖州市东街98-100号。湖州4S店：环城南路47号（建设中）,0572-2556800. 0572-8351598,湖州市,浙江省
绍兴森美洪达汽车有限公司 ,浙江省绍兴市北复线梅山洋渎路口,0575-88269666,绍兴市,浙江省
金华金风汽车贸易有限公司 ,浙江省金华市汽车城西九路,0579-82087188,金华市,浙江省
衢州标龙汽车销售服务有限公司 ,浙江省衢州市衢江区东迹大道888号,0570-3355899,衢州市,浙江省
舟山腾狮汽车销售服务有限公司 ,舟山市定海区双桥街道舟山汽车城18号,0580-8851888,舟山市,浙江省
台州市鑫硕汽车销售服务有限公司 ,台州市椒江区洪家街道上洋桥村,0576-88581222,台州市,浙江省
安徽致远汽车销售服务有限公司 ,安徽省合肥市新站区北二环安徽国际汽车城22号,0551-64289777 64399066,合肥市,安徽省
芜湖华盈汽车销售服务有限公司 ,安徽省芜湖市鸠江区东泗大道汽车产业园内,0553-5864222,芜湖市,安徽省
蚌埠福晟汽车贸易有限公司 ,安徽省蚌埠市迎宾大道西侧国际汽车城金和路5号,0552-3351777,蚌埠市,安徽省
马鞍山利马汽车销售服务有限公司 ,马鞍山经济技术开发区湖西南路9号,0555-2109876,马鞍山市,安徽省
淮北市金成汽车销售有限公司 ,安徽省淮北市汽车城骏驰路18号,0561-3153338,淮北市,安徽省
铜陵市瑞致汽车销售服务有限公司 ,安徽省铜陵市铜都大道桥南4S店集群,0562-2651666,铜陵市,安徽省
安庆华龙汽贸有限公司 ,安徽省安庆市开发区中兴大街162号,0556-5923999,安庆市,安徽省
黄山市致兴汽车销售有限公司 ,安徽省黄山市休宁县万安镇万新村（古城岩景区对面）,0559-7818999,黄山市,安徽省
阜阳市银狮汽车销售服务有限公司 ,安徽省阜阳市开发区纬五路北侧（新车管所对面）东风标致4S店,0558-2330000,阜阳市,安徽省
宿州润标汽车销售服务有限公司 ,安徽省宿州市经济开发区金海大道东侧,0557-3811666,宿州市,安徽省
六安伟鑫汽车销售服务有限公司 ,安徽省六安市金安经济技术开发区312国道与胜利南路交叉口,0564-3837333,六安市,安徽省
宣城市致鑫汽车销售服务有限公司 ,宣城市昭亭南路与清溪路交叉口,0563-2819166,宣城市,安徽省
福建吉诺佳宏汽车有限公司 ,福建省福州市仓山区则徐大道葫芦阵村,0591-83410033,福州市,福建省
厦门永达丰汽车销售有限公司 ,厦门市湖里区马垅汽车交易市场,0592-5732688 5735700,厦门市,福建省
福建神威汽车销售服务有限公司 ,福建省莆田市城厢区霞林街道胜利南街1666号,0594-2561666/0594-2722666,莆田市,福建省
三明丰顺达成汽车销售服务有限公司 ,福建省三明市梅列区陈大镇德安汽车贸易集中区9幢1号,0598-8581999/8581777,三明市,福建省
福建丰豪汽车销售服务有限公司 ,福建省晋江市罗山街道缺塘社区汽车市场二期A区,0595-82789666,泉州市,福建省
漳州丰和元汽车销售有限公司 ,福建漳州市龙文区蔡坂村路口(迎宾大道)1471号,0596-2109001,漳州市,福建省
南平吉诺佳宏汽车销售服务有限公司 ,福建省南平市延平区水溪口城市交通枢纽园区,0599-8581777,南平市,福建省
龙岩市胜华成汽车销售有限公司 ,福建省龙岩市新罗区东城城东东宫下自来水厂对面,0597-2307188/2305307,龙岩市,福建省
宁德市吉诺佳宏汽车销售服务有限公司 ,福建省宁德市蕉城区鹤峰路后岗段东风标致4S店,0593-2767777,宁德市,福建省
江西亿鑫行汽车销售服务有限公司 ,南昌市青山湖区高新南大道618号（亿安达驾校内）,0791-83838833,南昌市,江西省
景德镇市万顺鑫汽车贸易有限公司 ,江西省景德镇市迎宾大道洪源大桥北侧,0798-7116666,景德镇市,江西省
萍乡市佳顺汽车销售服务有限公司 ,江西省萍乡市安源区320国道萍乡卫校旁安源国际汽车城,0799-6698998,萍乡市,江西省
九江市万顺鑫汽车销售服务有限责任公司 ,江西省九江市九瑞大道171号,0792-8507666,九江市,江西省
新余宏狮汽车销售服务有限公司 ,江西省新余市仙女湖区物流园,0790-7116111,新余市,江西省
赣州诚致汽车销售服务有限公司 ,江西省赣州经济技术开发区迎宾大道南侧金潭路西侧,0797-8380666,赣州市,江西省
吉安市汇峰汽车销售服务有限公司 ,吉安市城北高速连接线文峰汽车城东风标致吉安汇峰4S店,0796-8338666,吉安市,江西省
江西星光汽车销售服务有限公司 ,江西省高安市货运汽车产业基地新320国道高铁站拐角处,0795-5689999,宜春市,江西省
上饶市兆丰汽车销售服务有限公司 ,江西上饶市三清山西大道58号月亮湾汽车城东风标致汽车4s店,0793-8618779,上饶市,江西省
抚州广润汽车销售有限公司 ,抚州市临川区迎宾大道西延伸段（赣东国际汽车城）,0794-8303166,抚州市,江西省
山东泰通汽车销售服务有限公司 ,山东省济南市外环西路68号,0531-83152888   83151111,济南市,山东省
青岛宝狮汽车销售服务有限公司 ,山东省青岛市四方区重庆南路117号,0532-85665888,青岛市,山东省
淄博金锐狮汽车销售有限公司 ,山东省淄博市张店区山泉路95号,0533-2989133,淄博市,山东省
枣庄德威汽车销售有限公司 ,山东省枣庄市市中区经济开发区衡山路1号（光明大道联通换乘中心西500米）,0632-5270888,枣庄市,山东省
东营天狮汽车销售服务有限公司 ,山东省东营市东营区西四路五干桥向南二公里处,0546-7778307/7778207,东营市,山东省
栖霞欣瑞汽车销售服务有限公司 ,山东省栖霞市民生路西首亚东汽车城,0535-3378808,烟台市,山东省
高密隆兴车业有限公司 ,山东省高密市夷安大道8888号,0536-2219988,潍坊市,山东省
济宁裕龙汽车销售服务有限公司 ,山东省济宁市圣达汽车博览中心东风标致济宁裕龙4S店,0537-2985668 ,济宁市,山东省
泰安市华君东狮汽车销售服务有限公司 ,山东省泰安市南高新区长城路13908号华君汽车城,0538-8152888,泰安市,山东省
威海鑫狮汽车销售服务有限公司 ,山东省威海市经区珠海路665-10（东风标致店）,0631-5999307 0631-5995206,威海市,山东省
日照志美欣业汽车销售服务有限公司 ,山东省日照市开发区奎山汽车城204国道东,0633-2271888,日照市,山东省
莱芜市全润经贸有限公司 ,莱芜市莱城区口镇汽车商贸城,0634-6026666,莱芜市,山东省
临沂睿狮汽车销售服务有限公司 ,山东省临沂市双岭路西段京沪高速公路出口东150米路南,0539-2778017,临沂市,山东省
德州天狮汽车销售服务有限公司 ,德州经济开发区晶华大道（中冀斯巴鲁汽车销售公司南临）,0534-2219206,德州市,山东省
聊城市金辰汽车销售服务有限公司 ,山东省聊城市柳园工业园区金羊汽车城内东风标致4S店,0635-2921777,聊城市,山东省
山东滨州运翔汽车销售服务有限公司 ,山东省滨州市渤海24路长江三路交叉口南300米路东,0543-2294888,滨州市,山东省
菏泽优创客汽车销售服务有限公司 ,山东省菏泽市黄河东路2576号,0530-5159996,菏泽市,山东省
河南神源汽车销售有限公司 ,河南省郑州市高新区瑞达路与梧桐街交叉口向西50米,0371-67033088  67033099 ,郑州市,河南省
开封凯标汽车销售服务有限公司 ,河南省开封市东京大道新河大北门向西100米,0371-22267558,开封市,河南省
洛阳亨诚汽车贸易有限公司 ,洛阳市洛龙区龙门大道古城路口向北200米路东,0379-63937777,洛阳市,河南省
平顶山亨致车业有限公司 ,平顶山建设路东段贸易广场东两公里路南,0375-6188898,平顶山市,河南省
安阳乐志汽车销售服务有限公司 ,安阳市文峰区光明路南段路西豫北汽车市场院内,0372-2105999,安阳市,河南省
鹤壁中兴汽车销售服务有限公司 ,鹤壁市淇滨区黎阳路东段路南,0392-2175111,鹤壁市,河南省
新乡市天源汽车商贸有限公司 ,河南省新乡市汽车南站向西1000米路南东风标致新乡天源4S店,0373-5022222,新乡市,河南省
焦作市宏盛汽车贸易有限公司 ,焦作市建设东路墙南汽配城东300米八运公司新厂区,0391-3305566,焦作市,河南省
濮阳市致美汽车销售服务有限公司 ,濮阳市中原路与濮水路交叉口南50米路东,0393-8959555,濮阳市,河南省
许昌亨诚汽车服务有限公司 ,许昌市魏都区民营科技园万通汽贸城雪铁龙展厅东侧,0374-5371777,许昌市,河南省
漯河润东德众汽车销售有限公司 ,漯河市豫中南汽贸城桂江路与经二路交叉口北100米,0395-3715111,漯河市,河南省
三门峡市腾狮汽车销售服务有限公司 ,三门峡市河堤北路东段腾飞汽车城内（连霍高速东出口北500米）,0398-2163456,三门峡市,河南省
南阳市豫宛车业有限公司 ,南阳市独山大道与信臣路交叉口东600米(路南),0377-63276699,南阳市,河南省
商丘市银狮汽车销售服务有限公司 ,商丘市开发区北海路与星林路交叉口南200米路东,0370-6055555,商丘市,河南省
周口市通泰汽车销售服务有限公司 ,周口市川汇区周商大道高速路口北200米路西,0394-3751111,周口市,河南省
驻马店市鼎泰汽车销售服务有限公司 ,河南省驻马店市开源大道与驿城大道交叉口向北200米路西,0396-3602888,驻马店市,河南省
信阳合众致信汽车销售服务有限公司 ,信阳市高新区招商中心向东200米路北,0376-3201555,信阳市,河南省
武汉万隆尚鸿汽车销售服务有限公司 ,汉阳区汉阳大道黄金口工业园金色环路18号,027-84878688,武汉市,湖北省
黄石银狮汽车销售服务有限公司 ,黄石市下陆区江洋街办发展大道168号,0714-6391888,黄石市,湖北省
十堰中威汽车销售服务有限公司 ,湖北省十堰市车城南路16号（东汽体育馆旁）,0719-8289199,十堰市,湖北省
宜昌交运集团麟至汽车销售服务有限公司 ,湖北省宜昌市东山开发区发展大道61号东风标致4S店,0717-6900307,宜昌市,湖北省
东风鸿泰襄阳汽车销售服务有限公司 ,湖北省襄阳市襄城区环城南路136号（烈士塔斜对面）,0710-3502508,襄阳市,湖北省
东风鸿泰鄂州汽车销售服务有限公司 ,鄂州市鄂城区葛山大道中段66号（鄂城区交警一大队旁）,0711-5910909,鄂州市,湖北省
荆门狮源汽车销售服务有限公司 ,湖北省荆门市掇刀区月亮湖路80-2号（国际汽车城）,0724-2221888,荆门市,湖北省
荆州市狮源汽车销售服务有限公司 ,湖北省荆州市荆州区荆沙大道48号,0716-8491333,荆州市,湖北省
黄冈鼎睿汽车销售服务有限公司 ,黄冈市黄州区南湖街道办事处二队,0713-8873888,黄冈市,湖北省
随州市天龙汽车销售服务有限公司 ,随州市经济技术开发区交通大道K-126号（望城岗）,0722-3590666,随州市,湖北省
恩施州交运运输集团昌鸿汽车销售服务有限责任公司 ,恩施市金桂大道131号东风标致4S店,0718-8201888,恩施土家族苗族自治州,湖北省
潜江市利通汽车服务有限公司 ,潜江市园林办事处红梅西路99号,0728-6517888,潜江市,湖北省
长沙市鹏驰汽车销售有限公司 ,湖南省长沙市天心区芙蓉南路雀园路口东,0731-82832399,长沙市,湖南省
株洲市兰天天宇汽车销售有限公司 ,湖南省株洲市荷塘区红港路汽车城标致4S店,0731-22976677,株洲市,湖南省
湘潭鑫致汽车销售服务有限公司 ,湘潭市岳塘区宝塔街道河东大道168号湖南三鑫汽车文化广场1栋0101012号,0731-55512555,湘潭市,湖南省
衡阳华佳汽车销售服务有限公司 ,湖南省衡阳市西外环线杨柳汽车市场,0734-8576888,衡阳市,湖南省
邵阳市宝威汽车销售服务有限公司 ,邵阳市宝庆东路169号,0739-5286668,邵阳市,湖南省
岳阳华致汽车有限公司 ,湖南省岳阳城陵矶临港产业新区临港国际汽车城,0730-8571188,岳阳市,湖南省
常德双星星致汽车销售服务有限公司 ,湖南省常德市武陵区常德大道3511号（汽车城对面）,0736-7272222,常德市,湖南省
郴州市恒信投资有限公司 ,湖南省郴州市开发区科技园内,0735-2227777,郴州市,湖南省
永州国华汽车销售有限公司 ,湖南省永州市零陵区永州大道旁（潇湘汽车城内）,0746-8822888,永州市,湖南省
怀化市聚缘商贸服务有限责任公司 ,湖南省怀化市鹤城区南环路（廉租房对面）,0745-2293333,怀化市,湖南省
娄底市高科汽车贸易有限公司 ,娄底市娄星区万宝镇中南汽车城内（高铁站后200米）,0738-7871777,娄底市,湖南省
张家界仁德汽车贸易有限公司 ,湖南省张家界市永定区西溪坪办事处永定大道（张家界联拓置业有限公司3栋一楼门面）,0744-8518665,张家界市,湖南省
广州市美狮汽车销售服务有限公司 ,广东省广州市海珠区广州大道南1633,020-34138258,广州市,广东省
韶关市宝利达汽车销售服务有限公司 ,广东省韶关市浈江区韶南大道六公里东侧,0751-8843988,韶关市,广东省
深圳市友车友汽车销售服务有限公司 ,广东省深圳市宝安区西乡前进二路104号,0755-26162377 26162378,深圳市,广东省
珠海市海标贸易有限公司 ,广东省珠海市前山工业园南溪国际名车城,0756-8589088/8589089,珠海市,广东省
汕头市粤通汽车销售服务有限公司 ,广东省汕头市龙湖区黄山路69号,0754-88820200,汕头市,广东省
佛山市鼎致汽车销售服务有限公司 ,广东省佛山市南海区桂城海八路谢叠大桥侧,0757-86307888 86369319,佛山市,广东省
江门市大合明志汽车销售服务有限公司 ,广东省江门市新会区会城冈州大道东33号,0750-6165555,江门市,广东省
湛江市利程汽车销售服务有限公司 ,湛江市椹川大道中36号（屋山路段与乐山西路交汇处）,0759-2310788,湛江市,广东省
茂名广物标远汽车销售服务有限公司 ,广东省茂名市茂港区坡心镇排河村委会禾场坡村（排河小学北、高水公路旁）,0668-2655668,茂名市,广东省
肇庆美轮庆志汽车有限公司 ,肇庆市端州区东岗西路美轮车城南区标致展厅,0758-2109633,肇庆市,广东省
惠州市和致汽车销售服务有限公司 ,广东省惠州市大湖溪广汕公路与三环路交汇处,0752-2363999,惠州市,广东省
梅州市宏成汽车销售服务有限公司 ,梅州市梅江区环市西路车管所旁,0753-2211111,梅州市,广东省
河源市骏马通汽车销售有限公司 ,河源市东环路临江工业园超然汽车城内,0762-7309222,河源市,广东省
阳江市广宝源汽车销售服务有限公司 ,广东省阳江市金山路北186号（茂南加油站旁）,0662-3113333,阳江市,广东省
清远市圆展汽车销售服务有限公司 ,广东省清远市清城区横荷街道清三公路狮子湖高尔夫球场旁禾泰硕汽车城内东风标致,0763-3783555,清远市,广东省
东莞市广物正远汽车贸易有限公司 ,广东省东莞市寮步镇国际汽车城A-01-01号,0769-81120808,东莞市,广东省
中山市永达汽车贸易有限公司 ,广东省中山市西区沙朗六冲彩虹大道143号,0760-88166088/88166099,中山市,广东省
揭阳市粤标汽车销售服务有限公司 ,广东省揭阳市区一号路以南十一号街以东,0663-8383777,揭阳市,广东省
潮州市长威汽车销售服务有限公司 ,广东省潮州市枫溪区潮汕公路英塘路段如意路口斜对面东风标致4S店,0768-2298555,潮州市,广东省
广西弘狮汽车销售服务有限公司 ,广西南宁市江南区南站大道汽车广场,0771-4925566/4892122,南宁市,广西壮族自治区
柳州弘狮汽车销售服务有限公司 ,广西省柳州市汇轮路广西汽车贸易园内,0772-8803788,柳州市,广西壮族自治区
桂林弘狮诚致汽车销售服务有限公司 ,广西省桂林八里街经济开发区纬七路37-1号,0773-2635688,桂林市,广西壮族自治区
梧州市弘标汽车销售服务有限公司 ,梧州市长洲区三龙大道西段18号,0774-3898103,梧州市,广西壮族自治区
北海弘狮汽车销售服务有限公司 ,北海市南珠大道中段(南地海江南对面）,0779-3808518,北海市,广西壮族自治区
钦州市白马汽车销售服务有限公司 ,广西钦州市扬帆北大道华龙街6号（人和春天售楼部正对面）,0777-5381188,钦州市,广西壮族自治区
贵港市中麒汽车销售服务有限公司 ,广西贵港市金港大道西环路立交桥旁（金泰汽车城内）,0775-5959000,贵港市,广西壮族自治区
玉林市瀚鼎铂利汽车销售服务有限公司 ,玉林市二环东路21号一楼,0775-2808000,玉林市,广西壮族自治区
广西润凯汽车销售服务有限公司 ,广西百色市右江区进城大道与东环路交汇处,0776-2302266,百色市,广西壮族自治区
贺州市和通汽车销售服务有限公司 ,广西贺州市八步区迎宾大道金龙摩托车城E座9#、10#商铺,0774-5203336,贺州市,广西壮族自治区
河池通华汽车贸易服务有限公司 ,广西河池市百旺开发区金水二级公路南侧,0778-2286013、2286014,河池市,广西壮族自治区
海南保力汽车销售服务有限公司 ,海南省海口市南海大道59号,0898-68617998,海口市,海南省
三亚亚兴汽车销售服务有限公司 ,海南省三亚市迎宾大道393号（龙坡村西侧）,0898-38225252,三亚市,海南省
重庆百事达华德汽车销售服务有限公司 ,重庆市万州区外贸路71号,023-85729666,重庆市,重庆市
成都集大成汽车销售服务有限公司 ,四川省成都市火车南站西路1279号（机场高速回城辅道）,028-85181100/85199626/85199841,成都市,四川省
自贡新业汽车销售有限公司 ,四川省自贡市贡井区工业开发区C区C2-02,0813-5102777,自贡市,四川省
攀枝花申蓉新源汽车销售服务有限公司 ,攀枝花市东区银江镇沙坝村二社,0812-6250000,攀枝花市,四川省
泸州市浩翔贸易有限公司 ,四川省泸州市蓝安大道机场路口东风标致4S店（顺屋基公交站旁）,0830-4110222,泸州市,四川省
中国第二重型机械集团德阳万路运业有限公司 ,四川省德阳市岷江西路二段79号,0838-2341856/2340377,德阳市,四川省
绵阳新华商贸有限公司 ,四川省绵阳市剑门路西段180号,0816-2379809/2363515,绵阳市,四川省
广元市嘉鹏汽车销售服务有限公司 ,广元市经济开发区下西活力村一组,0839-3333033,广元市,四川省
遂宁天致汽车销售服务有限公司 ,遂宁市船山区中国西部现代物流港内,0825-5837878,遂宁市,四川省
乐山天牛华申汽车销售服务有限公司 ,四川省乐山市市中区通江镇王河村3组,0833-2300788,乐山市,四川省
南充金鞍车业有限公司 ,四川省南充市航空港工业集中区国际汽车城,0817-3313888,南充市,四川省
眉山泓翰车业有限公司 ,眉山市成乐高速公路入口处,028-38665888,眉山市,四川省
宜宾建国汽车销售服务有限公司 ,四川省宜宾市临港开发区构庄路1号,0831-2201863,宜宾市,四川省
广安东创昌升车业有限公司 ,四川省广安经济技术开发区奎阁园区护安镇汽博城,0826-2431123,广安市,四川省
达州市鸿杉汽车贸易有限公司 ,四川省达州市南外镇杨柳工业配套园区天马汽车城东风标致4S店,0818-2681111,达州市,四川省
雅安极致汽车销售有限公司 ,雅安市多营镇茶马大道39号,0835-2610499,雅安市,四川省
巴中龙兴汽车销售服务有限责任公司 ,四川省巴中市兴文经开区秦巴大道中段（五金机电市场旁）,0827-5588888,巴中市,四川省
资阳天致汽车销售服务有限公司 ,四川省资阳市雁江区大千路五显村8社8组69号,028-26806122,资阳市,四川省
贵州三狮汽车销售服务有限公司 ,贵州省贵阳市乌当区新添大道北段18号（航天大道路口）,0851-86606555,贵阳市,贵州省
贵州宏宇嘉信汽车贸易有限公司 ,贵州省六盘水红桥新区红山大道南客车站对面,0858-8161222,六盘水市,贵州省
遵义乾坤汽车销售服务有限公司 ,贵州省遵义市遵南大道黔北国际汽车博览中心,0851-27369778,遵义市,贵州省
贵州万利源瑞狮汽车销售服务有限公司 ,贵州省安顺市经济技术开发区黄果树大街(体育中心旁),0853-3784666,安顺市,贵州省
铜仁市银锐汽车销售有限公司 ,铜仁市碧江区灯塔工业园德坤汽车城,0856-8886333,铜仁地区,贵州省
兴义市恒信德龙汽车销售服务有限公司 ,贵州省兴义市木贾物流园区东风标致4S店,400-872-9838,黔西南布依族苗族自治州,贵州省
贵州佰润力昂汽车销售服务有限公司 ,毕节市碧阳大道佰润汽车广场（小坝路口旁）,0857-8919555,毕节地区,贵州省
贵州众恒致昇汽车销售服务有限公司 ,贵州省凯里经济开发区经纬汽车城,0855-8682666,黔东南苗族侗族自治州,贵州省
都匀恒信华致汽车销售服务有限公司 ,贵州省黔南布依苗族自治州都匀市甘塘工业园区文明村佘家庄,18085469990,黔南布依族苗族自治州,贵州省
云南都市车迷宝狮汽车贸易有限公司 ,云南省昆明市北京路1050号（金泉汽车广场对面）北辰财富中心斜对面,0871-68053886,昆明市,云南省
玉溪东峻天耀汽车销售服务有限公司 ,云南省玉溪市红塔区太极路林家边旁（亚太国际汽车城）2幢1层,0877-2150100,玉溪市,云南省
保山黔通汽车销售服务有限公司 ,云南省保山市隆阳区下村永昌街道工业园区（永昌路与北六环交叉口向东200米）,0875-2123599,保山市,云南省
昭通市振翔商贸有限公司 ,昭通市昭阳区工业园区昭彝路,0870-3156333,昭通市,云南省
楚雄昊跃汽车销售服务有限公司 ,楚雄滇中大商汇第二期105#地块,0878-3249777,楚雄彝族自治州,云南省
