code,name,rssc_code,province_code,city_code,district_code,phone,fax,email,address,service_tel,hot_line
15071,深圳市新奇建投资发展有限公司,50001,08,277,,0755-83052022/0755-83052033,0755-82112955,qjcar@china.com;qijianskoda@vip.163.com;skoda_1507,深圳市福田区红荔西路联合华鹏汽车交易市场B2-1号,0755-83052122,
15191,深圳市北方鹏盛汽车销售有限公司,50001,08,277,,0755-22276588,0755-22912578,linxj1994@163.com;jiangchengzh007@126.com;69504222,深圳市罗湖区清水河三路与一路交汇处深业车城A02,0755-22276788,
15191-01,深圳市北方鹏盛汽车销售有限公司,50001,08,277,,0755-27490808,,,广东省深圳市宝安区黄田路段107国道世纪车城,,
15051,珠海市华发锐达汽车有限公司,50001,08,278,,0756-8580855/8580856,0756-8580001,zhuhaihuafa@126.com;hf-skoda@163.com;skoda_15051@v,珠海市香洲区梅溪路8号（梅溪牌坊左侧300米处）,0756-8580858,
15031,汕头市恒康达汽车贸易有限公司,50001,08,279,,0754-88824288,0754-8823298,Hengkangda@vip.163.com;skoda_15031@vip.163.com;553,汕头市长平路与泰山路交界处,0754-88823228,
15111,韶关市联达汽车销售服务有限公司,50001,08,280,,0751-8182833,0751-8295849,skoda_15111@163.com;xl_admin@126.com;skoda_15111@v,韶关市韶南大道南郊七公里（北京现代旁）,0751-8287228,
15091,惠州市恒通达汽车贸易有限公司,50001,08,283,,0752-2558848,0752-2558803,WDGD001@126.com;553720589@qq.com;LWS6997@163.com;s,惠州市演达一路汽车大市场内22号,0752-2558805,
15101,东莞市金泰汽车销售服务有限公司,50001,08,285,,0769-21687700/0769-21687711,0769-21687667,skoda_15101@vip.163.com;Ljp3168@126.com,广东省东莞市南城区莞太路白马路段骏马山庄旁,0769-21686085,
15181,江门市振鸿经贸发展有限公司,50001,08,287,,0750-3087328,0750-3087326,zhjwjyb@126.com;lujinwu@126.com,江门市蓬江区建设三路113号,0750-3087025,
15081,佛山市华臻汽车销售服务有限公司,50001,08,288,,0757-83960888,,raymondleejx@yahoo.com.cn;skoda_15081@vip.163.com,佛山市禅城区佛山大道中38号佛山车城E区14-20号,0757-83960211,
15211,佛山市广物骏博汽车销售服务有限公司,50001,08,288,,0757-85626999,,skoda_15211@vip.163.com,广东省佛山市南海区里水镇村委会瓜园,0757-85625999,
15211-01,佛山市广物骏博汽车销售服务有限公司(广物骏博华南汽车城展厅),50001,08,288,,"0757-86083871,0757-85689500",,,南海区桂城海八路华南汽车城G11,,
15231,湛江瀚龙汽车销售服务有限公司,50001,08,290,,0759-3203366,,,广东省湛江市赤坎区椹川大道北50号,0759-3205101,
15131,肇庆广物众美汽车有限公司,50001,08,292,,0758-2185777,0758-2185511,yjfdxxid@126.com;skoda_15131@vip.163.com,肇庆市端州区东岗西路(肇庆学院对面),0758-2185522,
15151,清远市广物众达汽车销售服务有限公司,50001,08,294,,0763-3786666,0763-3786660,skoda_15151@vip.163.com;wjy1401@163.com,清远新城东22号区,0763-3786668,
15031-03,汕头市恒康达汽车贸易有限公司(汕头恒康达揭阳展厅),50001,08,296,,,,,揭阳市定卢前路,,
16011,广西上源汽车销售服务有限公司,50001,09,297,,0771-3100011,0771-3100510,gxskoda@163.com;skoda_16011@vip.163.com;74316011gx,南宁市秀厢大道199号金源国际汽车城内,0771－3100099,
16041,广西建汇众达汽车销售服务有限公司,50001,09,297,,0771-3869393,,skoda_16041@vip.163.com,广西壮族自治区南宁市高新区秀厢大道北环路25号,0771-3869393,
16021,柳州上源汽车销售服务有限公司,50001,09,298,,0772-8803233,0772-8803993,yyxx2046@163.com;zxh8868@163.com;Lzskoda@163.com;7,广西柳州汽车贸易园内,0772-8803116,
16031,桂林上源汽车销售服务有限公司,50001,09,299,,0773-2635280,0773-2637957,skoda_16031@vip.163.com;cindy_dt@qq.com,八里街汽车市场16号,,
16051-02,玉林市驰利汽车销售服务有限公司(玉林驰利梧州展厅),50001,09,300,,0774-3822111,,,梧州市三龙大道91号,,
16041-01,广西建汇众达汽车销售服务有限公司(广西建汇北海展厅),50001,09,301,,0779-2229123,,,北海大道3号,,
16011-04,广西上源汽车销售服务有限公司(广西上源钦州展厅),50001,09,303,,0777-5891119,,,钦州北部湾北大道55号（原沙井大道）中润蓝天丽都,,
16051-01,玉林市驰利汽车销售服务有限公司(玉林驰利贵港展厅),50001,09,304,,0775-4580188,,,贵港市金港大道中段（福特直营店）,,
16051,玉林市驰利汽车销售服务有限公司,50001,09,305,,0775-2697700,0775-2308601,skoda_16051@vip.163.com,广西壮族自治区玉林市玉州区二环东路东侧,0775-2308600,
16011-03,广西上源汽车销售服务有限公司(广西上源百色展厅),50001,09,309,,,,,那华大道18号聚宝苑,,
22011,贵州乾通华盛汽车销售服务有限公司,30001,12,311,,0851-3816555,0851-3819555,74322011-gz@163.com;Gzzyczh@126.com;gzqiantong_sko,贵州省贵阳市花溪区孟关乡孟关汽车商贸城,0851-3716777,
22031,遵义市永盛达汽车销售服务有限公司,30001,12,313,,,0851-28449990,gzzysl@126.com;yu_xiang217@126.com;79565987@qq.com,遵南大道北段（中庄客运站南白方向前500米）,0851-28449990,
22031-01,遵义市永盛达汽车销售服务有限公司(遵义永盛达长沙路展厅),30001,12,313,,0851-28449990,,,遵义市长沙路汽车城路段,0851-28449990,
02031,河北众志达汽车贸易有限公司,10001,15,24,,0311-85668668,0311-85663230,zzd803@163.com,石家庄市北二环东路86号（建华大街与北二环交叉口东行200米路南国际汽车贸易园区内）,0311-85662760,
02031-01,河北众志达汽车贸易有限公司(河北众志达石家庄展厅),10001,15,24,,,,,石家庄裕华东路86号,,
02111,河北国和众昊达汽车贸易有限公司,10001,15,24,,0311-87788300,0311-87788300,hbghzhd111@163.com;zhdyaowei111@163.com,石家庄市北二环西路268号,0311-87768100,
02051,邯郸市同源汽车销售服务有限公司,10001,15,25,,0310-5511818,0310-5515650,sjzgmk@sina.com;hbskoda@163.com;skodakl@163.com;zh,邯郸市中华北大街与果园路交叉口西北角,0310-5512777,
02201,邯郸市华众汽车销售服务有限公司,10001,15,25,,,,,河北省邯郸市邯山区南环路与西环路交叉口东行200米路南,,
02191-01,廊坊市燕达汽车贸易有限公司,10001,15,33,,,,,河北省廊坊市广阳区东安路与金光道交口处,,
02041,邢台盛德汽车服务有限公司,10001,15,26,,0319-3236666,0319-3322166,Skoda-shengde@163.com;linyongye-shengde@163.com,河北省邢台市邢台县迎宾路中段,0319-3235555,
02171,邢台杭龙汽车销售服务有限公司,10001,15,26,,0319-5558881,,,河北省邢台市桥东区郭守敬大道,0319-5558989,
02021,保定轩宇舜龙汽车销售服务有限公司,10001,15,27,,0312-3326288/3326289,0312－3326282,bdskoda@yeah.net;skoda-02021@vip.163.com,保定市朝阳北大街1299号(高开区电谷大厦对面),0312-3326280,
02021-01,保定轩宇舜龙汽车销售服务有限公司(保定轩宇定州展厅),10001,15,27,,0312-2584880,,,保定市定州定曲路,,
02131,保定市金昌瑞正汽车销售服务有限公司,10001,15,27,,0312-5882222,,ywwch@126.com,河北省保定市北市区复兴东路,0312-5943999,
02091,张家口市鑫荣汽车销售有限公司,10001,15,28,,0313-4561886,0313-5982722,geelyzjk@163.com;zhanchang85@tom.com;skodazjk@163.,张家口张宣公路西侧火石窖路口,0313-4013111,
02221-01,承德兴骐汽车销售服务有限公司,10001,15,29,,,,,河北省承德市双桥区新世家底商第51-103号,,
02061,唐山庞大众辉汽车销售服务有限公司,10001,15,30,,0315-2965905/0315-2965505,0315-2966518,pd-skoda@163.com,唐山市路南区南刘屯南外环路南侧,0315-5937359,
02151,唐山荣川众达汽车销售服务有限公司,10001,15,30,,0315-5284330,0315-5284330,szh800813@126.com,河北省唐山市丰润区机场路荣川汽车园内,0315-5513988,
02151-01,唐山荣川众达汽车销售服务有限公司,10001,15,30,,,,,河北省唐山市迁安市兆康街,,
02081,秦皇岛嘉隆商贸有限公司,10001,15,31,,0335-8053111,0335-3643799,skoda_02081@163.com;skoda-02081@163.com,秦皇岛西环北路60号,0335-3649333,
02071,沧州畅顺机电设备有限公司,10001,15,32,,0317-3088488,0317-3085756,czcsjd2008@163.com;74302071_cz@163.com;B06-02@163.,沧州长芦大道27号,0317-3080388,
02181,沧州运恒汽车销售服务有限公司,10001,15,32,,0317-2179333,,,河北省沧州市新华区104国道,0317-2179366,
02071-03,沧州畅顺机电设备有限公司,10001,15,32,,,,,河北省沧州市任丘市106国道西环路北头,0317-2883666,
02101,衡水丰和汽车销售有限公司,10001,15,34,,0318-2638000,0318-2638611,HSSKODA@yahoo.cn;Wanglin_9903@163.com;lujinlu88@12,衡水市桃城区北外环东路,0318-2639916,
07041,哈尔滨美通中亚汽车销售有限责任公司,10001,17,76,,0451-51909919,,meitong@vip.163.com;leihrb@126.com;xiaoying0455@ya,哈尔滨南岗区长江路217号,0451-51909918,
07031,齐齐哈尔市中大汽车销售服务有限公司,10001,17,77,,0452-2381155/0452-2382255,0452-2346670,SKODA07031@HOTMAIL.COM;skoda-07031@vip.163.com,龙沙区齐富公路6号,0452-2384455,
07021,大庆业勤荣信汽车销售服务有限公司,10001,17,81,,,0459-5917990,yansheng_wang@vip.163.com;dqyqskoda@163.com;Hongwe,大庆市经济技术开发区让林路与让杜路交叉口,0459-5050880,
07051,佳木斯中恒汽车销售服务有限公司,10001,17,84,,0454-8852678,,,黑龙江省佳木斯市郊区友谊路沿江乡政府对面,0454-8852567,
19021,河南裕华上捷汽车销售服务有限公司,40001,18,257,,0371-60107788,0371-60117188,liuyl0216@sina.com;yhsjskoda@163.com,郑州市郑花北路河南省汽车贸易中心院内,0371-60117198,
19141,郑州聚丰汽车销售服务有限公司,40001,18,257,,0371-55551333,0371-55158369,skoda_19141@vip.163.com,河南省郑州市金水区商都路与贾陈街交叉口向北50米路东,0371-55559797,
19141-01,郑州聚丰汽车销售服务有限公司,40001,18,257,,0371-69193333,,,河南省郑州市管城回族区商都路与通泰路交叉口东南角,,
19101,河南昊达汽车贸易有限公司,40001,18,257,,0371-65503333,0371-68590388,haodskoda@163.com;svwskdyy@126.com;liujuan25@yahoo,西环路化工路交叉口向北1000米,0371-60332902,
19021-02,河南裕华上捷汽车销售服务有限公司(郑州裕华北环路展厅),40001,18,257,,0371-63559995,,,郑州市北环路中原汽车交易中心北区2号厅,,
19151,开封中原金锐商贸有限公司,40001,18,258,,0378-2732888,0378-2267518,autoyyw@126.com,河南省开封市金明区金明大道与北环交叉大转盘东北角,0378-2732999,
19011,洛阳市德众众达汽车销售服务有限公司,40001,18,259,,0379-68601111/0379-63175588,0379-68601102,ryl0217@163.com;lyskoda@vip.163.com,洛阳市西工区纱厂西路86号（王城大道与纱厂路交岔口东北角）,0379-68601000,
19131,洛阳众源汽车有限公司,40001,18,259,,0379-65172666,0379-60697882,shawei168@sina.com;lyzhongyuanskoda@163.com;zhangh,洛阳市瀍河区启明南路新华夏汽车广场,0379-60680333,
19231-01,驻马店市亿顺汽车销售服务有限公司,40001,18,274,,0396-2183999,,,河南省驻马店市驿城区开元大道近乐山路,,
19051,平顶山市华锐汽车销售服务有限公司,40001,18,260,,0375-3878777,0375-3987777,skodapds@sina.com;Shangkenny@hotmail.com,建设路东段高新技术产业开发区(北京现代东侧),0375-3873777,
19071,焦作市泉达鑫源汽车销售服务有限公司,40001,18,261,,0391－8868555,0391－3681688,quanda0391@vip.sina.com;xinyuan0391@vip.sina.com,河南省焦作市解放区神州路2666号,0391-8868108,
19201,鹤壁市鹤天汽车销售服务有限公司,40001,18,262,,0392-2212222,0392-2207022,dhen21@163.com,河南省鹤壁市淇滨区107国道东(荣基汽车城),0392-2213333,
19091,安阳市福尔福上达汽车销售服务有限公司,40001,18,264,,0372-3322333,0372-3322208,skoda0372@163.com;381391015@qq.com,安阳龙安区铁西路南段路东,0372-3322666,
19161,濮阳市德众汽车销售服务有限公司,40001,18,265,,0393-5382111,,,河南省濮阳市华龙区106国道（一汽大众和东风本田之间）,0393-5332226,
19081,许昌怡众汽车销售服务有限公司,40001,18,267,,0374-80201777,0374-5136696,xc19200@163.com;xcskoda@126.com;xczy9999@126.com,河南省许昌市魏都区汽车公园（前进路东段与许州路交叉口）,0374-8020123,
19041,南阳市恒康盛程汽车销售服务有限公司,40001,18,270,,0377-61701888/0377-61709999,,SVW1924@VIP.163.COM;nyhengkang@vip.163.com,河南省南阳市宛城区长江中路779号,0377-63100110,
19111,商丘市丰华汽车销售服务有限公司,40001,18,271,,0370-2226158,0370-2226158,SKODA_sqfh@163.com,民主路金桥路交叉口北,0370-2335158,
19171,周口锐达汽车销售服务有限公司,40001,18,273,,0394-8361777,0394-8388877,zkskoda07@163.com,河南省周口市川汇区迎宾大道（周商路）与太昊路（南环路）交叉口东500米路南,0394-8308881,
17061,武汉三环瀚通汽车销售服务有限公司,40001,19,240,,027-81811333,027-81329711,shct_yjk@163.com;wangfei_vip@foxmail.com,武汉市东湖开发区大学园路10号,027-81819333,
17141,武汉华丰优诚汽车销售服务有限公司,40001,19,240,,027-83360666,,,湖北省武汉市东西湖区长丰大道,027-83366766,
17031-02,武汉捷科众志汽车贸易有限公司(武汉捷科众志南湖展厅),40001,19,240,,027-87808566,,,武汉市南湖大道武汉城市职业学院旁,,
17031-04,武汉捷科众志汽车贸易有限公司(武汉捷科商贸城展厅),40001,19,240,,027-82618566,,,武汉市中环商贸城,,
17081,黄石德众昊达汽车销售服务有限公司,40001,19,241,,0714-6502119,0714-6502110,skoda17081@263.net,湖北省黄石市黄石港区大泉路,0714-6502100,
17051,襄阳瑞志达汽车销售有限公司,40001,19,242,,0710-3394111,0710-3386219,gp_skoda@126.com;,湖北省襄阳市樊城区钻石大道115号荣华工业园,0710-3381719,
17131,十堰龙基伟业汽车服务有限公司,40001,19,243,,0719-8123777,0719-8311488,syljskd@163.com,湖北省十堰市张湾区浙江路万通工业园,0719-8122111,
17041,荆州市恒信通达汽车销售服务有限公司,40001,19,244,,0716-8490996,0716-4309901,jingzhoutongda@163.com,荆州市荆沙大道马河渔场,0716-8490998,
17021,宜昌捷顺汽车销售服务有限公司,40001,19,245,,0717-6300868,0717-6300399,74317021-yc@163.com;skoda17021@188.com,宜昌开发区发展大道100号（宜昌市三峡游客中心前行300米）,0717-6300110,
17021-01,宜昌捷顺汽车销售服务有限公司(宜昌捷顺枝江展厅),40001,19,245,,0717-4515797,,,宜昌市枝江江汉大道中段,,
17101,荆门源达荆威汽车销售服务有限公司,40001,19,246,,0724-2223555,0724-2239345,fhjw999@sina.com;qinqin-cwq@qq.com,湖北省荆门市掇刀区月亮湖路,0724-2219988,
18011,湖南永通华锐汽车销售服务有限公司,50001,21,224,,0731-88158000,0731-2887969,wuhao6622666@163.com;skoda_18011@vip.163.com,湖南省长沙市万家丽路与湘府路交汇东南处,0731-82883966,
30021,三亚丰正华众达汽车销售服务有限公司,50001,57,321,,0898-38288555,,,海南省三亚市田独镇吉阳大道,0898-38255000,
18021,湖南申湘汽车众旺销售有限公司,50001,21,224,,0731-84877588,0731-4877577,skoda_18021@vip.163.com,湖南长沙星沙开发区申湘汽车商务广场（长永高速收费站对面）,0731-84877577,
18091,株洲远征汽车销售有限公司,50001,21,225,,0731-28535888,0731-28535876,yzautocar@126.com,湖南省株洲市石峰区石峰大桥与铜霞路交汇处,0731-28535999,
18071,湘潭腾飞汽车销售服务有限公司,50001,21,226,,0731-58288866,,58077543@qq.com;632053838@qq.com;1465798737@qq.com,湖南省湘潭市岳塘区九华大道,0731-58218866,
18051,衡阳市高瑞汽车销售服务有限公司,50001,21,227,,0734-8875888,,skoda_18051@vip.163.com,湖南省衡阳市雁峰区金山杨柳收费站旁,0734-8875666,
18041,岳阳华宇汽车销售服务有限公司,50001,21,229,,0730-8310011,0730-8266666,skoda_18041@vip.163.com,岳阳巴陵东路琵琶王立交桥市交委对面,0730-8620022,
18041-01,岳阳华宇汽车销售服务有限公司,50001,21,229,,,,,湘阴县长湘路兴湘机动车大市场29栋,,
18101,常德新华润汽车销售服务有限公司,50001,21,230,,0736-7703888,0736-7703636,changdeskd@hotmail.com;skoda_18101@vip.163.com,湖南省常德市武陵区常德大道中段柳叶湖汽车站对面,0736-7703999,
18101-01,常德新华润汽车销售服务有限公司,50001,21,230,,,,,常德澧县澧洲大道,,
18101-02,常德新华润汽车销售服务有限公司,50001,21,230,,,,,湖南省常德市石门县宝峰开发区天工山村居委会,,
18011-02,湖南永通华锐汽车销售服务有限公司(长沙永通张家界市展厅),50001,21,231,,0744-8362988,,,张家界市永定区迎宾路林苑小区,,
18031,郴州申众汽车销售有限公司,50001,21,232,,0735-2355546,0735-2184482,cyn1804@163.com;skoda_cz@163.com;dengzx82@163.com;,湖南省郴州市北湖区七里大道97号,0735-2355646,
18121,永州市天达汽车经营有限公司,50001,21,234,,0746-6660001,,skoda_18121@vip.163.com,湖南省永州市零陵区潇湘汽车城,0746-6660002,
18111,怀化市远舰鸿达汽车销售服务有限公司,50001,21,235,,0745-2333888,0745-2336003,skoda_18111@vip.163.com,湖南省怀化市鹤城区汽车产业综合服务中心4S店区B12号（南环线，锦西南路交叉口）),0745-2333999,
18061,娄底市涟钢世通达柯诚汽车销售服务有限公司,50001,21,236,,0738-8760000,0738-891666,lgouyangdy@163.com;skoda_18061@vip.163.com,娄底经济开发区新坪街10号,0738-8916668,
18011-03,湖南永通华锐汽车销售服务有限公司(长沙永通湘西展厅),50001,21,237,,,,,湘西土家族苗族自治州吉首市武陵东路108号,,
09151,江苏苏舜明达汽车销售服务有限公司,20001,22,110,,025-85436998,025-84356993,skoda_09151@vip.163.com;74309151-nj@163.com;Zc1315,红山路56号,025-85436990,
09241,南京坤龙汽车销售服务有限公司,20001,22,110,,025-52601111,025-58323824,skoda_09071@vip.163.com;njklhr@163.com,南京市江宁区东山街道润麒路19号,025-58323822,
09291,江苏冠松汽车服务有限公司,20001,22,110,,025-51887888,025-51886201,lgb@guansong.com;skdhr@guansong.com,江苏省南京市浦口区浦珠北路36号,025-51886228,
09071,南京宝铁龙轩达汽车销售服务有限公司,20001,22,110,,025-52631116/025-52639818,025-52630907,zlxm@vip.sina.com;njbzg@hotmail.com;njskoda@sina.c,南京市大明路209号（距宁溧路300m）,025-52639845/52639665,
09101,徐州润达汽车销售服务有限公司,20001,22,111,,0516-83311666,0516-83208881,skoda_09101@vip.163.com,徐州铜山经济技术开发区北京路293号,0516-83311999,
09271,徐州沪彭雅迪汽车销售服务有限公司,20001,22,111,,0516-66887777,0516-80107177,xzhpskd@163.com,徐州市鼓楼区轻工路奔腾大道6号,0516-80101199,
09101-01,徐州润达汽车销售服务有限公司(徐州润达邳州展厅),20001,22,111,,0516-86628881,,,邳州邳苍路(中泰汽配城内),,
09101-02,徐州润达汽车销售服务有限公司(徐州润达新沂展厅),20001,22,111,,0516-88988888,,,新沂市新宿路188号,,
09271-01,徐州沪彭雅迪汽车销售服务有限公司(徐州沪彭睢宁展厅),20001,22,111,,0516-88471111,,,睢宁县南环路徐宁路交叉口,,
09191,连云港市翔盛方通汽车销售有限公司,20001,22,112,,0518-85917115,0518-85917118,skoda_09191@vip.163.com;qphanyu@163.com,江苏省连云港市新浦区解放东路318号振兴汽车城院内,0518-83367000,
09191-01,连云港市翔盛方通汽车销售有限公司(连云港祥达德兰路展厅),20001,22,112,,,,,连云区德兰路1号-德兰汽配城,,
09181,宿迁上众腾辉汽车销售服务有限公司,20001,22,114,,0527-84365800,0527-4385599,sqskoda@163.com;S62227@163.com,宿迁徐淮路红海路交叉口,0527-84568999,
09141,盐城华驰车业有限公司,20001,22,115,,0515-88235388,0515-88235168,skoda_09141@vip.163.com;gzw68068@163.com,盐城市开放大道676号,0515-68880328,
09141-01,盐城华驰车业有限公司(盐城华驰世纪大道展厅),20001,22,115,,0515-88235388,,,盐城市世纪大道99号,,
09131,扬州润达汽车销售有限公司,20001,22,116,,0514-87756600,0514-7622800,skoda_09131@vip.163.com,江苏省扬州市维扬区荷叶东路108号,0514-87759900,
09261,扬州科达汽车销售有限公司,20001,22,116,,0514-86570088,0514-86518061,svwzhaitianxiang@sina.com,长江东路与黄海南路交叉处,0514-86570099,
09131-03,扬州润达汽车销售有限公司(扬州润达仪征展厅),20001,22,116,,,,,江苏省扬州市仪征市大庆北路198号,,
09201,泰州众达汽车销售服务有限公司,20001,22,117,,0523-80800888,0523-86867799,zhengyinglin0058@sina.com;Skoda_09201@vip.163.com;,泰州市永定东路188号（汽车南站向东2公里）,0523-80800999,
09091,南通长江众达汽车销售服务有限公司,20001,22,118,,0513-81019999,0513-85609993,ntcj9320049@jsmail.com.cn;skoda_09091@vip.163.com,江苏省南通市崇川区经济开发区星湖大道1071号,0513-81019981,
09171,海门金天柯达汽车销售服务有限公司,20001,22,118,,0513-82336622,0513-82263113,jtqyjt@163.com;skoda_09171@vip.163.com,海门市人民西路1720号,0513-82336610,
09351,如皋市顺洋汽车销售服务有限公司,20001,22,118,,0513-88535666,,skoda_09351@vip.163.com,江苏省南通市如皋市204国道惠民路1号,0513-88535666,
09421,启东市启粮东瑞汽车销售服务有限公司,20001,22,118,,0513-68695888,0513-68695066,skoda_09421@vip.163.com,江苏省南通市启东市城北工业园区庆余村永年路6号,0513-68695021,
09171-03,海门金天柯达汽车销售服务有限公司(海门金天如东县展厅),20001,22,118,,0513-84188222,,,如东县掘港镇通洋南路芳泉村村部 国清寺向北400米,,
09081,镇江瑞驰汽车贸易有限公司,20001,22,119,,0511-85987111,0511-5987017,yh8098@yahoo.com.cn;Yh8098@yahoo.com.cn;skoda_0908,江苏省镇江市京口区丁卯桥路369号,0511-85987026,
