code,name,type,address,postcode,fax,tel1,telservice,tel24,hasImport,email,callcenter,blacklist,lng,lat,星级数量,星级级别,信用积分,点评数,推荐率,推荐数,服务态度,服务同城,服务水平,办事效率,办事同城,办事水平,专业技能,专业同城,专业水平,诚信可靠,诚信同城,诚信水平,好评率,好评数,差评率,差评数
2031103,运城市彩虹申联汽车销售服务有限公司,4S店,山西省运城市盐湖区解放北路（黄河大道西侧皮革城对面）,044000,0359-2120777,/,0359-2129999,0359-2122999,0359-2120777,svw0417@vip.163.com,0359-2122999,0359-2120777,110.984602,35.064569,5,1,600,645,98.29,634,10,.51,上,10,1.56,上,10,1.96,上,10,1.96,上,93.64,604,.31,2
2031104,山西中泽鑫汽车销售有限公司,4S店,山西省运城市盐湖区学苑路立交桥口东200米(原禹都水果市场),044000,0359-3163333,/,0359-3187777,0359-3138888,0359-3163333,zzx3163333@126.com,0359-3138888,0359-3163333,111.021633,35.040796,4,1,306,320,100,320,/,/,空,/,/,空,/,/,空,/,/,空,95.62,306,0,0
3031103,永济市建伟汽车销售有限公司,4S店,山西省运城永济市涑水东街91号,044500,0359-8432777,/,/,/,0359-8432777,svwyjsjwqcxsyxgs@163.com,/,0359-8432777,110.45457,34.87926,2,1,116,123,98.37,121,/,/,空,/,/,空,/,/,空,/,/,空,94.3,116,0,0
3030703,原平市中源汽车销售服务有限公司,专营店,山西省忻州市原平市西镇乡沙晃存大运路东中远新能源汽车产业园,034101,0350-3121598,/,0350-8385999,0350-8395999,0350-3121598,/,0350-8395999,0350-3121598,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3030701,代县苏鹏汽车修理厂,专营店,山西省忻州市代县五里村108线路北,034200,0350-5220678,/,0350-5225789,0350-5225789,0350-5220678,/,0350-5225789,0350-5220678,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3030702,五台县台城镇丰华汽贸,专营店,山西省忻州市五台县台城镇文昌路,035500,0350-6524754,/,13935056685,13935056685,0350-6524754,/,13935056685,0350-6524754,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3030704,忻州永明汽车销售服务有限公司,专营店,山西省忻州市繁峙县石龙街西牌楼东100米,034300,0350-3121598,/,0350-8914430,0350-8917918,0350-3121598,/,/,0350-3121598,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2030702,忻州市永明汽车销售服务有限公司,4S店,山西省忻州市忻府区开发区西街南一巷,034000,0350-3121589,/,0350-3120456,0350-3121588,0350-3121589,svw0414@sina.com,0350-3121588,0350-3121589,112.740005,38.458953,3,1,248,280,96.78,271,/,/,空,/,/,空,/,/,空,/,/,空,90,252,.71,2
2030703,忻州市汇华汽车销售服务有限公司,4S店,山西省忻州市忻府区忻顿路一号,034000,0350-3397111,/,0350-3339999,0350-3397333,0350-3397111,svw0432@126.com,0350-3397333,0350-3397111,112.732005,38.497404,3,1,209,228,98.24,224,10,.51,上,10,1.56,上,10,1.96,上,10,1.96,上,93.42,213,.87,2
3030602,怀仁县中博汽车服务有限公司,专营店,山西省朔州市怀仁县仁和路西、怀义街北,038300,/,/,0349-3038666,0349-3038777,/,/,0349-3038777,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3030601,朔州市鑫悦汽车销售服务有限公司,专营店,山西省朔州市山阴县东大滩工业园区,036900,0349-7029001,/,0349-7029000,/,0349-7029001,/,/,0349-7029001,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2030601,朔州宏志汽车销售服务有限公司,4S店,山西省朔州市开发区神朔大道南侧大新路西,036000,0349-8858801,/,0349-8185998,0349-8185999,0349-8858801,szhzqcgs@126.com,0349-8858809,0349-8858801,112.502402,39.355186,4,1,394,428,98.36,421,/,/,空,/,/,空,/,/,空,/,/,空,92.05,394,0,0
3030404,长治市君安琪汽车销售有限公司,专营店,山西省长治市长子县丹朱西大街（西北角）,046600,/,/,0355-8366366,0355-8366366,/,/,0355-5628218,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2030401,长治市众众汽车销售服务有限公司,4S店,山西省长治市城区城东路11号,046000,0355-2119282,/,0355-3081515,0355-3081505,0355-2119282,svw0402@vip.sina.com,0355-3081505,0355-2119282,113.133866,36.190596,5,1,447,519,97.1,504,9.71,1.53,下,9.61,1.99,下,9.71,1.53,下,9.71,1.02,下,88.05,457,.96,5
2030403,山西友信达汽车销售服务有限公司,4S店,山西省长治市郊区北外环工程机械汽贸城内,046000,0355-3509096,/,0355-3516111,0355-3518000,0355-3509096,svwyxd@vip.163.com,0355-3518000,0355-3509096,113.155106,36.229836,3,2,1058,1130,98.93,1118,9.89,.3,上,9.85,.39,上,9.89,.3,上,9.83,.18,上,94.51,1068,.44,5
2030402,长治市容海汽车销售服务有限公司,4S店,山西省长治市郊区山西省长治市太行西街（北寨）,046000,0355-6021200,/,0355-6081888,0355-6081999,0355-6021200,czrh4s@126.com,0355-6081999,0355-6021200,113.078594,36.22271,5,1,587,640,98.28,629,10,1.36,上,10,1.88,上,10,1.36,上,10,1.88,上,92.65,593,.46,3
3030401,襄垣县众联汽车销售服务有限责任公司,直营店,山西省襄垣县古韩镇张家庄（长太路西侧）,046200,0355-7291350,/,0355-7291350,0355-7291350,0355-7291350,550115385@qq.com,0355-7291350,0355-7291350,113.015412,36.569133,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3030402,长治县和众汽车销售服务有限公司,直营店,山西省长治市长治县207国道韩店段（上高速500米处）,047100,0355-8206298,/,0355-8085222,/,0355-8206298,Svw0402lq@sina.com,0355-8085111,0355-8206298,113.046895,36.055286,1,1,1,1,100,1,/,/,空,/,/,空,/,/,空,/,/,空,100,1,0,0
3030801,祁县俊杰汽车服务有限公司,专营店,山西省晋中市祁县108国道丰泽路口斜对面,030900,0354-7229162,/,0354-7224667,0354-7224667,0354-7229162,/,0354-7224666,0354-7229162,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3030803,平遥县驰乐汽贸有限公司,专营店,山西省晋中市平遥县中都东街319号,031100,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2030802,晋中华润汽车贸易有限公司,4S店,山西省晋中市榆次区汇通路北端,030600,0354-3063353,/,0354-3063156,0354-3071782,0354-3063353,SVW2030802@VIP.163.COM,0354-3071782,0354-3063353,112.734214,37.696571,1,2,779,844,98.69,833,10,0,空,10,0,空,10,0,空,10,0,空,93.24,787,.47,4
2030805,晋中德雅汽车销售服务有限公司,4S店,山西省晋中市鸣李汽贸园中航北路东段,030600,0354-3995123,/,0354-3998888,0354-3938888 ,0354-3995123,svw2030805@vip.163.com,0354-3938888 ,0354-3995123,112.683828,37.731387,2,1,111,122,95.08,116,/,/,空,/,/,空,/,/,空,/,/,空,92.62,113,.81,1
2030804,介休市维晨汽车销售服务有限公司,4S店,山西省晋中市介休市北坛东路228号,032000,0354-7229162,/,0354-7224667,0354-7224666,0354-7229162,jxdzsvw@126.com,0354-7224666,0354-7229162,111.945382,37.049734,2,1,140,150,99.33,149,10,0,空,10,0,空,10,0,空,10,0,空,93.33,140,0,0
3030501,沁水县精远汽车贸易有限公司,专营店,山西省晋城市沁水县龙港镇柳庄社区,048200,0356-3255122,/,0356-3255511,0356-3255511,0356-3255122,/,0356-3255122,0356-3255122,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2030502,晋城煤销汽车销售服务有限公司,4S店,山西省晋城市城区二圣头村对面,048000,0356-2126433,/,0356-2123555,0356-2122035,0356-2126433,svw2030502@126.com,0356-2122035,0356-2126433,112.895327,35.492357,5,1,585,637,98.74,629,/,/,空,/,/,空,/,/,空,/,/,空,93.09,593,.62,4
2030504,晋城市唐韵汽贸有限公司,4S店,山西省晋城市泽州北路东侧(华泽学府用地南侧),048000,0356-2294657,/,0356-2312222,0356-2312233,0356-2294657,kangjian.wu@tysy.cn,0356-2312233,0356-2294657,112.887151,35.627947,4,1,342,371,97.84,363,/,/,空,/,/,空,/,/,空,/,/,空,93.26,346,.53,2
2030201,大同东成鸿业汽车销售服务有限公司,4S店,山西省大同市南郊区南环路西延伸段十里河西侧庞大汽车文化园林广场48号,037000,0352-6036818,/,0352-7132222,0352-7959999,0352-6036818,svw194@vip.sina.com,0352-7132222,0352-6036818,113.308449,40.111833,3,1,243,261,98.85,258,/,/,空,/,/,空,/,/,空,/,/,空,93.86,245,.38,1
2030203,大同市国贸伟业汽车销售有限责任公司,4S店,山西省大同市城区南三环北,037000,0352-5020866,/,0352-5046333,0352-5024999,0352-5020866,dtsvw@vip.sina.com,0352-5024999,0352-5020866,113.313216,40.069848,5,1,479,522,97.7,510,/,/,空,/,/,空,/,/,空,/,/,空,93.29,487,.76,4
2030200,大同市福海汽贸有限责任公司,4S店,山西省大同市城区新建南路699号,037008,0352-5045444,/,0352-5044222,15383623809,0352-5045444,datongfuhai@163.com,0352-5044555,0352-5045444,113.296187,40.052826,5,1,546,606,98.51,597,/,/,空,/,/,空,/,/,空,/,/,空,91.08,552,.49,3
2031002,临汾市悦源汽车销售维修中心,4S店,山西省临汾市尧都区刘村镇马务村,041000,0357-3312188,/,0357-3312168,0357-3312158,0357-3312188,svw0405@public.lf.sx.cn,0357-3312158,0357-3312188,111.498524,36.115161,1,2,610,650,98,637,10,0,空,10,1.06,上,10,0,空,10,.21,上,94.15,612,.15,1
2031004,临汾市新盛红龙汽车连锁销售有限公司,4S店,山西省临汾市尧都区南外环路西段（东赵村）,041000,0357-2317222,/,0357-2312555,0357-2319111,0357-2317222,linfenhonglong@sina.com,0357-2313306,0357-2317222,111.516701,36.065543,5,2,1496,1554,99.42,1545,10,0,空,10,1.06,上,10,0,空,10,.21,上,96.26,1496,0,0
2031005,临汾市祥华龙昌汽车销售服务有限公司,4S店,山西省临汾市尧都区尧庙108国道路口南400米路西（富尧建材城对面）,041000,0357-2129500,/,0357-3198666,0357-3199666,0357-2129500,lfxhsvw@126.com,0357-3199666,0357-2129500,111.47215,36.01077,1,1,74,81,100,81,/,/,空,/,/,空,/,/,空,/,/,空,91.35,74,0,0
2031006,临汾天健博雅汽车销售服务有限公司,4S店,山西省临汾市尧都区屯里镇贾村北侧,041000,0357-3998165,/,0357-3998866,0357-3998855,0357-3998165,linfenboya@vip.163.com,0357-3999922,0357-3998165,111.550735,36.134409,4,2,1257,1341,99.55,1335,10,0,空,9.84,.46,下,10,0,空,9.96,.09,下,94.03,1261,.14,2
2031007,洪洞县祥驰汽贸有限公司,4S店,山西省临汾市洪洞县霍候一级路洪古路口北,041600,0357-6292900,/,0357-6628888,0357-6627777,0357-6292900,hxcct@163.com,0357-6627777,0357-6292900,111.680599,36.260035,2,1,191,201,97.51,196,/,/,空,/,/,空,/,/,空,/,/,空,97.01,195,.99,2
3031001,侯马市锦程汽车销售服务有限公司,4S店,山西省侯马市汽车东站向东500米,043000,0357-4162166,/,/,0357-4162266,0357-4162166,svw0409@163.com,0357-4162266,0357-4162166,111.487665,36.106322,1,1,20,20,100,20,10,0,空,10,1.06,上,10,0,空,10,.21,上,100,20,0,0
2030900,吕梁市中海汽车销售服务有限公司,4S店,山西省吕梁市离石区交口镇高速西口南100米,033000,0358-8351919,/,0358-8352666,0358-8332000,0358-8351919,jinzhongjituan@163.com,0358-8332000,0358-8351919,111.102565,37.505639,4,1,366,415,97.83,406,9.83,1.15,下,9.58,2.66,下,9.75,.58,下,9.83,.26,上,90.12,374,.96,4
2030902,孝义市京华汽车销售服务有限公司,4S店,山西省吕梁市孝义市府前街东段,032300,0358-7832989,/,0358-7832388,0358-7831388,0358-7832989,svw_xyjh@163.com,0358-7831388,0358-7832989,111.820907,37.152999,1,1,79,85,98.82,84,/,/,空,/,/,空,/,/,空,/,/,空,92.94,79,0,0
2030100,山西万国汽车销售服务有限公司,4S店,山西省太原市晋源区新晋祠路488号山西万国汽军贸易服务园1环1号,030021,0351-6329185,/,0351-6329188,0351-6329101,0351-6329185,wgsh006@163.com,0351-6329101,0351-6329185,112.534051,37.803061,5,2,1617,1753,97.77,1714,9.95,.02,上,9.8,.4,下,9.79,.17,下,9.75,.5,下,92.69,1625,.22,4
2030101,山西新大洋汽车销售有限公司,4S店,山西省太原市小店区汾东北路185号,030032,0351-7561364,/,0351-7561666,0351-7561999,0351-7561364,svw2000@126.com,0351-7561999,0351-7561364,112.569968,37.757228,1,3,2137,2321,98.7,2291,10,.51,上,10,1.56,上,10,1.96,上,10,1.96,上,92.76,2153,.34,8
2030106,山西金谷源汽车销售服务有限公司,4S店,山西省太原市小店区学府西街9号,030006,0351-7034532,/,0351-7034545,0351-7034533,0351-7034532,svw0415@163.com,0351-7034533,0351-7034532,112.555034,37.814208,5,1,485,531,98.68,524,/,/,空,/,/,空,/,/,空,/,/,空,92.46,491,.56,3
2030104,太原东泰汽车销售服务有限公司,4S店,山西省太原市迎泽区建设南路698号,030006,0351-7065853,/,0351-7059292,0351-7040472,0351-7065853,tydt7059292gs@163.com,0351-7041296,0351-7065853,112.59435,37.824776,2,2,915,990,98.58,976,10,.51,上,10,1.56,上,10,1.96,上,10,1.96,上,92.62,917,.1,1
2030105,山西汇众汽车服务有限公司,4S店,山西省太原市万柏林区新晋祠路110号,030021,0351-6080555,/,0351-6091666,0351-6077666,0351-6080555,svw254@sina.com,0351-6077666,0351-6080555,112.536766,37.828367,4,2,1320,1399,98.85,1383,9.8,1.49,下,10,1.56,上,9.6,2.11,下,10,1.96,上,94.78,1326,.21,3
2030110,山西普洋汽车销售有限公司,4S店,山西省太原市万柏林区玉门河北沿岸111号普国汽配城,030024,0351-6867919,/,0351-6867811,0351-6867911,0351-6867919,svw4310@126.com,0351-6867911,0351-6867919,112.473907,37.863877,5,1,421,446,99.1,442,/,/,空,/,/,空,/,/,空,/,/,空,94.39,421,0,0
2030109,太原市兴业泰汽车销售服务有限公司,4S店,山西省太原市尖草坪区解放北路99号工人北文化宫,030003,0351-5621559,/,0351-5621505,0351-5621501,0351-5621559,xyt1219@vip.sina.com,0351-5621501,0351-5621559,112.571313,37.919402,2,1,110,119,99.15,118,/,/,空,/,/,空,/,/,空,/,/,空,92.43,110,0,0
2030303,山西众晟达汽车贸易有限公司,4S店,山西省阳泉市城区开发区大连东路,045000,0353-2662567,/,0353-2588888,0353-7071111,0353-2662567,shdzyqwxz7430404@sina.com,0353-2662500,0353-2662567,113.54211,37.881532,3,1,295,330,98.48,325,10,.51,上,10,1.56,上,10,1.96,上,10,1.96,上,90,297,.3,1
2030304,阳泉三江众星汽车销售有限公司,4S店,山西省阳泉市郊区李荫路冯家庄段,045001,0353-2117000,/,/,/,0353-2117000,Zhangjun80066@163.com,/,0353-2117000,113.572949,37.909228,1,1,20,21,95.23,20,/,/,空,/,/,空,/,/,空,/,/,空,95.23,20,0,0
6050103,石家庄申联汽车销售服务有限公司石家庄高新区分公司,城市快修店,河北省石家庄市高新区天山大街253号,050000,0311-86010638,/,/,/,0311-86010638,/,/,0311-86010638,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2050102,石家庄申联汽车销售服务有限公司,4S店,河北省石家庄市裕华区建通街28号,050021,0311-86117844,/,0311-86116088,0311-86109822,0311-86117844,svw7430219@163.com,0311-86109822,0311-86117844,114.507852,38.011269,1,2,739,797,98.74,787,/,/,空,/,/,空,/,/,空,/,/,空,93.22,743,.25,2
2050106,石家庄石汇泽业汽车销售服务有限公司,4S店,河北省石家庄市和平西路与古城西路交口康恒汽车贸易园区,050031,0311-85668336,/,0311-85672459,0311-85668977,0311-85668336,wg5321@126.com,0311-85668977,0311-85668336,114.576218,38.042124,2,2,968,1017,99.31,1010,/,/,空,/,/,空,/,/,空,/,/,空,95.37,970,.09,1
3050105,行唐县京华汽车维护保养厂,专营店,河北省石家庄市行唐县朝阳路28号,050600,/,/,0311-82983353,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050108,石家庄浩海汽车贸易有限公司藁城分公司,专营店,河北省石家庄市藁城区迎宾大道21号,052160,/,/,0311-88045444,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050104,石家庄申联汽车销售服务有限公司高邑分公司,专营店,河北省石家庄市高邑县千秋路259号,051330,/,/,0311-86116088,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050107,石家庄申联汽车销售服务有限公司深泽分公司,专营店,河北省石家庄市深泽县府前西路西段路北,052560,/,/,0311-86116088,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050109,石家庄申联汽车销售服务有限公司无极分公司,专营店,河北省石家庄市无极县无极镇柴城村村北,050000,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050111,石家庄申联汽车销售服务有限公司元氏分公司,专营店,河北省石家庄市元氏县井元路昌盛街交口西50米路北,050000,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050110,灵寿县宏达汽车贸易有限公司,专营店,河北省石家庄市灵寿县灵寿镇城内村,050500,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2050103,河北冀中合力汽车销售维修有限公司　,4S店,河北省石家庄市新华区北二环西路385号,050071,0311-87715955,/,0311-87778800,0311-87757177,0311-87715955,svw0226@vip.163.com,0311-87757177 ,0311-87715955,114.453949,38.092407,1,3,2009,2184,97.98,2140,9.86,.26,下,9.83,.11,上,9.86,.04,下,9.81,.26,下,92.71,2025,.36,8
2050104,河北润众汽车销售服务有限公司,4S店,河北省石家庄市桥西区新石北路409号,050091,0311-85510978,/,0311-85510961,0311-85510970,0311-85510978,duyachuan_123@163.com,0311-85510975,0311-85510978,114.442928,38.025135,3,1,230,258,96.51,249,/,/,空,/,/,空,/,/,空,/,/,空,90.69,234,.77,2
2050108,石家庄市冀中汇众汽车贸易有限公司,4S店,河北省石家庄市鹿泉区龙泉东路223号,050200,0311-89170021,/,0311-89170011,0311-89170022,0311-89170021,svw0240@vip.163.com,0311-89170033,0311-89170021,114.365575,38.073285,5,2,1469,1580,98.73,1560,9.78,1.09,下,9.78,.44,下,9.78,.88,下,9.73,.99,下,93.48,1477,.25,4
3050101,石家庄瑞诚汽车贸易有限公司,4S店,河北省辛集市安古城村北,052360,0311-83277958,/,0311-83277758,0311-89159111,0311-83277958,SVW332060@163.com,0311-89159111,0311-83277958,115.227399,37.957808,1,1,3,3,100,3,10,1.09,上,10,1.76,上,10,1.32,上,10,1.65,上,100,3,0,0
2050109,石家庄众德盛汽车销售服务有限公司,4S店,河北省石家庄市长安区古城东路12号,050040,0311-67794906,/,0311-86810666,0311-86811866,0311-67794906,svwzds@163.com,0311-86838079,0311-67794906,114.558601,38.079747,3,1,268,286,98.95,283,/,/,空,/,/,空,/,/,空,/,/,空,94.4,270,.34,1
2050100,河北众诚汽车贸易有限公司,4S店,河北省石家庄市长安区北二环东路86号,050041,0311-86827525,/,0311-85615222,0311-86839396,0311-86827525,svwhbzc@163.com,0311-86839396,0311-86827525,114.55059,38.071793,3,2,1171,1333,97.67,1302,10,1.09,上,9.83,.07,上,9.93,.64,上,9.93,.97,上,89.79,1197,.97,13
3050102,晋州市众睿汽车贸易有限公司,4S店,河北省晋州市中兴路与东环路交叉口路北,052260, 0311-87517099,/,0311-87517000,0311-87517333, 0311-87517099,vwxcqc@vip.163.com,0311-87517333, 0311-87517099,128.107621,35.179982,2,1,165,192,95.31,183,10,1.09,上,10,1.76,上,10,1.32,上,10,1.65,上,86.97,167,.52,1
3050904,盐山县浩泽汽车销售有限公司,专营店,河北省沧州市盐山县北二环路翟庄村口,061300,0317-5637755,/,0317-5671777,0317-5303555,0317-5637755,/,0317-5303555,0317-5637755,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050902,沧州金鼎汽车贸易有限公司,专营店,河北省沧州市青县104国道谭缺屯,061300,0317-5637755,/,0317-5671777,0317-5303555,0317-5637755,/,0317-5303555,0317-5637755,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050905,南皮县昊鑫汽车销售有限公司,专营店,河北省沧州市南皮县经济开发区西区（南皮县南皮镇将军中路88号）,615000,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050903,泊头市睿鑫汽车销售有限公司,专营店,*,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2050903,沧州运鹏汽车销售服务有限公司,4S店,河北省沧州市新华区北郊津德路石油北库北5号,061000,0317-3567943,/,0317-3564113,0317-3565554,0317-3567943,czypgs@sina.com,0317-3565554,0317-3567943,116.899965,38.36817,4,1,312,353,97.73,345,/,/,空,/,/,空,/,/,空,/,/,空,92.35,326,1.98,7
2050908,沧州国和众亿汽车销售服务有限公司,4S店,河北省沧州市新华区黄河东路与长芦南大道交叉口东行100米,061000,0317-5637755,/,0317-5671777,0317-5303555,0317-5637755,svwghzy@svwghzy.com,0317-5303555,0317-5637755,116.893055,38.308375,1,2,797,841,99.64,838,10,0,空,10,0,空,10,0,空,10,0,空,94.76,797,0,0
2050905,任丘市运佳汽车销售服务有限公司,4S店,河北省沧州市任丘市燕山道开发区,062550,0317-3386077,/,0317-2320777,0317-2320122,0317-3386077,SVW0221@HEINFO.NET,0317-2236188,0317-3386077,116.126859,38.744182,2,1,167,178,99.43,177,/,/,空,/,/,空,/,/,空,/,/,空,94.94,169,.56,1
2050906,沧州兴华汽车销售服务有限公司,4S店,河北省沧州市运河区西外环大杨庄村,061001,0317-5673388,/,0317-5638800,0317-5202255,0317-5673388,cangzhouxinghua@163.com,0317-5203355,0317-5673388,116.822071,38.321427,4,2,1245,1263,99.76,1260,10,0,空,10,0,空,10,0,空,10,0,空,98.89,1249,.15,2
2050909,河间市国和众信汽车销售有限公司,4S店,河北省沧州市河间市京开大街东侧，诗经路北侧,062450,0317-5587070,/,/,/,0317-5587070,SVWGHZX@163.COM,/,0317-5587070,116.082887,38.424365,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050901,黄骅立德汽车销售服务有限公司,直营店,河北省黄骅市205国道钱江大酒店北300米,061100,0317-5212787,/,0317-5226699,13582739636,0317-5212787,svwhhld@163.com,13303076328,0317-5212787,117.344401,38.380228,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3050303,河北润浩南宫店,专营店,河北省邢台市南宫市朝阳大街东侧,051800,/,/,0319-5227941,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2050303,河北润浩汽车贸易有限公司,4S店,河北省邢台市桥东区襄都南路121号,054001,0319-3061044,/,0319-3091111,0319-3053804,0319-3061044,SVW0210@163.com,0319-3053804,0319-3061044,114.534338,37.062716,5,1,547,603,98.5,594,10,0,空,9.89,.02,上,10,0,空,9.78,.49,下,91.37,551,.33,2
2050304,邢台汉龙汽车销售服务有限公司,4S店,河北省邢台市桥西区汽车文化名城D-2-2区,054000,0319-5558206,/,0319-5559222,0319-5559222,0319-5558206,xthlshdz@163.com,0319-5559333,0319-5558206,114.454915,37.104475,4,1,330,379,97.09,368,10,0,空,10,1.09,上,10,0,空,10,1.64,上,89.7,340,1.31,5
2050305,邢台盛之杰汽车贸易有限公司,4S店,河北省邢台市任县河头经济开发区汽车园区,055150,0319-7535555,/,/,/,0319-7535555,xtszjsvw@163.com,/,0319-7535555,114.639425,37.104488,1,1,15,17,100,17,/,/,空,/,/,空,/,/,空,/,/,空,88.23,15,0,0
2050306,清河县蓝池鹏龙汽车销售服务有限公司,4S店,河北省邢台市清河县新世纪大街北侧文昌路东侧,054800,/,/,/,/,/,qhlcpl@lanchijituan.com,/,/,115.667976,37.041881,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
